editorid,formid,source_file,snapshot_date
CompanionAmmoFlamerFuel,Flamer Fuel,002491A7,,Fallout4.esm,2026-05-22 23:14:11
CompanionAmmo45Caliber,.45 Round,00245D6B,,Fallout4.esm,2026-05-22 23:14:11
CompanionAmmo10mm,10mm Round,00245D6A,,Fallout4.esm,2026-05-22 23:14:11
CompanionAmmoFusionCell,Fusion Cell,00245D69,,Fallout4.esm,2026-05-22 23:14:11
CompanionAmmoShotgunShell,Shotgun Shell,00245D68,,Fallout4.esm,2026-05-22 23:14:11
CompanionAmmo308Caliber,.308 Round,00245D53,,Fallout4.esm,2026-05-22 23:14:11
AmmoSpotlight,,0022BC47,,Fallout4.esm,2026-05-22 23:14:11
WorkshopTrapAmmoFlamethrowerFuel,Flamer Fuel,00204140,,Fallout4.esm,2026-05-22 23:14:11
AmmoFusionCoreNoSteal,Fusion Core,001BBFCA,,Fallout4.esm,2026-05-22 23:14:11
Ammo5mm_NonPlayable,5mm Round,001943D0,,Fallout4.esm,2026-05-22 23:14:11
AmmoCryoCell,Cryo Cell,0018ABE2,,Fallout4.esm,2026-05-22 23:14:11
Ammo2mmEC,2mm Electromagnetic Cartridge,0018ABDF,,Fallout4.esm,2026-05-22 23:14:11
AmmoSentryShoulder,Missile,0018844F,,Fallout4.esm,2026-05-22 23:14:11
AmmoMirelurkQueenSpawn,Mirelurk Eggs,00186A62,,Fallout4.esm,2026-05-22 23:14:11
AmmoLibertyPrime,Fusion Cell,0018558C,,Fallout4.esm,2026-05-22 23:14:11
AmmoSyringer,Injectable,0018506B,,Fallout4.esm,2026-05-22 23:14:11
AmmoLibertyPrimeBomb,,0017D52B,,Fallout4.esm,2026-05-22 23:14:11
AmmoFusionCoreMeltdown,Fusion Core,00178D66,,Fallout4.esm,2026-05-22 23:14:11
AmmoMirelurkSpawn,Flare,00169632,,Fallout4.esm,2026-05-22 23:14:11
AmmoFusionCellLtBlue,Fusion Cell,001262F2,,Fallout4.esm,2026-05-22 23:14:11
AmmoDeathclawThrow,,0011333B,,Fallout4.esm,2026-05-22 23:14:11
AmmoMirelurkQueen,Lobster Spray,00102798,,Fallout4.esm,2026-05-22 23:14:11
AmmoFlareGun,Flare,001025AE,,Fallout4.esm,2026-05-22 23:14:11
AmmoAlienBlaster,Alien Blaster Round,001025AA,,Fallout4.esm,2026-05-22 23:14:11
TrapAmmoFragGrenade,,000FF27A,,Fallout4.esm,2026-05-22 23:14:11
AmmoRRSpike,Railway Spike,000FE269,,Fallout4.esm,2026-05-22 23:14:11
AmmoCannonBall,Cannonball,000FD11C,,Fallout4.esm,2026-05-22 23:14:11
AmmoMirelurkKing,Sonic Attack,000FC3EE,,Fallout4.esm,2026-05-22 23:14:11
AmmoJunkJet,Junk,000E942C,,Fallout4.esm,2026-05-22 23:14:11
AmmoFatManMiniNuke,Mini Nuke,000E6B2E,,Fallout4.esm,2026-05-22 23:14:11
AmmoGammaCell,Gamma Round,000DF279,,Fallout4.esm,2026-05-22 23:14:11
AmmoAssaultron,Fusion Cell,000DD4B7,,Fallout4.esm,2026-05-22 23:14:11
AmmoOxygenTrap,,000D76F0,,Fallout4.esm,2026-05-22 23:14:11
AmmoFlamerFuel,Flamer Fuel,000CAC78,,Fallout4.esm,2026-05-22 23:14:11
AmmoMissile,Missile,000CABA3,,Fallout4.esm,2026-05-22 23:14:11
DN029CannonLauncherAmmo,M203 Shell,000CA0B1,,Fallout4.esm,2026-05-22 23:14:11
AmmoFusionCell,Fusion Cell,000C1897,,Fallout4.esm,2026-05-22 23:14:11
AmmoFusionCellEyebot,Fusion Cell,000AB4FE,,Fallout4.esm,2026-05-22 23:14:11
AmmoMirelurkHunter,Lobster Spray,0009F24C,,Fallout4.esm,2026-05-22 23:14:11
Ammo44,.44 Round,0009221C,,Fallout4.esm,2026-05-22 23:14:11
AmmoFusionCoreKnightMeltdown,Fusion Core,000865EA,,Fallout4.esm,2026-05-22 23:14:11
AmmoFusionCore,Fusion Core,00075FE4,,Fallout4.esm,2026-05-22 23:14:11
MS02NukeMissileAmmoFar,Nuke,00065DF3,,Fallout4.esm,2026-05-22 23:14:11
WorkshopArtilleryAmmoFar,Mortar,00063B71,,Fallout4.esm,2026-05-22 23:14:11
WorkshopArtilleryAmmoClose,Mortar,00063B70,,Fallout4.esm,2026-05-22 23:14:11
WorkshopArtilleryAmmo,Mortar,0005DE33,,Fallout4.esm,2026-05-22 23:14:11
Ammo38Caliber,.38 Round,0004CE87,,Fallout4.esm,2026-05-22 23:14:11
AmmoBloatfly,Bloatfly Larva Syringe,000375BB,,Fallout4.esm,2026-05-22 23:14:11
AmmoBloodBug,Blood Spray,00031FB7,,Fallout4.esm,2026-05-22 23:14:11
AmmoShotgunShell,Shotgun Shell,0001F673,,Fallout4.esm,2026-05-22 23:14:11
Ammo5mm,5mm Round,0001F66C,,Fallout4.esm,2026-05-22 23:14:11
Ammo308Caliber,.308 Round,0001F66B,,Fallout4.esm,2026-05-22 23:14:11
Ammo45Caliber,.45 Round,0001F66A,,Fallout4.esm,2026-05-22 23:14:11
Ammo50Caliber,.50 Caliber,0001F279,,Fallout4.esm,2026-05-22 23:14:11
Ammo556,5.56 Round,0001F278,,Fallout4.esm,2026-05-22 23:14:11
Ammo10mm,10mm Round,0001F276,,Fallout4.esm,2026-05-22 23:14:11
AmmoPlasmaCartridge,Plasma Cartridge,0001DBB7,,Fallout4.esm,2026-05-22 23:14:11
