editorid,formid,source_file,snapshot_date
ccSBJFO4003_Ammo40mmPlasma,40mm Plasma Grenade,FE00701E,,community fixes merged.esp,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmNuka,40mm Nuka Grenade,FE00701F,,community fixes merged.esp,2026-05-22 23:14:11
DLC03AmmoFatManBowlingBall,Modified Bowling Ball,0302740E,,community fixes merged.esp,2026-05-22 23:14:11
AmmoGammaCell,Gamma Round,000DF279,,community fixes merged.esp,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmIncendiary,40mm Incendiary Grenade,FE0070C3,,community fixes merged.esp,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmPulse,40mm Pulse Grenade,FE007026,,community fixes merged.esp,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmRocket,40mm Rocket Grenade,FE007025,,community fixes merged.esp,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmFlechette,40mm Flechette Grenade,FE007023,,community fixes merged.esp,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmMirv,40mm MIRV Grenade,FE007022,,community fixes merged.esp,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmCryo,40mm Cryo Grenade,FE007021,,community fixes merged.esp,2026-05-22 23:14:11
DLC04_Ammo_ThirstZapper_Water,Squirt of Water,0604C0E4,,community fixes merged.esp,2026-05-22 23:14:11
DLC04_Ammo_ThirstZapper_NukaCola,Weaponized Nuka-Cola Ammo,0602BDC2,,community fixes merged.esp,2026-05-22 23:14:11
DLC04_Ammo_ThirstZapper_Cherry,Weaponized Nuka-Cherry Ammo,0600A6C9,,community fixes merged.esp,2026-05-22 23:14:11
DLC04_Ammo_ThirstZapper_Quantum,Weaponized Nuka-Cola Quantum Ammo,0600A6C6,,community fixes merged.esp,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmLaser,40mm Laser Grenade,FE007020,,community fixes merged.esp,2026-05-22 23:14:11
