editorid,formid,source_file,snapshot_date
ccSBJFO4004_AmmoNailgun,Nails,FE007205,,unofficial fallout 4 patch.esp,2026-05-22 23:14:11
DLC04_Ammo_AcidSoaker,Acid Concentrate,06030076,,unofficial fallout 4 patch.esp,2026-05-22 23:14:11
DLC04_Ammo_PaddleBall,Paddle Ball String,0600A6C2,,unofficial fallout 4 patch.esp,2026-05-22 23:14:11
CompanionAmmo308Caliber,.308 Round,00245D53,,unofficial fallout 4 patch.esp,2026-05-22 23:14:11
Ammo5mm_NonPlayable,5mm Round,001943D0,,unofficial fallout 4 patch.esp,2026-05-22 23:14:11
AmmoFlareGun,Flare,001025AE,,unofficial fallout 4 patch.esp,2026-05-22 23:14:11
AmmoAlienBlaster,Alien Blaster Round,001025AA,,unofficial fallout 4 patch.esp,2026-05-22 23:14:11
AmmoGammaCell,Gamma Round,000DF279,,unofficial fallout 4 patch.esp,2026-05-22 23:14:11
AmmoFusionCell,Fusion Cell,000C1897,,unofficial fallout 4 patch.esp,2026-05-22 23:14:11
Ammo308Caliber,.308 Round,0001F66B,,unofficial fallout 4 patch.esp,2026-05-22 23:14:11
AmmoPlasmaCartridge,Plasma Cartridge,0001DBB7,,unofficial fallout 4 patch.esp,2026-05-22 23:14:11
