editorid,formid,source_file,snapshot_date
00DCOutfitUSArmyGeneralOvercoat,US Army General Overcoat,FE01B915,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCOutfitWasteland03,Wasteland Settler Outfit,FE01B82A,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCOutfitWastelandMerchant01,Roving Trader Outfit,FE01B828,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCOutfitOasisVillager,Oasis Villager Robe,FE01B823,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCOutfitOasisDruid,Oasis Robe,FE01B822,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCArmorLeather,Leather Armor,FE01B81A,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCOutfitProjectPurityDoctor,Lab Technician Outfit,FE01B819,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCOutfitPrewarBusinesswearDirtyDark,Grimy Pre-War Businesswear,FE01B818,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCOutfitPrewarBusinesswearDirty,Dirty Pre-War Businesswear,FE01B810,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCArmorRecon,Recon Armor,FE01B80C,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCOutfitChineseCommandoJumpsuit,Chinese Jumpsuit,FE01B808,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCOutfitWasteland01,Brahmin-Skin Outfit,FE01B805,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCOutfitNCRCivilian03,Ranger Casual Outfit,FE01C815,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCOutfitNCRCivilian02,Ranger Vest Outfit,FE01C814,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
00DCOutfitNCRCivilian01,Ranger Red Scarf Outfit,FE01C813,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
MISC_ClothesHeadWrap,Head Wrap,4500081E,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
MISC_ClothesGlassesShades,Sunglasses,4500081D,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
MISC_ClothesEyePatch,Eye Patch,4500080F,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
MISC_OutfitWastelandDoctor02,Wasteland Surgeon Outfit,4500080D,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
MISC_OutfitWasteland02,Wasteland Wanderer Outfit,4500080B,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
MISC_OutfitTenpenny,Tenpenny's Suit,4500080A,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
MISC_OutfitPrewarSpring2,Pre-War Parkstroller Outfit,45000807,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
MISC_OutfitPrewarSpring,Pre-War Spring Outfit,45000806,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
MISC_OutfitPrewarNegligee,Sexy Sleepwear,45000805,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
MISC_OutfitJumpsuit,Jumpsuit,45000802,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
OutfitDusterHat,Sheriff's Hat,47002E4B,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
OutfitDuster,Duster,4700269B,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
OutfitMercCruiser,Merc Cruiser Outfit,47000805,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
OutfitMercGrunt,Merc Grunt Outfit,47000804,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
OutfitMercVeteran,Merc Veteran Outfit,47000803,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
OutfitMercAdventurer,Merc Adventurer Outfit,47000802,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
OutfitMercTroublemaker,Merc Troublemaker Outfit,47000801,,,,,Classic Outfits Distributed.esp,2026-05-22 23:14:11
