source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
AmericaRising2.esm,0E032652,0004A073,TreeMapleForest1,STAT,-1310.954468,-130.116394,1686.306641,42.0961
AmericaRising2.esm,0E032655,0004A072,TreeMapleForest6,STAT,-2562.838867,-385.405029,1283.387695,126.3930
AmericaRising2.esm,0E032656,0004A072,TreeMapleForest6,STAT,-2355.570801,-311.821289,1314.598145,282.4358
AmericaRising2.esm,0E032657,0004A072,TreeMapleForest6,STAT,-2323.970703,-240.079834,1296.280762,173.7123
AmericaRising2.esm,0E032658,0004A071,TreeMapleForest5,STAT,-2565.680176,-403.734558,1286.197754,226.3803
AmericaRising2.esm,0E032659,0004A075,TreeMapleForest3,STAT,-2453.727539,-376.242004,1194.337891,80.7347
AmericaRising2.esm,0E03265A,0004A073,TreeMapleForest1,STAT,-2374.105225,-279.695068,1320.051270,232.3154
AmericaRising2.esm,0E03265B,000531B3,TreeMapleblasted05,STAT,-1798.361084,-328.974792,1231.966309,5.2627
AmericaRising2.esm,0E03265C,0004D93B,TreeMapleblasted01,STAT,-1810.775146,-500.939636,1341.450195,195.8457
AmericaRising2.esm,0E03265D,0004A072,TreeMapleForest6,STAT,-1470.655762,-509.702698,1161.391602,332.6676
AmericaRising2.esm,0E03265E,0004A076,TreeMapleForest4,STAT,-292.193726,-571.100769,1261.097412,315.6689
AmericaRising2.esm,0E032666,00133853,DeadShrub01,STAT,-194.237427,-214.865967,1661.586182,230.9563
AmericaRising2.esm,0E032674,0004A071,TreeMapleForest5,STAT,-236.595337,-248.764771,1043.156982,197.2957
AmericaRising2.esm,0E032675,0004A071,TreeMapleForest5,STAT,-213.019653,-262.076355,1030.319580,267.1432
AmericaRising2.esm,0E032676,0004A072,TreeMapleForest6,STAT,-246.078003,-348.339661,1444.446045,141.2890
AmericaRising2.esm,0E0326E2,0004A072,TreeMapleForest6,STAT,-4.828308,-1494.531494,1227.326538,60.1612
AmericaRising2.esm,0E0326E8,000531AE,TreeMapleblasted04,STAT,-1075.549561,-1157.371216,1602.353149,320.2679
AmericaRising2.esm,0E0326E9,0004A075,TreeMapleForest3,STAT,-872.660950,-1101.136475,1633.762329,268.5383
AmericaRising2.esm,0E0326EA,0004A075,TreeMapleForest3,STAT,-891.707031,-667.782654,1488.278687,63.3037
AmericaRising2.esm,0E0326EB,0004A071,TreeMapleForest5,STAT,-1311.452637,-1390.938477,1487.236938,148.3658
AmericaRising2.esm,0E0326EC,0004A073,TreeMapleForest1,STAT,-857.667603,-1215.002930,1489.526978,283.9959
AmericaRising2.esm,0E0326ED,0004D93B,TreeMapleblasted01,STAT,-454.432465,-922.031250,1323.943359,183.4180
AmericaRising2.esm,0E0326EE,0004A073,TreeMapleForest1,STAT,-537.949890,-1351.681396,1057.184692,190.0678
AmericaRising2.esm,0E0326EF,00048BAC,VineDecalSmall01,STAT,-44.776672,-608.357727,1547.181030,150.8599
AmericaRising2.esm,0E0326F0,000531BC,TreeMapleblasted06,STAT,-460.013550,-1301.616333,1143.836304,110.7967
AmericaRising2.esm,0E0326F1,0004D320,VineHanging07,STAT,-49.957855,-659.310303,1635.493530,352.3855
AmericaRising2.esm,0E03283D,0004A075,TreeMapleForest3,STAT,-41.664673,16858.503906,2288.674561,37.9308
AmericaRising2.esm,0E03283E,0004A073,TreeMapleForest1,STAT,-139.320984,16918.951172,2144.439209,52.8595
AmericaRising2.esm,0E03269C,000531AE,TreeMapleblasted04,STAT,-4161.892578,3739.319336,1773.959351,209.2011
AmericaRising2.esm,0E03269D,0004A075,TreeMapleForest3,STAT,-4297.457031,3900.404541,1805.368530,154.0138
AmericaRising2.esm,0E03269E,0004D93B,TreeMapleblasted01,STAT,-4248.317871,3570.303467,1350.065918,223.5347
AmericaRising2.esm,0E03269F,0004A075,TreeMapleForest3,STAT,-4683.579102,3702.747314,1659.885010,308.6453
AmericaRising2.esm,0E0326A0,000531AE,TreeMapleblasted04,STAT,-4874.983887,3790.441406,1628.475830,3.4095
AmericaRising2.esm,0E0326A6,0004D320,VineHanging07,STAT,-4299.416016,3058.614502,1952.583618,83.8957
AmericaRising2.esm,0E0326A8,0004A073,TreeMapleForest1,STAT,-4200.158203,3961.423096,1661.133301,169.7037
AmericaRising2.esm,0E0326F2,0004A072,TreeMapleForest6,STAT,-4561.140625,2492.460693,1531.463745,352.3220
AmericaRising2.esm,0E0326F3,0004A072,TreeMapleForest6,STAT,-4755.031250,2596.944336,1560.424438,150.5855
AmericaRising2.esm,0E0326F4,0004A072,TreeMapleForest6,STAT,-4829.000000,2573.306885,1539.187012,40.8681
AmericaRising2.esm,0E0326F5,0004A071,TreeMapleForest5,STAT,-4545.677246,2502.459473,1535.044922,95.6547
AmericaRising2.esm,0E0326F6,0004A075,TreeMapleForest3,STAT,-4638.130859,2570.532715,1442.597290,309.6246
AmericaRising2.esm,0E0326F7,0004A073,TreeMapleForest1,STAT,-4766.760742,2561.561035,1564.409058,100.0445
AmericaRising2.esm,0E0326F8,000531AE,TreeMapleblasted04,STAT,-5182.172363,1539.433105,1858.305054,247.6634
AmericaRising2.esm,0E0326F9,0004A075,TreeMapleForest3,STAT,-5183.189941,1748.856934,1896.419312,194.2355
AmericaRising2.esm,0E0326FA,0004A075,TreeMapleForest3,STAT,-5601.543457,1851.031860,1741.936646,348.7749
AmericaRising2.esm,0E0326FB,0004A071,TreeMapleForest5,STAT,-5016.683594,1253.480103,1738.723755,72.6405
AmericaRising2.esm,0E0326FC,0004A073,TreeMapleForest1,STAT,-5065.315918,1737.467407,1755.104858,209.5156
AmericaRising2.esm,0E0326FD,0004D93B,TreeMapleblasted01,STAT,-5235.305176,2209.438965,1599.549561,108.9127
AmericaRising2.esm,0E0326FE,0004A073,TreeMapleForest1,STAT,-4835.905762,2022.666016,1338.147217,115.3629
AmericaRising2.esm,0E0326FF,00048BAC,VineDecalSmall01,STAT,-5434.801270,2680.683594,1832.299805,241.7195
AmericaRising2.esm,0E032700,000531BC,TreeMapleblasted06,STAT,-4865.880859,2108.339111,1426.754517,35.4489
AmericaRising2.esm,0E032701,0004D320,VineHanging07,STAT,-5389.652344,2659.245361,1921.317383,278.6942
AmericaRising2.esm,0E03271B,0004A071,TreeMapleForest5,STAT,-6122.461914,4065.214844,1518.502930,239.3563
AmericaRising2.esm,0E0327C8,0004A072,TreeMapleForest6,STAT,-6197.078613,3403.692627,1753.553467,6.3929
AmericaRising2.esm,0E0327C9,0004A072,TreeMapleForest6,STAT,-6150.232910,3467.621094,1767.685303,115.2329
AmericaRising2.esm,0E0327CA,0004A073,TreeMapleForest1,STAT,-6139.354492,3432.598145,1775.464966,65.2676
AmericaRising2.esm,0E0327CB,0004A075,TreeMapleForest3,STAT,-6040.151855,3500.432129,1644.994141,274.0192
AmericaRising2.esm,0E0327CC,0004A071,TreeMapleForest5,STAT,-5924.884766,3508.242187,1736.538330,59.8646
AmericaRising2.esm,0E0327CD,0004A072,TreeMapleForest6,STAT,-5931.755371,3490.862549,1734.870605,320.2836
AmericaRising2.esm,0E0327CE,000531BC,TreeMapleblasted06,STAT,-5959.260254,2992.816895,1684.116821,0.7245
AmericaRising2.esm,0E0327CF,0004A073,TreeMapleForest1,STAT,-5885.779297,2930.831787,1601.373169,79.2416
AmericaRising2.esm,0E0327D0,0004A072,TreeMapleForest6,STAT,-5811.543457,2967.729736,1508.875854,227.4892
AmericaRising2.esm,0E02D2F9,000AB287,RockCliffCoast01,STAT,-4121.793945,6111.456543,326.298523,272.8242
AmericaRising2.esm,0E032695,0004A072,TreeMapleForest6,STAT,-4300.889160,4853.231445,1398.932861,315.2361
AmericaRising2.esm,0E032696,0004A072,TreeMapleForest6,STAT,-4516.465332,4809.634277,1430.143311,110.4621
AmericaRising2.esm,0E032697,0004A072,TreeMapleForest6,STAT,-4557.875488,4743.071289,1411.825928,1.6730
AmericaRising2.esm,0E032698,0004A071,TreeMapleForest5,STAT,-4295.488770,4870.976562,1401.742920,54.8458
AmericaRising2.esm,0E032699,0004A075,TreeMapleForest3,STAT,-4410.200684,4859.558594,1309.883057,269.0726
AmericaRising2.esm,0E03269A,0004A073,TreeMapleForest1,STAT,-4502.650879,4775.213867,1435.596436,60.4523
AmericaRising2.esm,0E0326A9,0004D93B,TreeMapleblasted01,STAT,-4634.360840,4206.164551,1495.549683,68.8293
AmericaRising2.esm,0E0326AA,0004A073,TreeMapleForest1,STAT,-4208.926270,4309.020508,1228.791016,74.3672
AmericaRising2.esm,0E0326AB,000531BC,TreeMapleblasted06,STAT,-4286.882324,4359.051270,1315.442627,355.9711
AmericaRising2.esm,0E0326AC,0004A072,TreeMapleForest6,STAT,-4138.554199,4358.018066,1138.928833,222.7253
AmericaRising2.esm,0E0326DE,000C16FE,RockCliff02_NF,STAT,-4792.877930,5441.022949,1039.805298,0.7730
AmericaRising2.esm,0E032703,0004A075,TreeMapleForest3,STAT,-5706.140137,7333.729980,1635.089844,343.1167
AmericaRising2.esm,0E032704,0004A075,TreeMapleForest3,STAT,-5275.854492,7278.842773,1780.573364,188.4709
AmericaRising2.esm,0E032705,000531AE,TreeMapleblasted04,STAT,-5814.597656,7514.182617,1603.680664,38.0279
AmericaRising2.esm,0E032706,000531AE,TreeMapleblasted04,STAT,-5254.923340,7069.348633,1749.164185,241.7825
AmericaRising2.esm,0E032707,0004A072,TreeMapleForest6,STAT,-6288.466309,6265.703613,1506.668579,20.9070
AmericaRising2.esm,0E032708,0004A072,TreeMapleForest6,STAT,-6389.495117,6461.416992,1535.629272,185.2007
AmericaRising2.esm,0E032709,0004A072,TreeMapleForest6,STAT,-6463.891113,6483.673340,1514.391846,75.5651
AmericaRising2.esm,0E03270A,0004A071,TreeMapleForest5,STAT,-6270.057617,6265.225098,1510.249756,128.9976
AmericaRising2.esm,0E03270B,0004A075,TreeMapleForest3,STAT,-6307.925781,6373.611328,1417.802124,343.3309
AmericaRising2.esm,0E03270C,0004A073,TreeMapleForest1,STAT,-6419.154297,6438.836914,1539.613892,134.0141
AmericaRising2.esm,0E03270D,0004D93B,TreeMapleblasted01,STAT,-7004.684570,6412.777832,1574.754395,143.2942
AmericaRising2.esm,0E03270E,0004A073,TreeMapleForest1,STAT,-6780.505859,6033.109375,1313.352051,150.1006
AmericaRising2.esm,0E03270F,000531BC,TreeMapleblasted06,STAT,-6756.871094,6120.743652,1401.959351,70.0746
AmericaRising2.esm,0E032710,0004D93B,TreeMapleblasted01,STAT,-5381.267578,7721.427734,1470.754517,103.1906
AmericaRising2.esm,0E032711,000393CD,TreeBlasted02,STAT,-5981.739258,5254.028320,1465.889526,193.2810
AmericaRising2.esm,0E032712,0004A071,TreeMapleForest5,STAT,-5970.034668,5274.538574,1355.907593,273.4662
AmericaRising2.esm,0E032713,0004A076,TreeMapleForest4,STAT,-6044.288086,5338.385254,1527.292847,69.7770
AmericaRising2.esm,0E032714,0004A072,TreeMapleForest6,STAT,-5999.000488,5386.830566,1398.685425,345.6360
AmericaRising2.esm,0E032715,000531B3,TreeMapleblasted05,STAT,-5905.079590,5790.474121,1291.451538,25.7831
AmericaRising2.esm,0E032716,00133853,DeadShrub01,STAT,-5511.201660,5663.471680,1714.163208,233.8626
AmericaRising2.esm,0E032717,0004A075,TreeMapleForest3,STAT,-5993.959473,4749.229980,1502.432983,34.7278
AmericaRising2.esm,0E032718,0004A073,TreeMapleForest1,STAT,-6094.843750,4804.117188,1358.197632,49.6624
AmericaRising2.esm,0E032719,000531AE,TreeMapleblasted04,STAT,-5920.025391,4946.356445,1471.023804,86.1275
AmericaRising2.esm,0E03271A,0004D320,VineHanging07,STAT,-5471.331543,4372.165039,1812.243286,289.6009
AmericaRising2.esm,0E03271C,0004A076,TreeMapleForest4,STAT,-5909.447754,5891.017090,1260.273315,252.6633
AmericaRising2.esm,0E03271D,0004A072,TreeMapleForest6,STAT,-5926.467285,5880.750488,1529.296021,134.0649
AmericaRising2.esm,0E03271E,00133853,DeadShrub01,STAT,-5904.505371,5936.848633,1488.250122,99.7476
