source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
AnimalRescue.esp,FE06206A,FE062020,AniRes_Workshop_DogMutt,NPC_,101856.398438,34389.429688,1202.709351,0.0000
AnimalRescue.esp,FE062069,FE062005,AniRes_Brahmin,NPC_,-91228.781250,28160.466797,6249.454590,0.0000
AnimalRescue.esp,FE062068,FE062064,AniRes_Workshop_DogMutt_Wander,NPC_,-90472.125000,-18593.064453,5292.956055,0.0000
AnimalRescue.esp,FE062067,FE062056,AniRes_HouseCat_Calico,NPC_,7946.412109,-58339.363281,494.000000,0.0000
AnimalRescue.esp,FE062066,FE062062,AniRes_Workshop_DogMutt_Set3_Wander,NPC_,-6756.242187,-41405.964844,1920.000000,0.0000
AnimalRescue.esp,FE062065,FE062061,AniRes_Workshop_DogMutt_Set4_Wander,NPC_,-74275.617188,43040.546875,4270.985840,0.0000
AnimalRescue.esp,FE062060,FE062051,AniRes_HouseCat_Orange,NPC_,-72574.046875,42798.347656,4220.388672,0.0000
AnimalRescue.esp,FE06205E,FE062053,AniRes_HouseCat_Rusty,NPC_,-16232.214844,-53258.843750,2294.869873,0.0000
AnimalRescue.esp,FE06205D,FE062026,AniRes_Workshop_Labrador,NPC_,-23043.541016,14560.928711,2203.411133,0.0000
AnimalRescue.esp,FE06205C,FE062053,AniRes_HouseCat_Rusty,NPC_,36043.136719,-45834.207031,1234.047852,0.0000
AnimalRescue.esp,FE06205B,FE062042,AniRes_Workshop_DogMeat1Ear_Set3,NPC_,37991.191406,-101828.593750,707.700806,0.0000
AnimalRescue.esp,FE06205A,FE062046,AniRes_Workshop_DogMutt_Set4,NPC_,37763.312500,-101682.398438,667.564331,0.0000
AnimalRescue.esp,FE062014,FE06203E,AniRes_Workshop_DogMeatFloppy_Set2,NPC_,-36409.535156,-15221.850586,1471.465210,0.0000
AnimalRescue.esp,FE062012,FE062023,AniRes_Workshop_DogMeat1Ear,NPC_,-97624.546875,48530.667969,6351.778320,0.0000
AnimalRescue.esp,FE062011,FE062019,AniRes_WorkshopDog,NPC_,-100346.804688,50835.046875,6533.126465,0.0000
AnimalRescue.esp,FE062010,FE062005,AniRes_Brahmin,NPC_,-100909.750000,69437.960938,8811.618164,0.0000
AnimalRescue.esp,FE06200F,FE062054,AniRes_HouseCat_DarkBrown,NPC_,-101713.921875,69644.726562,8908.766602,0.0000
AnimalRescue.esp,FE06200E,FE062044,AniRes_Workshop_DogMeatFloppy_Set4,NPC_,-25215.945312,46900.414062,3084.336426,0.0000
AnimalRescue.esp,FE06200D,FE062054,AniRes_HouseCat_DarkBrown,NPC_,-50294.875000,55124.765625,4688.444336,0.0000
AnimalRescue.esp,FE06200C,FE062005,AniRes_Brahmin,NPC_,-46374.640625,54016.648437,4311.053711,0.0000
AnimalRescue.esp,FE06200B,FE062005,AniRes_Brahmin,NPC_,-58370.460937,81902.718750,7144.807129,0.0000
AnimalRescue.esp,FE06200A,FE062050,AniRes_HouseCat_Black,NPC_,-62565.566406,76184.015625,6213.978027,119.3577
AnimalRescue.esp,FE062009,FE062043,AniRes_Workshop_DogMutt_Set3,NPC_,-61882.207031,76175.531250,6161.941406,0.0000
AnimalRescue.esp,FE062008,FE062055,AniRes_HouseCat_LightBrown,NPC_,-81120.343750,89767.289062,7762.748535,263.5606
AnimalRescue.esp,FE062007,FE06203F,AniRes_Workshop_DogMeat1Ear_Set2,NPC_,-76806.992188,98492.875000,7269.710937,296.9747
AnimalRescue.esp,FE062006,FE062005,AniRes_Brahmin,NPC_,-69000.218750,93638.257812,7462.712891,354.2704
AnimalRescue.esp,FE062004,FE062056,AniRes_HouseCat_Calico,NPC_,-63930.859375,83007.085938,7904.756836,0.0000
AnimalRescue.esp,FE062003,FE062018,AniRes_Workshop_DogMeat,NPC_,-79055.828125,63356.007812,6757.249023,0.0000
AnimalRescue.esp,FE062002,FE062026,AniRes_Workshop_Labrador,NPC_,-52552.414062,99019.921875,8646.509766,337.0817
AnimalRescue.esp,FE062001,FE062005,AniRes_Brahmin,NPC_,-52861.789062,99268.695312,8667.348633,0.0000
AnimalRescue.esp,FE062013,FE062052,Anires_HouseCat_White,NPC_,-704.434265,-450.194641,-245.159393,0.0000
