source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Backpacks of the Commonwealth.esp,2D01F992,0004D207,CartWheeledGarage01,STAT,-57972.046875,-53794.464844,2880.000000,2.8648
Backpacks of the Commonwealth.esp,2D0D7695,0007C702,DN088_SafeDoor01,DOOR,-115862.000000,-108330.328125,12104.705078,97.4029
Backpacks of the Commonwealth.esp,2D0DBAE9,0018E97F,BunExtShutter01,STAT,-115369.531250,-107796.242187,12036.786133,90.0001
Backpacks of the Commonwealth.esp,2D0DBAE8,00094731,SecurityGateSmLatch01,DOOR,-115413.421875,-107513.625000,12037.056641,45.8367
Backpacks of the Commonwealth.esp,2D0D7696,00026F01,SafeNoDoor,STAT,-115861.531250,-108330.203125,12104.864258,97.4029
Backpacks of the Commonwealth.esp,2D0BDCAD,2D09B9EC,backpack_pot_BPNukaGold,ALCH,-116087.570312,-108414.882812,12047.800781,63.0254
Backpacks of the Commonwealth.esp,2D0685BC,000F2B91,LvlFeralGhoulGlowingOneAmbush,NPC_,-115250.210937,-106969.148437,11833.734375,34.3775
Backpacks of the Commonwealth.esp,2D0685BB,000F2B91,LvlFeralGhoulGlowingOneAmbush,NPC_,-114931.093750,-107630.187500,11858.510742,80.2142
Backpacks of the Commonwealth.esp,2D05FCB4,2D04B806,backpack_npc_BPGhoul_encFeralGhoulGlowing03AmbushLegendary,NPC_,-115839.210937,-107897.187500,12048.335938,35.3409
Backpacks of the Commonwealth.esp,2D009C6A,2D00DB9E,backpack_pBookBackpacksArmoredInfantry,BOOK,-55573.113281,68108.812500,6880.625977,285.5156
Backpacks of the Commonwealth.esp,2D023E1C,0008BB1A,NpcBenchShortFederalistSit01Static,STAT,-44578.882812,85783.101562,605.568970,91.6733
Backpacks of the Commonwealth.esp,2D023E1B,0001A4B9,Newspaper01,MISC,-44581.257812,85797.765625,647.192932,0.8973
Backpacks of the Commonwealth.esp,2D023E1A,000286F5,Newspaper,MISC,-44580.804688,85808.921875,649.838135,104.0960
Backpacks of the Commonwealth.esp,2D023E19,000286F5,Newspaper,MISC,-44582.449219,85790.507812,651.558899,280.7497
Backpacks of the Commonwealth.esp,2D023E18,000286F5,Newspaper,MISC,-44580.195312,85798.148438,649.838135,281.7129
