source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Boat To Spectacle Island - AR2 Patch.esp,FE0563B7,0001D18E,TrashDecal02,STAT,40125.183594,-39654.089844,571.151855,85.2407
Boat To Spectacle Island - AR2 Patch.esp,FE0563B6,0008A5D7,TrashEdge01,STAT,40141.027344,-39527.476562,567.421509,85.1441
Boat To Spectacle Island - AR2 Patch.esp,FE0563B5,00165015,OfficePaperDebris05,STAT,39669.511719,-39628.792969,460.135376,85.2692
Boat To Spectacle Island - AR2 Patch.esp,FE0563B4,0001D1B5,TrashDecal04,STAT,39856.984375,-39566.332031,476.049561,85.2692
Boat To Spectacle Island - AR2 Patch.esp,FE0563B3,00165015,OfficePaperDebris05,STAT,39601.222656,-39736.660156,457.929810,85.2692
Boat To Spectacle Island - AR2 Patch.esp,FE0563B2,0001D1AF,TrashDecal03,STAT,39661.101562,-39713.863281,462.983856,168.3481
Boat To Spectacle Island - AR2 Patch.esp,FE0563B1,000C5748,DCKitPlywood12,STAT,40091.855469,-39415.007812,625.125977,4.6249
Boat To Spectacle Island - AR2 Patch.esp,FE0563B0,000C574D,DCKitPlywoodBroke04,STAT,40108.152344,-39573.351562,593.296631,351.4300
Boat To Spectacle Island - AR2 Patch.esp,FE0563AF,03003684,BarnPlanks03,STAT,40100.273438,-39495.601562,603.607056,264.0684
Boat To Spectacle Island - AR2 Patch.esp,FE0563AE,FE05602E,BTI_BoatConsole_2,SCOL,39973.828125,-39577.742188,516.642151,85.0532
Boat To Spectacle Island - AR2 Patch.esp,FE0563AD,00118CD1,BoatFishing03_Red,STAT,39778.355469,-39585.609375,274.807739,180.8563
Boat To Spectacle Island - AR2 Patch.esp,FE0563AC,000CFE70,UtilMetalElevatorHatch01Static,STAT,39829.488281,-39667.957031,272.533661,91.7612
Boat To Spectacle Island - AR2 Patch.esp,FE056272,001F96B6,DecalCoastseagullDroppings,TXST,39950.023438,-39625.753906,957.406738,289.0646
Boat To Spectacle Island - AR2 Patch.esp,FE056259,FE056010,BTI_Boat_Part_Search_Trigger,ACTI,39861.542969,-39659.074219,482.799438,90.6595
