source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Boat To Spectacle Island.esp,FE056418,000457C4,VineHanging03,STAT,69408.000000,-53876.000000,804.000000,180.0000
Boat To Spectacle Island.esp,FE056417,00048BAC,VineDecalSmall01,STAT,69436.000000,-53876.000000,564.000000,0.0000
Boat To Spectacle Island.esp,FE056416,00047E3F,VineDecalMed02,STAT,69436.000000,-53876.000000,688.000000,0.0000
Boat To Spectacle Island.esp,FE056415,000211F4,WoodBarrel01,STAT,69139.468750,-54342.453125,554.046875,0.0000
Boat To Spectacle Island.esp,FE056414,001A594C,Bin_Plastic,MSTT,69228.000000,-53940.000000,610.221008,350.0000
Boat To Spectacle Island.esp,FE056413,001A5949,WoodBasket,MSTT,69444.000000,-54100.000000,556.000000,0.0000
Boat To Spectacle Island.esp,FE056412,0004D1F5,Wrench01,MISC,69231.148438,-53935.355469,621.545349,78.1831
Boat To Spectacle Island.esp,FE056411,0004D1F7,Wrench03,MISC,69232.546875,-53940.316406,620.650635,258.5058
Boat To Spectacle Island.esp,FE056410,0004D1F6,Wrench02,MISC,69179.859375,-53922.531250,612.977539,5.3010
Boat To Spectacle Island.esp,FE05640F,0004D1F3,Hammer01,MISC,69179.804688,-53927.085937,612.870483,63.9612
Boat To Spectacle Island.esp,FE05640E,00084D7A,WrhsDoorSmMetal01,DOOR,69047.765625,-54255.066406,556.000000,90.0000
Boat To Spectacle Island.esp,FE05640D,000E7D99,StepLadderClosed,STAT,69332.828125,-53932.269531,554.046875,0.0000
Boat To Spectacle Island.esp,FE05640C,001A0380,Loot_ToolChest,CONT,69545.570312,-53927.406250,554.036499,90.0000
Boat To Spectacle Island.esp,FE05640B,000670B1,Loot_Prewar_ToolBox,CONT,69097.843750,-53921.890625,610.221130,30.0000
Boat To Spectacle Island.esp,FE05640A,000928C1,DummyNoEdit_Weap_All_Short,MISC,69223.265625,-53930.320312,612.039001,270.0000
Boat To Spectacle Island.esp,FE056409,000B3651,DummyNoEdit_RadMeds,MISC,69409.031250,-53933.691406,617.618347,0.0000
Boat To Spectacle Island.esp,FE056408,00060E73,AntiFreeze,MISC,69117.062500,-53925.648437,616.187805,201.5783
