source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
CWOutfitPackPart2.esl,FE0098FC,001DA026,FXFireMedSmokey01,MSTT,-76372.140625,8637.614258,2148.080566,0.0000
CWOutfitPackPart2.esl,FE0098FB,001DA026,FXFireMedSmokey01,MSTT,-76315.257812,8701.630859,2111.012695,0.0000
CWOutfitPackPart2.esl,FE0098F8,000AEEC6,Vertibird03RightWing,STAT,-76237.289062,9585.069336,2347.487061,57.7993
CWOutfitPackPart2.esl,FE0098F7,000AEEC5,Vertibird03LeftWing,STAT,-77007.476562,8380.394531,2170.432373,26.8402
CWOutfitPackPart2.esl,FE0098F6,000A8478,Vertibird03,STAT,-76591.632812,8709.468750,1726.321289,39.6054
CWOutfitPackPart2.esl,FE009916,FE009915,00DCOutfitUSArmyGeneralOvercoat,ARMO,12918.647461,-45623.312500,1043.752686,121.5126
CWOutfitPackPart2.esl,FE00990B,FE0098E4,00DCHannibalHamlin_Russelled,NPC_,-87249.773438,-2999.826660,6190.581055,325.6225
CWOutfitPackPart2.esl,FE0098FA,FE0098F9,00DCLoot_Crate_Autumn,CONT,-76360.851562,8801.490234,1864.905884,175.7925
CWOutfitPackPart2.esl,FE0098F1,FE0098EE,00DCLoot_Trunk_Mechanist,CONT,40628.824219,3523.674561,561.181335,146.1042
CWOutfitPackPart2.esl,FE0098F0,FE0098EF,00DCLoot_Trunk_Antagonizer,CONT,40780.636719,3281.638672,561.022339,34.3773
CWOutfitPackPart2.esl,FE009935,FE009808,00DCOutfitChineseCommandoJumpsuit,ARMO,-43.734936,2405.846436,-72.310478,194.8054
CWOutfitPackPart2.esl,FE009934,FE009808,00DCOutfitChineseCommandoJumpsuit,ARMO,53.507427,2383.651611,-24.614815,137.5096
CWOutfitPackPart2.esl,FE009938,FE009807,00DCOutfitChineseCommandoHat,ARMO,-341.119263,-3086.208984,303.095215,148.9650
CWOutfitPackPart2.esl,FE009937,FE009807,00DCOutfitChineseCommandoHat,ARMO,-1.636464,2341.043213,-85.418442,12.1295
CWOutfitPackPart2.esl,FE009936,FE009807,00DCOutfitChineseCommandoHat,ARMO,-111.687698,2392.583984,-24.933853,153.7347
CWOutfitPackPart2.esl,FE0098E6,FE009872,00DCPlanOutfitChineseCommando,MISC,-341.291290,-3114.283447,232.945618,282.6504
CWOutfitPackPart2.esl,FE009933,FE009813,00DCOutfitEulogyJonesHat,ARMO,9218.284180,2267.782959,159.622101,339.9464
CWOutfitPackPart2.esl,FE009932,FE009814,00DCOutfitEulogyJones,ARMO,9221.685547,2265.956543,150.843765,0.0000
CWOutfitPackPart2.esl,FE0098E8,FE009806,00DCButtonsWig,ARMO,2010.598022,1513.098877,763.871277,299.8392
CWOutfitPackPart2.esl,FE0098EA,FE009910,00DCOutfitVaultBoyWatch,ARMO,1364.361328,-197.124115,319.966522,252.5222
CWOutfitPackPart2.esl,FE0098E9,FE009911,00DCMQ04SlasherMask,ARMO,1363.333374,-180.106094,321.645447,262.5969
CWOutfitPackPart2.esl,FE009917,FE009817,00DCOutfitGeneralOvercoat,ARMO,-236.288773,-1101.373413,51.465324,91.6732
CWOutfitPackPart2.esl,FE009931,000E4610,EnableMarker,STAT,201.840836,0.799461,0.000000,0.0000
CWOutfitPackPart2.esl,FE0098F4,000E4610,EnableMarker,STAT,0.000000,0.799461,0.000000,0.0000
