source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
CWPlasmaDefender.esp,FE0659CC,001B8AA0,PickUpTruck06,MSTT,-30535.056641,-107031.546875,1819.284546,171.2074
CWPlasmaDefender.esp,FE0659C9,00060CB4,Loot_AmmoBox,CONT,-30113.169922,-107845.507812,1917.000000,128.4339
CWPlasmaDefender.esp,FE0659C8,0008B945,CeilingLamp01,STAT,-30173.332031,-107774.351562,2117.137695,256.8680
CWPlasmaDefender.esp,FE06522C,0019B5F5,MetalShelf01Debris01,SCOL,-30162.398437,-107886.218750,1916.500000,319.8930
CWPlasmaDefender.esp,FE06522B,0019B5F7,MetalShelf01Debris02,SCOL,-30189.359375,-107636.781250,1916.500000,314.1634
CWPlasmaDefender.esp,FE06522A,00001B56,DecalDebris03,STAT,-30152.000000,-107796.000000,1917.000000,56.4592
CWPlasmaDefender.esp,FE065226,000047DB,DiamondGreebAntenna08,STAT,-30182.000000,-107887.000000,2252.000000,225.0000
CWPlasmaDefender.esp,FE065225,000518EC,ACDuctLG2Way02,STAT,-30197.000000,-107548.000000,2177.000000,90.0000
CWPlasmaDefender.esp,FE065224,000518E3,ACDuctLG1Way01,STAT,-30197.000000,-107548.000000,1860.000000,90.0000
CWPlasmaDefender.esp,FE065223,000518EA,ACDuctLG1WayLong01,STAT,-30197.000000,-107548.000000,2049.000000,90.0000
CWPlasmaDefender.esp,FE065222,000518E3,ACDuctLG1Way01,STAT,-29961.000000,-107785.000000,1860.000000,270.0000
CWPlasmaDefender.esp,FE065221,000518EA,ACDuctLG1WayLong01,STAT,-29961.000000,-107785.000000,2049.000000,270.0000
CWPlasmaDefender.esp,FE065220,000518EC,ACDuctLG2Way02,STAT,-29961.000000,-107785.000000,2177.000000,270.0000
CWPlasmaDefender.esp,FE06521F,0017FE34,FlagWavingUSA02,MSTT,-30339.000000,-107322.000000,1883.000000,66.2451
CWPlasmaDefender.esp,FE06521E,00001E1A,FenceChainlinkPost01,STAT,-30019.000000,-107389.000000,1887.000000,45.0000
CWPlasmaDefender.esp,FE06521D,00001E1C,FenceChainlink02,STAT,-30200.000000,-107208.000000,1887.000000,45.0000
CWPlasmaDefender.esp,FE06521C,0005E571,FenceChainlinkUp32,STAT,-30456.000000,-107208.000000,1850.000000,0.0000
CWPlasmaDefender.esp,FE06521B,0005E571,FenceChainlinkUp32,STAT,-30712.000000,-107208.000000,1818.000000,0.0000
CWPlasmaDefender.esp,FE06521A,000223DD,FenceChainlinkGate01R,STAT,-30713.000000,-107463.000000,1818.000000,270.0000
CWPlasmaDefender.esp,FE065219,0005E572,FenceChainlinkDown32,STAT,-30713.000000,-107719.000000,1851.000000,270.0000
CWPlasmaDefender.esp,FE065218,00001E18,FenceChainlink01R,STAT,-30457.000000,-107976.000000,1888.000000,180.0000
CWPlasmaDefender.esp,FE065217,0005E572,FenceChainlinkDown32,STAT,-30713.000000,-107975.000000,1888.000000,270.0000
CWPlasmaDefender.esp,FE065215,00001E1B,FenceChainlink01,STAT,-30201.000000,-107976.000000,1888.000000,180.0000
CWPlasmaDefender.esp,FE065214,0018E97E,BunExtDoor01,DOOR,-30314.000000,-107772.000000,1917.000000,90.0000
CWPlasmaDefender.esp,FE065213,000518E6,ACDuctMed1WayLong01,STAT,-30066.000000,-107671.000000,2162.000000,315.0000
CWPlasmaDefender.esp,FE065212,000518E4,ACDuctMed1Way01,STAT,-30052.000000,-107721.000000,2162.000000,45.0000
CWPlasmaDefender.esp,FE065211,00051941,ACDuctMed4Way01,STAT,-30222.000000,-107891.000000,2162.000000,45.0000
CWPlasmaDefender.esp,FE065210,00051941,ACDuctMed4Way01,STAT,-30199.000000,-107868.000000,2162.000000,45.0000
CWPlasmaDefender.esp,FE06520F,000B72E5,ACDuctLgSplit01,STAT,-30098.000000,-107856.000000,2163.000000,45.0000
CWPlasmaDefender.esp,FE06520E,00067A96,BldConcSmWallScktA02,STAT,-30154.000000,-107745.000000,1981.000000,135.0000
CWPlasmaDefender.esp,FE06520D,00067A96,BldConcSmWallScktA02,STAT,-30155.445312,-107746.445312,1917.000000,135.0000
CWPlasmaDefender.esp,FE06520B,0005C44D,BunIntCorIn01,STAT,-30185.000000,-107772.000000,1916.000000,225.0000
CWPlasmaDefender.esp,FE06520A,0005C44F,BunIntCorInExSm01,STAT,-30185.000000,-107772.000000,1916.000000,315.0000
CWPlasmaDefender.esp,FE065209,0005C454,BunIntWall01,STAT,-30095.000000,-107682.000000,1916.000000,135.0000
CWPlasmaDefender.esp,FE065208,0005C454,BunIntWall01,STAT,-30095.000000,-107682.000000,1916.000000,315.0000
CWPlasmaDefender.esp,FE065207,0005774E,BunExtCorOut01,STAT,-30005.000000,-107592.000000,1916.000000,135.0000
CWPlasmaDefender.esp,FE065206,0005774E,BunExtCorOut01,STAT,-30005.000000,-107592.000000,1916.000000,45.0000
CWPlasmaDefender.esp,FE065205,00057751,BunExtWall01,STAT,-30095.000000,-107682.000000,1916.000000,135.0000
CWPlasmaDefender.esp,FE0651F9,000AC9D0,DefaultSetPlayerOnElevatorTrig,ACTI,-29983.000000,-107574.000000,2005.000000,225.0001
