source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
CWSkorp.esp,FE06A4C8,00018C8B,IndMetalDoorLoad01,DOOR,-3717.000000,3216.000000,901.000000,101.4592
CWSkorp.esp,FE06A796,0002B785,MistGroundSlow01Dim,MSTT,1836.218750,2620.016602,342.752472,0.0000
CWSkorp.esp,FE06A794,00000032,COCMarkerHeading,STAT,2413.989502,2662.505859,244.612091,268.3269
CWSkorp.esp,FE06A792,0008E7C5,OilLampOn,STAT,2077.879883,2604.442383,274.718262,29.6114
CWSkorp.esp,FE06A791,0008ADFA,defaultLightFire01NSFlicker,LIGH,2078.432373,2603.355957,293.295319,299.6114
CWSkorp.esp,FE06A790,00101183,defaultLightFire01NSNonSpec,LIGH,2048.942139,2652.927979,260.830688,225.1268
CWSkorp.esp,FE06A78F,0008E7C5,OilLampOn,STAT,2141.842773,3008.565430,115.844955,45.8367
CWSkorp.esp,FE06A78E,0008ADFA,defaultLightFire01NSFlicker,LIGH,2142.070312,3007.367432,134.422028,315.8367
CWSkorp.esp,FE06A78D,00101183,defaultLightFire01NSNonSpec,LIGH,2114.491943,2991.110596,215.683823,315.8367
CWSkorp.esp,FE06A78C,0008E7C5,OilLampOn,STAT,2322.611084,2913.904785,185.126266,34.3775
CWSkorp.esp,FE06A78B,0008ADFA,defaultLightFire01NSFlicker,LIGH,2323.070557,2912.776611,203.703323,304.3775
CWSkorp.esp,FE06A78A,00101183,defaultLightFire01NSNonSpec,LIGH,2323.070557,2912.776611,260.221771,304.3775
CWSkorp.esp,FE06A789,00036B3C,MistLargeRoundDusty,MSTT,2389.410400,2628.877686,650.723450,233.9494
CWSkorp.esp,FE06A788,00036B3C,MistLargeRoundDusty,MSTT,2071.406738,2645.270996,529.252319,296.9747
CWSkorp.esp,FE06A787,00036B3C,MistLargeRoundDusty,MSTT,1459.280762,2647.712646,522.247803,233.9494
CWSkorp.esp,FE06A786,00036B3C,MistLargeRoundDusty,MSTT,1446.544922,2673.407959,272.439636,296.9747
CWSkorp.esp,FE06A785,00036B3C,MistLargeRoundDusty,MSTT,2065.074951,2630.796875,291.213104,233.9494
CWSkorp.esp,FE06A784,00036B3C,MistLargeRoundDusty,MSTT,2062.637695,2934.501221,328.449402,291.2452
CWSkorp.esp,FE06A783,00036B3C,MistLargeRoundDusty,MSTT,1319.382324,2924.971191,254.300690,233.9494
CWSkorp.esp,FE06A782,00036B3C,MistLargeRoundDusty,MSTT,2128.082520,2868.411865,574.590210,233.9494
CWSkorp.esp,FE06A76A,0008ADFA,defaultLightFire01NSFlicker,LIGH,1659.562500,2606.267090,213.220734,229.8930
CWSkorp.esp,FE06A769,00101183,defaultLightFire01NSNonSpec,LIGH,1643.464478,2629.617188,244.762985,229.8930
CWSkorp.esp,FE06A768,0008E7C5,OilLampOn,STAT,2340.611816,2932.792725,628.000000,349.5043
CWSkorp.esp,FE06A767,0008ADFA,defaultLightFire01NSFlicker,LIGH,2341.732910,2932.317383,646.577026,259.5043
CWSkorp.esp,FE06A766,0008ADF9,defaultLightFire01Flicker,LIGH,2341.470215,2954.917725,680.562683,225.1268
CWSkorp.esp,FE06A765,00048281,MetalBarrel01Fire02_Static,STAT,2230.012451,3017.633789,372.095337,342.8113
CWSkorp.esp,FE06A764,000C581B,defaultLightFire01NS,LIGH,2234.292480,3019.427979,465.117432,103.1462
CWSkorp.esp,FE06A763,00101183,defaultLightFire01NSNonSpec,LIGH,2224.119385,3022.135254,490.947083,103.1462
CWSkorp.esp,FE06A762,0008E7C5,OilLampOn,STAT,2143.417969,3009.003906,371.931763,57.2958
CWSkorp.esp,FE06A761,0008ADFA,defaultLightFire01NSFlicker,LIGH,2143.402344,3007.785889,390.508820,327.2958
CWSkorp.esp,FE06A760,00101183,defaultLightFire01NSNonSpec,LIGH,2143.402344,3007.785889,447.027161,327.2958
CWSkorp.esp,FE06A75E,00048281,MetalBarrel01Fire02_Static,STAT,1687.822021,2992.338135,115.923073,74.4846
CWSkorp.esp,FE06A75D,00101183,defaultLightFire01NSNonSpec,LIGH,1687.805542,2989.266846,208.945145,120.2390
CWSkorp.esp,FE06A75C,0008ADF9,defaultLightFire01Flicker,LIGH,1697.575195,2993.186279,240.041275,357.4007
CWSkorp.esp,FE06A75B,0008E7C5,OilLampOn,STAT,1544.124268,2922.041260,381.190002,51.5662
