source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
CWThrowables.esp,FE067064,0006230E,Shack_Single_PlankLng03,STAT,-27089.800781,50300.726562,2890.861816,45.8194
CWThrowables.esp,FE067063,0006230C,Shack_Single_PlankLng02,STAT,-27089.863281,50300.664062,2887.087646,68.7376
CWThrowables.esp,FE067062,0008E799,DeskLamp01On,STAT,-26934.607422,50307.886719,2792.260010,8.2624
CWThrowables.esp,FE067061,000560DC,defaultLightWarm01NS,LIGH,-26936.236328,50308.765625,2808.938965,222.8799
CWThrowables.esp,FE067060,000FDEE8,defaultLightWarm01NSNonSpec,LIGH,-26992.462891,50324.546875,2812.684082,222.8799
CWThrowables.esp,FE06705F,000E7D99,StepLadderClosed,STAT,-27270.363281,50273.941406,2673.380859,44.8565
CWThrowables.esp,FE06705E,00115BFE,SignGeneralOpen,STAT,-27140.937500,50518.761719,2846.316406,225.0000
CWThrowables.esp,FE06705D,0006230C,Shack_Single_PlankLng02,STAT,-27169.710937,50402.593750,2914.867920,180.0000
CWThrowables.esp,FE06705C,00018CD9,MetalBarrelStatic02,STAT,-27253.652344,50234.234375,2679.614258,0.0000
CWThrowables.esp,FE06705B,00018CD4,MetalBarrelStatic01,STAT,-27200.064453,50194.507812,2677.432129,0.0000
CWThrowables.esp,FE06705A,FE067017,00CWLennyTurretTripod,NPC_,-27221.976562,50592.839844,2686.197266,331.3521
CWThrowables.esp,FE067059,FE067017,00CWLennyTurretTripod,NPC_,-26869.482422,50291.640625,2688.000000,107.1887
CWThrowables.esp,FE067058,000224FF,ShackSteps01,STAT,-26968.347656,50237.859375,2671.000000,45.0001
CWThrowables.esp,FE067057,FE067018,00CWExplVendLenny,NPC_,-27072.910156,50312.644531,2715.000000,45.8366
CWThrowables.esp,FE067056,000A158B,Loot_Raider_WoodCrate,CONT,-27181.039062,50256.031250,2715.000000,228.2197
CWThrowables.esp,FE067055,00245D62,CeilingFan02Animated,MSTT,-27089.873047,50300.558594,2894.618164,0.0000
CWThrowables.esp,FE067054,0008B93A,OilLamp,STAT,-27210.902344,50299.113281,2766.260010,85.9437
CWThrowables.esp,FE067053,001487C1,WorkbenchChemistryB,FURN,-27061.046875,50571.902344,2681.985840,228.2198
CWThrowables.esp,FE067052,0008B5FD,TrashEdge03,STAT,-27195.197266,50391.257812,2715.000000,314.1634
CWThrowables.esp,FE067051,0001D184,TrashDecal01,STAT,-27065.400391,50302.355469,2715.000000,0.0000
CWThrowables.esp,FE067050,000211F6,WoodCrate02,STAT,-27085.259766,50183.785156,2747.971191,225.0000
CWThrowables.esp,FE06704F,000211F7,WoodCrate03,STAT,-27071.025391,50198.125000,2715.000000,225.0000
CWThrowables.esp,FE06704E,00214000,LSSemiAutomatic,STAT,-27050.947266,50213.699219,2749.813232,180.0000
CWThrowables.esp,FE06704D,00214007,LSMine,STAT,-27057.035156,50223.257812,2814.685547,0.0000
CWThrowables.esp,FE06704C,0021400F,LSFatman,STAT,-27064.474609,50190.367188,2789.915039,61.0779
CWThrowables.esp,FE06704B,0021400C,LSGrenades,STAT,-27037.000000,50215.000000,2816.000000,90.0000
CWThrowables.esp,FE06704A,0022B6A5,LSGunBoard,STAT,-27192.000000,50241.000000,2834.000000,225.0000
CWThrowables.esp,FE067049,0019B5F7,MetalShelf01Debris02,SCOL,-27071.000000,50196.000000,2715.000000,315.0000
CWThrowables.esp,FE067048,00062306,Shack_Single_Plank04,STAT,-26976.000000,50238.000000,2881.000000,225.0000
CWThrowables.esp,FE067047,00062310,Shack_Single_PlankLng04,STAT,-27011.000000,50207.000000,2755.000000,90.0000
CWThrowables.esp,FE067046,0006230E,Shack_Single_PlankLng03,STAT,-26941.000000,50277.000000,2755.000000,90.0000
CWThrowables.esp,FE067045,0006230C,Shack_Single_PlankLng02,STAT,-26913.000000,50298.000000,2763.000000,90.0000
CWThrowables.esp,FE067044,0006230A,Shack_Single_PlankLng01,STAT,-26926.000000,50287.000000,2763.000000,90.0000
CWThrowables.esp,FE067043,000C5738,DCKitPlankMed04,STAT,-26933.000000,50278.000000,2791.000000,0.0000
CWThrowables.esp,FE067042,001D581A,ShackDoor01Static,STAT,-26975.000000,50237.000000,2711.000000,315.0000
CWThrowables.esp,FE067041,00001E1B,FenceChainlink01,STAT,-26912.000000,50308.000000,2728.000000,225.0000
CWThrowables.esp,FE067040,0018AC41,CashRegisterContainer_EMPTY,CONT,-27052.000000,50415.000000,2792.000000,45.0000
CWThrowables.esp,FE06703F,000C5737,DCKitPlankMed03,STAT,-26941.000000,50277.000000,2791.000000,0.0000
CWThrowables.esp,FE06703E,000C5737,DCKitPlankMed03,STAT,-27115.220703,50442.937500,2791.189941,0.0000
CWThrowables.esp,FE06703D,00032B2D,ShackWallHalfB01,STAT,-26988.000000,50400.000000,2671.000000,179.9999
CWThrowables.esp,FE06703C,000211F5,WoodCrate01,STAT,-27218.000000,50307.000000,2714.000000,225.0000
CWThrowables.esp,FE06703B,000211F6,WoodCrate02,STAT,-27159.000000,50500.000000,2714.000000,315.0000
CWThrowables.esp,FE06703A,000211F7,WoodCrate03,STAT,-27263.000000,50377.000000,2714.000000,315.0000
CWThrowables.esp,FE067039,000211F7,WoodCrate03,STAT,-27204.000000,50420.000000,2714.000000,45.0000
CWThrowables.esp,FE067038,000707C5,NpcBedMetalLay01Static,STAT,-27232.000000,50413.000000,2713.000000,45.0000
CWThrowables.esp,FE067037,000469BB,ShackWallFlatEnd02,STAT,-27254.000000,50309.000000,2706.000000,135.0000
CWThrowables.esp,FE067036,001E716B,ShackWallFlatEnd04,STAT,-27082.000000,50481.000000,2706.000000,135.0000
CWThrowables.esp,FE067035,000F0B52,ShackWallHalfB02,STAT,-27080.000000,50304.000000,2681.000000,225.0000
CWThrowables.esp,FE067034,000EED10,ShackWallOuterCap01Half01,STAT,-26903.000000,50485.000000,2769.000000,45.0000
CWThrowables.esp,FE067033,000224FF,ShackSteps01,STAT,-26952.000000,50350.000000,2671.000000,315.0000
CWThrowables.esp,FE067032,000224FF,ShackSteps01,STAT,-27041.000000,50439.000000,2671.000000,315.0000
CWThrowables.esp,FE067031,000469B5,ShackWallOuter04A,STAT,-27171.000000,50392.000000,2713.000000,135.0000
CWThrowables.esp,FE067030,00032B23,ShackWallHalfR01,STAT,-27094.000000,50297.000000,2685.000000,315.0000
CWThrowables.esp,FE06702F,0002A91A,ShackWallFlat01,STAT,-27083.000000,50304.000000,2685.000000,45.0000
CWThrowables.esp,FE06702E,00029B06,ShackMidRoof02,STAT,-27082.000000,50305.000000,2682.000000,45.0000
CWThrowables.esp,FE06702D,001C501B,ShackMidFloor01B,STAT,-27083.000000,50304.000000,2715.000000,45.0000
CWThrowables.esp,FE06702C,FE06700D,00CWLennyVendChest,CONT,-27227.156250,50417.035156,2754.392090,319.8930
CWThrowables.esp,FE06702B,00144A63,NPCBartender,FURN,-27042.000000,50338.000000,2715.000000,45.0000
