source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
CWWratchet.esp,FE06C75D,001BED7F,PaintedWoodDoorLoadA02,DOOR,20851.228516,3960.549561,626.671936,157.0817
CWWratchet.esp,FE06CFFF,000CD29D,MetalBox,CONT,-266.218658,-611.920959,0.000000,359.4154
CWWratchet.esp,FE06CFFC,001944B2,ClutterGenDeskC,STAT,87.530121,-605.572632,63.880024,350.1893
CWWratchet.esp,FE06CFFA,00001A24,BldSmPipeWall01,STAT,-111.891876,-163.922882,0.000000,0.0000
CWWratchet.esp,FE06CFF8,00060E78,DuctTapeMilitary,MISC,74.845612,74.947067,99.446037,337.3086
CWWratchet.esp,FE06CFF3,001A0380,Loot_ToolChest,CONT,328.147980,-2.495403,0.255356,175.3693
CWWratchet.esp,FE06CFEF,0016BAF3,PaperDebris01,STAT,34.442196,80.684341,65.000000,160.9485
CWWratchet.esp,FE06CFE8,00194497,ClutterGenDeskA,STAT,282.327118,-610.242004,97.000015,355.5056
CWWratchet.esp,FE06CFE6,000211F6,WoodCrate02,STAT,-338.641815,-578.355042,28.759151,186.4727
CWWratchet.esp,FE06CFE5,000211F7,WoodCrate03,STAT,-338.851013,-581.354797,0.000000,175.0136
CWWratchet.esp,FE06CFE4,0001D184,TrashDecal01,STAT,-279.805725,-339.894806,256.000000,12.5331
CWWratchet.esp,FE06CFE1,001914C9,DecalDebris04,STAT,67.832802,-100.483688,1.665438,270.8771
CWWratchet.esp,FE06CFDF,0004D1F7,Wrench03,MISC,25.077915,80.591621,34.591240,306.0552
CWWratchet.esp,FE06CFDC,0001D1AF,TrashDecal03,STAT,288.041046,47.885784,0.000000,243.4897
CWWratchet.esp,FE06CFCC,00018CD9,MetalBarrelStatic02,STAT,-240.298019,-320.302948,0.099960,331.0122
CWWratchet.esp,FE06CFCB,000CF88C,Loot_Prewar_TrunkSilver_Boss,CONT,-317.794098,-330.876373,0.100006,348.5409
CWWratchet.esp,FE06CFCA,00018CD4,MetalBarrelStatic01,STAT,-165.007584,-431.311554,0.099960,313.8235
CWWratchet.esp,FE06CFC8,001C9E96,AbraxoCleaner_Rare,MISC,41.025066,-614.917542,98.689713,142.5562
CWWratchet.esp,FE06CFC6,0001D184,TrashDecal01,STAT,-181.392578,-427.148071,0.470136,209.1601
CWWratchet.esp,FE06CFC3,000B23B9,ACDuctLGSupport01,STAT,-317.150848,-531.928955,196.967545,90.0001
CWWratchet.esp,FE06CFC2,000B23B9,ACDuctLGSupport01,STAT,-44.780319,-105.590149,202.471115,90.0001
CWWratchet.esp,FE06CFC1,000B23B9,ACDuctLGSupport01,STAT,74.222511,69.039673,202.471115,180.0001
CWWratchet.esp,FE06CFC0,000B23B9,ACDuctLGSupport01,STAT,257.215942,67.232758,202.471115,180.0001
CWWratchet.esp,FE06CFBF,0001D92C,BldWoodPDoor01,DOOR,-255.839813,-235.273254,257.096863,90.0000
CWWratchet.esp,FE06CFBE,000518EA,ACDuctLG1WayLong01,STAT,147.955246,69.039673,202.471115,180.0000
CWWratchet.esp,FE06CFBD,00095E5E,SteamTMetalDoor02,DOOR,256.022980,-238.699524,0.000000,0.0000
CWWratchet.esp,FE06CFBC,000314FA,SteamTMetalDoor01,DOOR,256.022980,-390.998749,0.000000,180.0000
CWWratchet.esp,FE06CFBB,000518EA,ACDuctLG1WayLong01,STAT,-316.878937,-515.148987,197.039612,270.0000
CWWratchet.esp,FE06CFBA,000518EA,ACDuctLG1WayLong01,STAT,-252.688248,-354.847534,197.039612,0.0000
CWWratchet.esp,FE06CFB8,0001D18E,TrashDecal02,STAT,-329.669647,-388.504120,0.000000,186.2657
CWWratchet.esp,FE06CFB2,00059B3A,PaintCanEmpty,MISC,-40.880169,-432.515778,97.000000,143.7919
CWWratchet.esp,FE06CFB0,000C4F5D,Fusebox,STAT,-357.390472,-539.274597,112.161049,270.0000
CWWratchet.esp,FE06CF7A,0004D1F3,Hammer01,MISC,247.108093,-616.360962,97.000000,291.3335
CWWratchet.esp,FE06CF74,0006D140,EnamelBucket01,MISC,302.787445,-616.058105,32.968750,170.5216
