source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
CavesOfTheCommonwealth.esp,130A9D1D,00118314,FloatingPlatformHelper01,ACTI,-47767.792969,10117.552734,451.438599,350.2024
CavesOfTheCommonwealth.esp,13099A09,000FDB9B,RockL01,STAT,-101902.062500,104248.179687,8100.458008,0.0000
CavesOfTheCommonwealth.esp,1308DD24,0011E397,FloatingPlatformHelperSwingOnly01,ACTI,3500.369141,-101530.679688,1010.430664,0.0000
CavesOfTheCommonwealth.esp,130828E3,00000034,XMarkerHeading,STAT,3216.303467,-101204.656250,896.223267,112.5000
CavesOfTheCommonwealth.esp,130828E2,00000034,XMarkerHeading,STAT,3450.393555,-101059.484375,889.058838,180.0000
CavesOfTheCommonwealth.esp,130828DF,00000034,XMarkerHeading,STAT,-102640.367188,-26572.156250,6528.993164,0.0000
CavesOfTheCommonwealth.esp,130828DE,00000034,XMarkerHeading,STAT,-102577.609375,-26555.783203,6504.659180,0.0000
CavesOfTheCommonwealth.esp,130828DA,00000034,XMarkerHeading,STAT,-47726.335938,10051.917969,461.748901,0.0000
CavesOfTheCommonwealth.esp,130828D9,00000034,XMarkerHeading,STAT,-47792.054688,10040.452148,456.740479,0.0000
CavesOfTheCommonwealth.esp,130828D4,00000034,XMarkerHeading,STAT,40411.824219,103018.289062,2182.617676,90.0000
CavesOfTheCommonwealth.esp,130828D3,00000034,XMarkerHeading,STAT,40473.527344,103282.703125,2218.156982,157.5000
CavesOfTheCommonwealth.esp,13080A6C,00000034,XMarkerHeading,STAT,-100958.546875,104402.476562,7783.246582,247.5000
CavesOfTheCommonwealth.esp,1307FB39,00000034,XMarkerHeading,STAT,-101010.968750,104478.210937,7783.246582,247.5000
CavesOfTheCommonwealth.esp,1307E46A,00000034,XMarkerHeading,STAT,-102355.765625,-26481.019531,6447.050781,315.0000
CavesOfTheCommonwealth.esp,1307E469,00000010,MapMarker,STAT,-102592.710938,-26233.000000,6473.838867,0.0000
CavesOfTheCommonwealth.esp,1307E468,0001ED77,AutoloadDoor,DOOR,-102666.593750,-26154.919922,6552.188477,315.0000
