source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
ChineseRemnants.esp,300520A7,0013384F,Bramble03,STAT,-49178.074219,-12782.365234,2440.483398,97.4029
ChineseRemnants.esp,3005ED9E,0013384F,Bramble03,STAT,-49076.609375,-12797.353516,2458.662842,200.5354
ChineseRemnants.esp,301E7F98,00000010,MapMarker,STAT,-49200.000000,-12684.000000,2460.000000,90.0000
ChineseRemnants.esp,3001CFEA,00018FA9,MetalTrapdoor01,DOOR,-49202.425781,-12682.661133,2436.147217,270.0001
ChineseRemnants.esp,301E7F99,00000010,MapMarker,STAT,14536.833008,24102.496094,3081.552734,0.0000
ChineseRemnants.esp,3003CB0C,00018FA9,MetalTrapdoor01,DOOR,14544.536133,24106.242188,3092.572021,180.0000
ChineseRemnants.esp,000762EA,0013385F,HedgeRow04,STAT,-95440.000000,-41144.000000,4152.000000,51.2735
ChineseRemnants.esp,306E1338,00002CE2,PatrolIdleMarker,IDLM,-103256.000000,-36720.000000,6607.594727,90.0000
ChineseRemnants.esp,306E1337,00002CE2,PatrolIdleMarker,IDLM,-103032.000000,-36128.000000,6615.341797,90.0000
ChineseRemnants.esp,306E1331,0010C411,LvlSupermutantMissile,NPC_,-103384.000000,-36336.000000,6652.000000,90.0000
ChineseRemnants.esp,30977DB2,0012154F,TreeBlastedForestBurntUpright03,STAT,-102100.000000,-36286.000000,5886.000000,0.0000
ChineseRemnants.esp,30729CAE,0014AE58,LvlSupermutantSuicider,NPC_,-101696.000000,-35840.000000,5880.000000,90.0000
ChineseRemnants.esp,3072585C,0003251F,DefaultSetStageTriggerPlayerOnly,ACTI,-102000.000000,-36208.000000,5928.000000,270.0000
ChineseRemnants.esp,306E1336,00002CE2,PatrolIdleMarker,IDLM,-101280.000000,-36752.000000,5792.000000,90.0000
ChineseRemnants.esp,306E1335,00002CE2,PatrolIdleMarker,IDLM,-101288.000000,-35800.000000,5811.332031,90.0000
ChineseRemnants.esp,306E1333,000D228A,LvlSupermutantRifle,NPC_,-101528.000000,-35976.000000,5832.000000,90.0000
ChineseRemnants.esp,306E1332,000D228A,LvlSupermutantRifle,NPC_,-101624.000000,-36144.000000,5828.000000,90.0000
ChineseRemnants.esp,00141348,00032464,TreeStump01,STAT,-3213.134033,105851.179687,3902.000000,161.5412
ChineseRemnants.esp,30513D98,00000010,MapMarker,STAT,-95384.000000,-41176.000000,4512.000000,50.7296
ChineseRemnants.esp,30513D97,00000010,MapMarker,STAT,-102000.000000,-36208.000000,5864.000000,270.0000
ChineseRemnants.esp,304ED61A,0001F65A,RoofHatch01,DOOR,-95376.000000,-41168.000000,4480.000000,230.7297
