source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
ClassicSkillBooks.esl,FE01EF36,FE01EEEB,1CSB_CongressStyle1PerkMag,BOOK,-793.027893,-1729.157104,386.498535,142.8486
ClassicSkillBooks.esl,FE01EF35,FE01EEF9,1CSB_USArmyGuide3PerkMag,BOOK,-2829.560547,-96846.320312,851.089905,262.9966
ClassicSkillBooks.esl,FE01EF34,FE01EEFB,1CSB_USArmyGuide2PerkMag,BOOK,-62871.539062,-17015.439453,1671.778809,100.8406
ClassicSkillBooks.esl,FE01EF33,FE01EEE4,1CSB_DeansElectronics1PerkMag,BOOK,-58450.699219,-53502.578125,2935.996582,262.5996
ClassicSkillBooks.esl,FE01EF32,FE01EEF8,1CSB_ScoutBook2PerkMag,BOOK,-52409.875000,-69594.523438,2376.440430,108.4600
ClassicSkillBooks.esl,FE01EF31,FE01EF8B,1CSB_BookofScience2PerkMag,BOOK,-116101.984375,-107920.906250,12093.176758,318.3168
ClassicSkillBooks.esl,FE01EF30,FE01EEF2,1CSB_DuckandCover3PerkMag,BOOK,-32793.281250,41092.511719,3183.600342,66.3745
ClassicSkillBooks.esl,FE01EF2F,FE01EEF7,1CSB_ScoutBook1PerkMag,BOOK,-53655.886719,28020.712891,5471.240723,326.7690
ClassicSkillBooks.esl,FE01EF2E,FE01EEF3,1CSB_ScoutBook3PerkMag,BOOK,21928.960938,-72000.148438,689.161072,104.2671
ClassicSkillBooks.esl,FE01EF2D,FE01EEE7,1CSB_JournalofMedicine3PerkMag,BOOK,20408.042969,102480.843750,1784.161011,193.8423
ClassicSkillBooks.esl,FE01EF2C,FE01EEEF,1CSB_Pugilism2PerkMag,BOOK,4452.264160,82215.484375,1786.838013,52.5090
ClassicSkillBooks.esl,FE01EF2B,FE01EEF0,1CSB_DuckandCover2PerkMag,BOOK,7603.955566,-7590.175781,582.890076,113.4456
ClassicSkillBooks.esl,FE01EF2A,FE01EEF4,1CSB_NikolaTesla2PerkMag,BOOK,596.950684,1690.421631,227.476883,285.5156
ClassicSkillBooks.esl,FE01EF29,FE01EEF5,1CSB_NikolaTesla1PerkMag,BOOK,3644.717773,-1143.823853,1037.654297,314.1635
ClassicSkillBooks.esl,FE01EF28,FE01EEE1,1CSB_ChineseSpecOps1PerkMag,BOOK,23.146265,-3062.572754,232.020798,345.1031
ClassicSkillBooks.esl,FE01EF27,FE01EEEA,1CSB_Pugilism3PerkMag,BOOK,-808.520264,717.640564,41.800217,268.3269
ClassicSkillBooks.esl,FE01EF26,FE01EEF6,1CSB_NikolaTesla3PerkMag,BOOK,3487.275635,3870.763184,134.843826,18.3344
ClassicSkillBooks.esl,FE01EF25,FE01EEE3,1CSB_ChineseSpecOps3PerkMag,BOOK,1087.572144,1895.998779,398.217865,193.8423
ClassicSkillBooks.esl,FE01EF24,FE01EEFA,1CSB_USArmyGuide1PerkMag,BOOK,-119.712143,3310.882812,-123.372940,11.4592
ClassicSkillBooks.esl,FE01EF23,FE01EF8D,1CSB_BookofScience3PerkMag,BOOK,-469.709747,537.284912,55.968758,124.9048
ClassicSkillBooks.esl,FE01EF22,FE01EEED,1CSB_CongressStyle3PerkMag,BOOK,-131.074951,1002.779663,952.498718,72.1927
ClassicSkillBooks.esl,FE01EF21,FE01EEEE,1CSB_Pugilism1PerkMag,BOOK,-19.965609,-1109.580078,1976.190918,159.2820
ClassicSkillBooks.esl,FE01EF20,FE01EEE5,1CSB_DeansElectronics3PerkMag,BOOK,-962.620178,1618.585815,66.302635,43.9800
ClassicSkillBooks.esl,FE01EF1F,0015799C,BookBurnt01,MISC,-975.484558,1623.982544,63.885670,123.7589
ClassicSkillBooks.esl,FE01EF1E,FE01EF8A,1CSB_BookofScience1PerkMag,BOOK,443.266327,-433.057129,2015.884277,162.7200
ClassicSkillBooks.esl,FE01EF1D,0015799C,BookBurnt01,MISC,441.815735,-504.734406,2016.000000,196.1343
ClassicSkillBooks.esl,FE01EF1C,FE01EEE8,1CSB_JournalofMedicine1PerkMag,BOOK,-832.262329,1105.577881,32.159653,315.3093
ClassicSkillBooks.esl,FE01EF1B,FE01EEE9,1CSB_JournalofMedicine2PerkMag,BOOK,-7667.908203,4232.440918,2259.758545,356.5623
ClassicSkillBooks.esl,FE01EF1A,FE01EEE6,1CSB_DeansElectronics2PerkMag,BOOK,-1376.432861,-1727.991699,-448.003265,335.0130
ClassicSkillBooks.esl,FE01EF19,FE01EEEC,1CSB_CongressStyle2PerkMag,BOOK,2478.287842,4440.369629,1506.889404,39.9682
ClassicSkillBooks.esl,FE01EF18,FE01EEF1,1CSB_DuckandCover1PerkMag,BOOK,1318.549927,2126.121094,97.133240,106.5702
ClassicSkillBooks.esl,FE01EF17,FE01EEE2,1CSB_ChineseSpecOps2PerkMag,BOOK,1671.778320,99.089020,-1638.848267,1.7071
