source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
ConsumablesOfTheCommonwealth.esp,FE059FF3,FE059FF1,COTCWhaleEdibleFatTin,ALCH,90426.437500,77265.585938,1736.841309,189.8314
ConsumablesOfTheCommonwealth.esp,FE059FF0,FE059FEE,COTCWastelanderBread,ALCH,90448.312500,77243.843750,1736.841309,42.3989
ConsumablesOfTheCommonwealth.esp,FE059FED,FE059FEB,COTCVelmassPirahnasCan,ALCH,90427.226562,77225.992188,1736.841309,36.6693
ConsumablesOfTheCommonwealth.esp,FE059FEA,FE059FE8,COTCUncleRemusSyrupCan,ALCH,90435.289062,77261.398438,1736.841309,34.9500
ConsumablesOfTheCommonwealth.esp,FE059FE7,FE059FE5,COTCTunaCan,ALCH,90422.101562,77277.492188,1736.841309,334.7898
ConsumablesOfTheCommonwealth.esp,FE059FE4,FE059FE2,COTCBullionCubesTin,ALCH,90414.078125,77267.437500,1736.841309,318.7468
ConsumablesOfTheCommonwealth.esp,FE059FE1,FE059FDF,COTCSugarBox,ALCH,90437.664062,77246.875000,1736.841309,167.3037
ConsumablesOfTheCommonwealth.esp,FE059FDE,FE059FDB,COTCRadChickenEgg,ALCH,90400.265625,77265.015625,1736.841309,0.0000
ConsumablesOfTheCommonwealth.esp,FE059FDA,FE059FD8,COTCPopsDogFood,ALCH,90428.000000,77253.125000,1736.489258,133.4911
ConsumablesOfTheCommonwealth.esp,FE059FD7,FE059FD5,COTCOldBaySeasoningCan,ALCH,90442.156250,77254.179688,1736.623169,135.9844
ConsumablesOfTheCommonwealth.esp,FE059FD4,FE059FD1,COTCMiskatonicSardinesTin,ALCH,90392.945312,77230.398438,1736.243896,15.3868
ConsumablesOfTheCommonwealth.esp,FE059FD0,FE059FCE,COTCMilkBuds,ALCH,90376.664062,77232.648438,1736.841309,105.9972
ConsumablesOfTheCommonwealth.esp,FE059FCD,FE059FCA,COTCLiptonTeaBox,ALCH,90404.054688,77200.210938,1739.388428,359.3850
ConsumablesOfTheCommonwealth.esp,FE059FC9,FE059FC7,COTCLinseedOil,ALCH,90404.054688,77234.937500,1736.600098,315.2778
ConsumablesOfTheCommonwealth.esp,FE059FC6,FE059FC4,COTCKingsPortAbyssalFishCan,ALCH,90416.421875,77219.976562,1736.527100,248.8472
ConsumablesOfTheCommonwealth.esp,FE059FC3,FE059FC1,COTCKibbyCatFoodCan,ALCH,90401.968750,77221.070312,1736.567871,336.5084
ConsumablesOfTheCommonwealth.esp,FE059FC0,FE059FBE,COTCHavreGrynOats,ALCH,90415.250000,77258.429688,1736.847656,46.5946
ConsumablesOfTheCommonwealth.esp,FE059FBD,FE059FBB,COTCFreshlyBakedBread,ALCH,90438.476562,77235.031250,1736.776245,315.7850
ConsumablesOfTheCommonwealth.esp,FE059FBA,FE059FB8,COTCDutchCoffeeBag,ALCH,90427.632812,77240.742188,1736.711914,312.6632
ConsumablesOfTheCommonwealth.esp,FE059FB7,FE059FB5,COTCDutchChocolateTin,ALCH,90412.734375,77228.632812,1742.918457,359.1087
ConsumablesOfTheCommonwealth.esp,FE059FB4,FE059FB0,COTCCoughDropTin,ALCH,90379.539062,77220.617188,1736.841309,0.0000
ConsumablesOfTheCommonwealth.esp,FE059FAF,FE059FAD,COTCCondensedMilkCan,ALCH,90420.671875,77233.757812,1736.908325,228.2224
ConsumablesOfTheCommonwealth.esp,FE059FAC,FE059FAA,COTCCannedOranges,ALCH,90414.554688,77243.875000,1736.568848,240.2518
ConsumablesOfTheCommonwealth.esp,FE059FA9,FE059FA7,COTCCannedFishBits,ALCH,90391.515625,77224.109375,1736.788574,350.8326
ConsumablesOfTheCommonwealth.esp,FE059FA6,FE059FA3,COTCCannedCorn,ALCH,90408.148438,77252.429688,1736.802002,18.3346
ConsumablesOfTheCommonwealth.esp,FE059FA2,FE059FA0,COTCArkhamOctopusSlicesCan,ALCH,90389.546875,77237.468750,1736.412720,342.8290
ConsumablesOfTheCommonwealth.esp,FE059F9F,FE059F9D,COTCAmanitasMushroomsCan,ALCH,90396.765625,77252.289062,1736.745361,20.6265
ConsumablesOfTheCommonwealth.esp,FE059F9C,0008C177,Vault_Table_01,STAT,90424.601562,77256.351562,1680.841309,314.7363
ConsumablesOfTheCommonwealth.esp,FE059F9B,FE059F99,COTCAltonsMints,ALCH,90385.343750,77245.390625,1736.717285,227.0764
ConsumablesOfTheCommonwealth.esp,FE059004,FE059003,COTCDarimadeEvaporatedMilk,ALCH,90404.812500,77259.921875,1737.514404,283.7681
ConsumablesOfTheCommonwealth.esp,FE059002,FE059001,COTCOldMichiganBeerCan,ALCH,90400.625000,77242.945312,1737.215576,51.5651
