source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
CutContentNPCsAiO.esp,FE052822,0304D216,DLC03POI04_LvlFeralGhoul04,NPC_,27217.800781,-47886.421875,680.070007,0.0000
CutContentNPCsAiO.esp,FE05281E,FE052800,Zachary,NPC_,56090.039062,34473.238281,800.000000,0.0000
CutContentNPCsAiO.esp,FE052002,FE052001,OldManBilly,NPC_,21719.285156,-9970.936523,603.020935,0.0000
CutContentNPCsAiO.esp,FE05280D,FE05280C,Derek,NPC_,3883.629883,4909.009766,-1535.979980,0.0000
CutContentNPCsAiO.esp,FE052817,FE052814,EddieLipkis,NPC_,-21206.250000,-18077.140625,725.400024,0.0000
CutContentNPCsAiO.esp,FE052801,00156A0D,Farm01MaleEvenToned,NPC_,-22528.000000,88064.000000,6064.000000,0.0000
CutContentNPCsAiO.esp,FE05280A,FE05280B,TheFisherman,NPC_,-64848.218750,90001.132812,7289.240234,0.0000
CutContentNPCsAiO.esp,FE052809,FE052808,FemaleWastelander,NPC_,-96992.132812,80777.843750,9122.629883,0.0000
CutContentNPCsAiO.esp,FE052806,FE052807,Arnie,NPC_,-90745.039062,29553.349609,6314.509766,0.0000
CutContentNPCsAiO.esp,FE052804,000A93D5,BoSDeckScribe02,NPC_,55284.093750,-10159.499023,4096.000000,45.0000
CutContentNPCsAiO.esp,FE052019,000A93D4,BoSDeckScribe01,NPC_,53521.468750,-9956.302734,4096.000000,135.0000
CutContentNPCsAiO.esp,FE05281B,FE05281A,AtomCatFreddie,NPC_,39152.750000,-71930.179688,575.039978,0.0000
CutContentNPCsAiO.esp,FE052820,FE05281F,Van Cleef,NPC_,30498.769531,-85499.101562,1464.359985,0.0000
CutContentNPCsAiO.esp,FE052805,0002F824,EncBrahminRosie,NPC_,63868.820312,3570.162842,659.844238,68.7550
CutContentNPCsAiO.esp,FE052818,FE052819,ConfessorAdalia,NPC_,92037.203125,70060.109375,639.159973,0.0000
CutContentNPCsAiO.esp,FE052813,FE052812,Casey,NPC_,1761.729980,219.320007,-399.890015,0.0000
CutContentNPCsAiO.esp,FE052018,FE05201A,RailroadSynth,NPC_,12916.456055,921.442261,-0.000122,22.9183
CutContentNPCsAiO.esp,FE052006,FE052003,ProfessorWidmer,NPC_,-2489.409912,-4467.589844,-528.000000,0.0000
CutContentNPCsAiO.esp,FE05280E,FE05280F,TheWatcher,NPC_,-79.290001,1858.040039,0.000000,0.0000
CutContentNPCsAiO.esp,FE052015,03005CC4,DLC03FarHarborLastPlankM01Drinker,NPC_,780.183289,5333.469727,1767.293823,302.7043
CutContentNPCsAiO.esp,FE05281C,FE05281D,BradFinnegan,NPC_,3224.919922,3051.040039,864.000000,0.0000
CutContentNPCsAiO.esp,FE052810,FE052811,Vikter,NPC_,-760.599976,2898.659912,-256.100006,0.0000
