source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Darlene.esm,10016E0B,00000032,COCMarkerHeading,STAT,320.851471,111.606232,1153.060059,0.0000
Darlene.esm,10036533,0008FCA8,BobbyPinBox,MISC,212.716370,392.548889,1152.616455,40.1070
Darlene.esm,10035D97,0008FCA8,BobbyPinBox,MISC,945.878845,233.485779,1231.299438,308.4339
Darlene.esm,10035D96,000366BE,SweetRoll,ALCH,1009.413818,-166.795715,1193.244507,0.0000
Darlene.esm,10035D95,00165328,PlateCeramic01_Yellow_Dirty,MISC,1010.009766,-167.984131,1193.244751,0.0000
Darlene.esm,10035D94,0012E2BE,NewspaperLowPoly,MSTT,1137.059937,-161.885086,1154.397583,51.5662
Darlene.esm,10035D93,0008E371,Ashtray01_Filled,MISC,1047.722412,-159.878799,1153.342041,0.0002
Darlene.esm,10035D92,0005821A,CigarettePack,MISC,1036.966919,-153.183914,1154.814697,0.0000
Darlene.esm,10035D91,0008E36D,Cigarette_Lit01,MISC,1049.834229,-161.543945,1155.140625,34.3775
Darlene.esm,10035D8E,0008ADFA,defaultLightFire01NSFlicker,LIGH,555.230652,62.939602,1284.492188,215.4778
Darlene.esm,10035D8D,10035D89,VanessaQuest01Terminal,TERM,174.863297,267.221313,1151.944336,247.0000
Darlene.esm,100355E9,0002B6E2,LunchPail,CONT,1376.568726,582.517090,1301.214600,0.0000
Darlene.esm,100355E8,00038C1D,Loot_Raider_Toolbox,CONT,1713.266235,770.403442,1151.985107,245.4086
Darlene.esm,100355E7,00059B15,Telephone01,MISC,1624.838379,415.869904,1201.197998,74.4845
Darlene.esm,100355E6,00038C22,Loot_Raider_Suitcase_Armor,CONT,1562.988281,418.742157,1153.041504,68.7550
Darlene.esm,100355E3,000211F5,WoodCrate01,STAT,1625.595215,417.423523,1150.947998,0.0000
Darlene.esm,1002CB43,001944B5,ClutterGenDeskD,STAT,1260.000000,938.000000,1221.000000,0.0000
Darlene.esm,1002CB42,001944AA,ClutterGenDeskB,STAT,1260.000000,940.000000,1218.000000,0.0000
Darlene.esm,1002CB40,001944AA,ClutterGenDeskB,STAT,1248.000000,960.000000,1258.000244,0.0000
Darlene.esm,1002CB3F,000C9A86,PrewarBookStackSm04,STAT,1607.000000,664.000000,1210.000000,90.0000
Darlene.esm,1002CB3E,001944B5,ClutterGenDeskD,STAT,1605.000000,693.000000,1214.000000,90.0000
Darlene.esm,1002CB3C,000196D1,BeachUmbrella01,STAT,1605.000000,639.000000,1172.000000,0.0000
Darlene.esm,10029CFF,00020DA7,UtilFreePipe05,STAT,366.000000,-27.000000,1414.000000,0.0000
Darlene.esm,10029CFD,00020DA7,UtilFreePipe05,STAT,366.000000,-27.000000,1235.000000,0.0000
Darlene.esm,10029CFC,00020DA5,UtilFreePipe04,STAT,366.000000,-35.000000,1183.000000,0.0000
Darlene.esm,10029CFB,00020DA5,UtilFreePipe04,STAT,366.000000,-35.000000,1311.000000,0.0000
Darlene.esm,10029CFA,00020DA5,UtilFreePipe04,STAT,366.000000,-44.000000,1311.000000,0.0000
Darlene.esm,10029CF9,00020DA5,UtilFreePipe04,STAT,366.000000,-44.000000,1183.000000,0.0000
Darlene.esm,10028D9E,000CF446,FishDead03,STAT,323.000000,2.000000,1183.000000,0.0000
Darlene.esm,10028D9D,000CA9C5,FishDead01,STAT,324.000000,0.000000,1177.000000,315.0000
Darlene.esm,10028D9C,10028D9B,VanessaQuest01CookingStove,FURN,348.000000,29.000000,1153.000000,180.0000
Darlene.esm,100285DF,0008A5D7,TrashEdge01,STAT,1369.000000,566.000000,1153.000000,0.0000
Darlene.esm,100285DE,0008A5D7,TrashEdge01,STAT,1252.000000,254.000000,1153.000000,135.0000
Darlene.esm,100285DD,0008ADFA,defaultLightFire01NSFlicker,LIGH,1322.000000,373.000000,1261.000000,215.4779
Darlene.esm,100285DC,0008ADFA,defaultLightFire01NSFlicker,LIGH,1119.000000,389.000000,1297.000000,215.4779
Darlene.esm,100285DB,0008ADFA,defaultLightFire01NSFlicker,LIGH,1502.000000,379.000000,1296.000000,215.4779
Darlene.esm,100285DA,0008B5FD,TrashEdge03,STAT,1047.000000,446.000000,1153.000000,0.0000
Darlene.esm,100285D9,0008A5D7,TrashEdge01,STAT,1353.000000,501.000000,1153.000000,250.0268
Darlene.esm,10027E3B,000366BF,WaterDirty,ALCH,1439.000000,510.000000,1156.000000,135.0000
Darlene.esm,10027E3A,000211C4,CoffeeCup01,MISC,1584.000000,680.000000,1210.000000,135.0000
Darlene.esm,10027E39,00181068,AO_Comment_Marker_256,ACTI,1168.000000,5.000000,1155.000000,0.0000
Darlene.esm,10027E36,0001D199,DebrisPile02Trash,STAT,1886.000000,979.000000,1158.000000,270.0000
Darlene.esm,10027E35,00038C1E,Loot_Raider_AmmoBox,CONT,1395.000000,142.000000,1153.000000,0.0000
Darlene.esm,10027E34,000C9A86,PrewarBookStackSm04,STAT,1612.000000,699.000000,1159.000000,270.0000
Darlene.esm,10027E33,000C9A83,PrewarBookStackSm01,STAT,1619.999878,705.999939,1169.000000,105.7932
Darlene.esm,10027E32,000C9A86,PrewarBookStackSm04,STAT,1617.060669,702.853516,1180.000000,270.0000
Darlene.esm,10027E2C,000F2554,HitDebrisPileCeiling03,STAT,1859.000000,933.000000,1380.000000,180.0001
Darlene.esm,10027E2B,000F2549,HitDebrisPileCeiling01,STAT,1743.000000,818.000000,1384.000000,45.0001
Darlene.esm,10027E2A,000F2549,HitDebrisPileCeiling01,STAT,1861.000000,822.000000,1384.000000,270.0001
Darlene.esm,10027E29,0001D907,DebrisWoodPileSm05,STAT,1020.000000,122.000000,1153.000000,0.0000
Darlene.esm,10027E28,0001D906,DebrisWoodPileSm04,STAT,817.000000,74.000000,1153.000000,0.0000
Darlene.esm,10027E27,0001D909,DebrisWoodPileSm02,STAT,863.000000,154.000000,1154.000000,0.0000
Darlene.esm,10027E26,0001D908,DebrisWoodPileSm01,STAT,971.000000,161.000000,1155.000000,0.0000
Darlene.esm,10027E23,000F2549,HitDebrisPileCeiling01,STAT,1017.000000,344.000000,1384.000000,270.0000
Darlene.esm,10027E22,000F2554,HitDebrisPileCeiling03,STAT,1028.000000,435.000000,1384.000000,90.0001
Darlene.esm,10027E21,000F2549,HitDebrisPileCeiling01,STAT,1119.999878,396.999725,1384.000000,180.0001
Darlene.esm,10027E20,0001D199,DebrisPile02Trash,STAT,1669.000000,335.000000,1153.000000,0.0000
Darlene.esm,10026E06,001C9080,MistLargeRoundDustyDimmer,MSTT,1130.983643,756.671631,1277.095337,45.0000
Darlene.esm,10026E05,000F2549,HitDebrisPileCeiling01,STAT,745.000000,215.000000,1381.000000,0.0000
Darlene.esm,10026E04,000F2549,HitDebrisPileCeiling01,STAT,716.000000,220.000000,1381.000000,225.0000
Darlene.esm,10026E03,000F2549,HitDebrisPileCeiling01,STAT,789.000000,214.000000,1381.000000,270.0000
Darlene.esm,10026E02,000F2554,HitDebrisPileCeiling03,STAT,860.000000,40.000000,1392.000000,45.0000
Darlene.esm,10026E01,001CC172,PictureAbstractRect01Framed02,STAT,796.000000,23.000000,1304.000000,180.0000
Darlene.esm,10026E00,001CC172,PictureAbstractRect01Framed02,STAT,367.000000,483.000000,1215.000000,14.0000
Darlene.esm,10026DFF,001CC171,PictureAbstractRect01Framed01,STAT,148.000000,219.000000,1199.000000,90.0000
Darlene.esm,10026DFE,001CC172,PictureAbstractRect01Framed02,STAT,727.000000,242.000000,1320.000000,0.0000
Darlene.esm,10026DFD,001CC171,PictureAbstractRect01Framed01,STAT,939.000000,-175.000000,1201.000000,287.0000
Darlene.esm,10026DFC,001CC171,PictureAbstractRect01Framed01,STAT,944.000000,-136.000000,1201.000000,287.0000
Darlene.esm,10026DF8,0001F92F,Clipboard01,MISC,1385.000000,101.000000,1169.000000,45.0000
Darlene.esm,10026DF7,00059AB4,Chessboard,MISC,1088.000000,-185.000000,1261.000000,0.0000
Darlene.esm,10026DF6,001A6397,MoldyFood01,ALCH,1255.000000,928.000000,1180.000000,0.0000
Darlene.esm,10026DF5,001A6397,MoldyFood01,ALCH,1227.000000,928.000000,1232.000000,0.0000
Darlene.esm,10026DF3,000A158B,Loot_Raider_WoodCrate,CONT,1575.999634,319.999725,1157.000000,0.0000
Darlene.esm,10026DEF,001796A6,MonkeyTrapTrigger,ACTI,1519.000000,770.000000,1234.000000,0.0000
Darlene.esm,10026DEE,00249231,LunchBoxKidsACTBe,ACTI,1147.000000,207.000000,1231.000000,45.0000
Darlene.esm,1002664C,0001F909,TinCan03,MISC,1527.000000,916.000000,1157.000000,285.9410
Darlene.esm,1002664B,0001F909,TinCan03,MISC,1538.000000,929.000000,1155.000000,180.0000
Darlene.esm,1002664A,0001F909,TinCan03,MISC,1576.000000,660.000000,1155.000000,180.0000
Darlene.esm,10026649,000C9A86,PrewarBookStackSm04,STAT,1389.000000,582.000000,1289.000000,90.0000
Darlene.esm,10026648,000C9A86,PrewarBookStackSm04,STAT,1606.146484,678.696716,1180.000000,90.0000
Darlene.esm,10026647,000C9A83,PrewarBookStackSm01,STAT,1606.292969,674.393433,1169.000000,90.0000
Darlene.esm,10026646,000C9A86,PrewarBookStackSm04,STAT,1607.000000,685.000000,1159.000000,90.0000
Darlene.esm,10026645,00058801,Loot_Raider_Safe_Wall_Boss,CONT,1482.000000,491.000000,1219.000000,180.0000
Darlene.esm,10026644,001AE1F4,Beercrate_Static,STAT,1380.070190,534.648560,1301.000000,90.0000
Darlene.esm,10026643,000F9232,Clock03_Wall,STAT,1497.000000,496.000000,1317.000000,180.0000
Darlene.esm,10026642,0001D30A,ClockStarburst01,STAT,1410.000000,-4.000000,1329.000000,90.0000
Darlene.esm,1002663F,0007132E,Loot_Prewar_Medkit_Chems_Wall,CONT,1467.000000,-209.000000,1284.000000,0.0000
Darlene.esm,1002663E,100C3B94,VanessaAutoDoc02,ACTI,1717.000000,746.000000,1270.000000,0.0000
Darlene.esm,1002663D,0001CC63,PictureFrame04,STAT,1593.000000,620.000000,1187.000000,180.0000
Darlene.esm,1002663B,0001D1CF,DebrisPile04Trash,STAT,1693.000000,296.000000,1156.000000,90.0000
Darlene.esm,1002663A,0004835D,NukaCola,ALCH,1592.000000,532.000000,1157.000000,0.0000
Darlene.esm,10026639,001ADB1D,TrashEdge03_Nochunks,STAT,739.000000,186.000000,1153.000000,0.0000
Darlene.esm,10026638,0020DE62,Vault_WaterFountain01_Rads,ACTI,734.000000,240.000000,1166.000000,0.0000
Darlene.esm,10026634,0008ADFA,defaultLightFire01NSFlicker,LIGH,1568.000000,-139.000000,1270.000000,215.4778
Darlene.esm,10026632,000F2549,HitDebrisPileCeiling01,STAT,1490.999878,431.999939,1382.000000,135.0000
Darlene.esm,10026631,0001D199,DebrisPile02Trash,STAT,1571.000000,298.000000,1153.000000,90.0000
Darlene.esm,10026630,000F2554,HitDebrisPileCeiling03,STAT,1578.999878,327.999908,1384.000000,270.0001
Darlene.esm,1002662F,000F2549,HitDebrisPileCeiling01,STAT,1487.000000,366.000061,1384.000000,0.0001
Darlene.esm,1002662E,0001BA2E,BldWlpSmWall01,STAT,798.000000,-97.000000,1152.000000,180.0000
Darlene.esm,1002662D,0001D611,BldWlpSmWallHole03,STAT,798.000000,159.000000,1152.000000,180.0000
Darlene.esm,1002662C,0001D62A,BldWoodPSmWallHole11,STAT,1043.760742,157.533798,1152.982300,0.0000
Darlene.esm,10024F54,001A77F3,OfficeBoxPapersOpen04,MSTT,837.000000,221.000000,1152.000000,225.0000
Darlene.esm,10024F53,0003A9ED,OfficeBoxPapers03,STAT,675.000000,222.000000,1176.000000,180.0000
Darlene.esm,10024F52,000BC249,TerminalBroken01,STAT,717.000000,221.000000,1176.000000,90.0000
Darlene.esm,10024F50,0014CCA8,TerminalBroken02,STAT,795.000000,161.000000,1304.000000,0.0000
Darlene.esm,10024F4F,0014CCA8,TerminalBroken02,STAT,792.000000,207.000000,1220.000000,90.0001
Darlene.esm,10024F4E,0003A9EC,OfficeBoxPapers02,STAT,794.000000,145.000000,1161.000000,180.0000
Darlene.esm,10024F4D,0003A9EB,OfficeBoxPapers01,STAT,797.000000,146.000000,1206.000000,180.0000
Darlene.esm,10024F4B,0003A9EC,OfficeBoxPapers02,STAT,793.000000,141.000000,1281.000000,282.0000
Darlene.esm,10024F4A,0003A9EB,OfficeBoxPapers01,STAT,792.000000,194.000000,1303.000000,180.0000
Darlene.esm,10024F49,0003A9ED,OfficeBoxPapers03,STAT,795.000000,171.999985,1281.000000,270.0001
