source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
DocsoftheCW.esl,FE021013,FE021006,VendorDoCWDoctor,CONT,-101568.000000,-117941.000000,7812.000000,0.0000
DocsoftheCW.esl,FE021012,FE021006,VendorDoCWDoctor,CONT,-67230.500000,76421.578125,6576.000000,0.0000
DocsoftheCW.esl,FE021011,FE021006,VendorDoCWDoctor,CONT,38662.000000,-72397.000000,575.000000,0.0000
DocsoftheCW.esl,FE02101A,FE021006,VendorDoCWDoctor,CONT,15545.000000,62762.000000,1183.000000,171.8873
DocsoftheCW.esl,FE021019,FE021009,DrMalden,NPC_,15583.093750,62638.789062,1178.723267,314.1634
DocsoftheCW.esl,FE021010,FE021008,DrKat,NPC_,38777.027344,-72441.468750,575.147400,0.0000
DocsoftheCW.esl,FE02100F,FE021007,DrCrater,NPC_,-101655.820312,-118058.789062,7815.012695,0.0000
DocsoftheCW.esl,FE02100E,FE02100A,DrConcord,NPC_,-67298.468750,76420.664062,6576.079102,0.0000
DocsoftheCW.esl,00221EBB,00074BB0,NpcChairPlayerHouseRuinSit01,FURN,-101811.679688,-118006.546875,7812.540527,120.6076
DocsoftheCW.esl,001F56F7,001487C1,WorkbenchChemistryB,FURN,15437.912109,62544.292969,1185.212891,187.6436
DocsoftheCW.esl,001EE079,000AE440,NpcChairVaultSit03,FURN,16491.845703,58784.386719,1391.406738,318.9653
DocsoftheCW.esl,001E688A,00037739,NPCBusStopSit01,FURN,19553.337891,56047.519531,1352.217041,51.8567
DocsoftheCW.esl,000E468C,00074BB1,NpcCouchPlayerHouseRuinSit01,FURN,-62058.445312,77978.531250,6324.586914,99.8768
DocsoftheCW.esl,000BAC63,000FDC8B,NpcCouchModernDomesticCleanSit01,FURN,-101579.140625,-118080.367187,7812.540527,298.6936
DocsoftheCW.esl,00077C75,0006F9DC,NpcChairPlayerHouseRuinKitchenSit01,FURN,-67197.023437,76799.031250,6574.589355,210.0000
DocsoftheCW.esl,000522BF,0010907A,PoolTable01,STAT,38908.214844,-72223.531250,575.000061,353.4683
DocsoftheCW.esl,FE02100D,FE021006,VendorDoCWDoctor,CONT,2995.040527,-466.739044,3.397614,0.0000
DocsoftheCW.esl,FE02100C,FE02100B,DrGoodneighbor,NPC_,2988.443359,-366.927185,0.250000,291.2452
