source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
DrunkMod_SpecialBased.esp,0005A6DB,000AE440,NpcChairVaultSit03,FURN,53656.679687,70248.593750,1392.696777,76.3987
DrunkMod_SpecialBased.esp,36004502,00000034,XMarkerHeading,STAT,-96978.140625,80807.046875,9123.758789,114.5916
DrunkMod_SpecialBased.esp,001E3953,00083907,NpcChairPatioSit01,FURN,82511.328125,34127.007812,862.750122,135.0000
DrunkMod_SpecialBased.esp,001B9B60,001C9080,MistLargeRoundDustyDimmer,MSTT,53740.855469,70412.101562,1485.996338,0.0000
DrunkMod_SpecialBased.esp,001763F5,00037739,NPCBusStopSit01,FURN,34759.382812,-70926.351562,606.576904,300.8746
DrunkMod_SpecialBased.esp,3600176A,00000034,XMarkerHeading,STAT,68664.539062,66436.562500,2252.950684,331.3523
DrunkMod_SpecialBased.esp,002308C7,000EA1B9,NpcChairModernDomesticSit01,FURN,-24439.294922,-96169.671875,1866.244629,313.0175
DrunkMod_SpecialBased.esp,36001769,00000034,XMarkerHeading,STAT,-8519.671875,-92270.750000,824.000000,0.0000
DrunkMod_SpecialBased.esp,36001768,00000034,XMarkerHeading,STAT,-71002.507812,34730.285156,4607.329102,256.8677
DrunkMod_SpecialBased.esp,36001767,00000034,XMarkerHeading,STAT,-18517.642578,47276.222656,959.626587,331.3522
DrunkMod_SpecialBased.esp,001C6609,0006F9DC,NpcChairPlayerHouseRuinKitchenSit01,FURN,-48909.238281,11925.977539,864.316895,0.0000
DrunkMod_SpecialBased.esp,0015B7A7,000EA1BA,NpcChairModernDomesticSit02,FURN,-53785.820312,15661.197266,2355.109863,101.5732
DrunkMod_SpecialBased.esp,36001766,00000034,XMarkerHeading,STAT,-95431.546875,71580.984375,8476.541016,68.7549
DrunkMod_SpecialBased.esp,36001765,00000034,XMarkerHeading,STAT,-92747.046875,17781.810547,5560.243164,22.9184
DrunkMod_SpecialBased.esp,0002777C,00020C40,WorkshopNpcBedGroundSleep01,FURN,-92771.921875,17711.232422,5551.017090,281.3221
DrunkMod_SpecialBased.esp,001A0360,0002FBF9,NpcBedGroundSleep01,FURN,-97117.875000,80896.398438,9120.446289,64.9239
DrunkMod_SpecialBased.esp,00060D6F,0001F74E,NpcChairFederalistSit01,FURN,-64094.320312,82757.148438,7884.490234,241.9713
DrunkMod_SpecialBased.esp,36001764,00000034,XMarkerHeading,STAT,2940.393311,-24711.574219,5708.284180,268.3269
DrunkMod_SpecialBased.esp,0013FBE8,000FDC8B,NpcCouchModernDomesticCleanSit01,FURN,-7235.074219,5844.558105,2359.745605,245.3171
DrunkMod_SpecialBased.esp,36001762,00000034,XMarkerHeading,STAT,-29768.564453,14600.679687,2020.759888,91.6732
DrunkMod_SpecialBased.esp,000FD001,00089505,NpcBenchChurchSit01,FURN,-28064.000000,32704.000000,2880.000000,90.0000
DrunkMod_SpecialBased.esp,000DDF5F,000EA1BB,NpcChairModernDomesticSit03,FURN,-28064.871094,55402.882812,3068.453125,0.0000
DrunkMod_SpecialBased.esp,0005C6ED,00074BB0,NpcChairPlayerHouseRuinSit01,FURN,-80827.250000,91206.671875,7856.481445,136.1635
DrunkMod_SpecialBased.esp,36001761,00000034,XMarkerHeading,STAT,-76716.929688,97411.765625,7274.150879,0.0000
DrunkMod_SpecialBased.esp,3600175F,00000034,XMarkerHeading,STAT,14392.894531,-18002.759766,536.318359,34.3775
DrunkMod_SpecialBased.esp,3600175E,00000034,XMarkerHeading,STAT,55495.828125,-96258.523438,2128.940186,143.2394
DrunkMod_SpecialBased.esp,001A4593,00089505,NpcBenchChurchSit01,FURN,-90689.781250,29285.720703,6314.508789,94.0566
DrunkMod_SpecialBased.esp,3600175C,0000003B,XMarker,STAT,-76307.773438,90472.429688,7773.688965,177.6169
DrunkMod_SpecialBased.esp,3600175D,00000034,XMarkerHeading,STAT,636.439636,-564.513184,-46.486725,177.6169
DrunkMod_SpecialBased.esp,00215297,0007D5D8,NpcStoolDinerIntSit01,FURN,2986.309814,-308.333282,-2432.000000,357.1638
DrunkMod_SpecialBased.esp,36001763,00000034,XMarkerHeading,STAT,-6294.678711,812.422729,1696.947388,85.9437
DrunkMod_SpecialBased.esp,360054AC,000366C2,Wine,ALCH,77.733528,-119.613533,-43.117111,0.0000
DrunkMod_SpecialBased.esp,360054AB,000366C2,Wine,ALCH,86.768791,-119.613533,-43.117111,0.0000
DrunkMod_SpecialBased.esp,360054AA,000366C2,Wine,ALCH,69.785294,-119.613533,-43.117111,0.0000
DrunkMod_SpecialBased.esp,360054A9,000366C2,Wine,ALCH,60.750031,-119.613533,-43.117111,0.0000
DrunkMod_SpecialBased.esp,360054A8,000366C2,Wine,ALCH,103.987122,-119.613533,-43.117111,0.0000
DrunkMod_SpecialBased.esp,360054A7,000366C2,Wine,ALCH,94.951859,-119.613533,-43.117111,0.0000
DrunkMod_SpecialBased.esp,360054A6,000366C2,Wine,ALCH,111.935356,-119.613533,-43.117111,0.0000
DrunkMod_SpecialBased.esp,360054A5,000366C2,Wine,ALCH,120.970619,-119.613533,-43.117111,0.0000
DrunkMod_SpecialBased.esp,360054A4,00101295,DirtyWastelander,ALCH,153.813766,-120.483833,-43.117111,0.0000
DrunkMod_SpecialBased.esp,360054A3,00101295,DirtyWastelander,ALCH,147.529831,-120.483833,-43.117111,0.0000
DrunkMod_SpecialBased.esp,360054A2,00101295,DirtyWastelander,ALCH,139.556198,-120.483833,-43.117111,0.0000
DrunkMod_SpecialBased.esp,360054A1,00101295,DirtyWastelander,ALCH,133.272263,-120.483833,-43.117111,0.0000
DrunkMod_SpecialBased.esp,360054A0,00101295,DirtyWastelander,ALCH,167.851608,-120.483833,-43.117111,0.0000
DrunkMod_SpecialBased.esp,3600549F,00101295,DirtyWastelander,ALCH,161.567673,-120.483833,-43.117111,0.0000
DrunkMod_SpecialBased.esp,3600549E,00101295,DirtyWastelander,ALCH,175.825241,-120.483833,-43.117111,0.0000
DrunkMod_SpecialBased.esp,3600549D,00101295,DirtyWastelander,ALCH,182.109177,-120.483833,-43.117111,0.0000
DrunkMod_SpecialBased.esp,3600549C,00050C28,MoonshineBobrov,ALCH,138.935638,-106.061005,-43.117111,0.0000
DrunkMod_SpecialBased.esp,3600549B,00050C28,MoonshineBobrov,ALCH,147.411804,-106.061005,-43.117111,0.0000
DrunkMod_SpecialBased.esp,3600549A,00050C28,MoonshineBobrov,ALCH,128.566681,-106.061005,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005499,00050C28,MoonshineBobrov,ALCH,120.090508,-106.061005,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005498,00050C28,MoonshineBobrov,ALCH,164.302933,-106.061005,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005497,00050C28,MoonshineBobrov,ALCH,155.826767,-106.061005,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005496,00050C28,MoonshineBobrov,ALCH,174.671906,-106.061005,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005495,00050C28,MoonshineBobrov,ALCH,183.148071,-106.061005,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005494,000366C1,Whiskey,ALCH,142.316025,-93.014481,-43.117104,0.0000
DrunkMod_SpecialBased.esp,36005493,000366C1,Whiskey,ALCH,131.667038,-93.014481,-43.117104,0.0000
DrunkMod_SpecialBased.esp,36005492,000366C1,Whiskey,ALCH,121.691284,-93.014481,-43.117104,0.0000
DrunkMod_SpecialBased.esp,36005491,000366C1,Whiskey,ALCH,111.042297,-93.014481,-43.117104,0.0000
DrunkMod_SpecialBased.esp,36005490,000366C1,Whiskey,ALCH,161.427811,-93.014481,-43.117104,0.0000
DrunkMod_SpecialBased.esp,3600548F,000366C1,Whiskey,ALCH,150.778824,-93.014481,-43.117104,0.0000
DrunkMod_SpecialBased.esp,3600548E,000366C1,Whiskey,ALCH,171.403564,-93.014481,-43.117104,0.0000
DrunkMod_SpecialBased.esp,3600548D,000366C1,Whiskey,ALCH,182.052551,-93.014481,-43.117104,0.0000
DrunkMod_SpecialBased.esp,3600548C,00145857,Rum,ALCH,137.675812,-79.737221,-43.117096,0.0000
DrunkMod_SpecialBased.esp,3600548B,00145857,Rum,ALCH,146.649902,-79.737221,-43.117096,0.0000
DrunkMod_SpecialBased.esp,3600548A,00145857,Rum,ALCH,129.755524,-79.737221,-43.117096,0.0000
DrunkMod_SpecialBased.esp,36005489,00145857,Rum,ALCH,120.781441,-79.737221,-43.117096,0.0000
DrunkMod_SpecialBased.esp,36005488,00145857,Rum,ALCH,164.417542,-79.737221,-43.117096,0.0000
DrunkMod_SpecialBased.esp,36005487,00145857,Rum,ALCH,155.443466,-79.737221,-43.117096,0.0000
DrunkMod_SpecialBased.esp,36005486,00145857,Rum,ALCH,172.337845,-79.737221,-43.117096,0.0000
DrunkMod_SpecialBased.esp,36005485,00145857,Rum,ALCH,181.311920,-79.737221,-43.117096,0.0000
DrunkMod_SpecialBased.esp,36005484,000366C3,Vodka,ALCH,180.018997,-64.525558,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005483,000366C3,Vodka,ALCH,171.361496,-64.525558,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005482,000366C3,Vodka,ALCH,161.018753,-64.525558,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005481,000366C3,Vodka,ALCH,152.361252,-64.525558,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005480,000366C3,Vodka,ALCH,134.687653,-64.525558,-43.117111,0.0000
DrunkMod_SpecialBased.esp,3600547F,000366C3,Vodka,ALCH,143.345154,-64.525558,-43.117111,0.0000
DrunkMod_SpecialBased.esp,3600547E,000366C3,Vodka,ALCH,124.344902,-64.525558,-43.117111,0.0000
DrunkMod_SpecialBased.esp,3600547D,000366C3,Vodka,ALCH,115.687401,-64.525558,-43.117111,0.0000
DrunkMod_SpecialBased.esp,3600547C,000366C3,Vodka,ALCH,134.687653,-51.900414,-43.117111,0.0000
DrunkMod_SpecialBased.esp,3600547B,000366C3,Vodka,ALCH,143.345154,-51.900414,-43.117111,0.0000
DrunkMod_SpecialBased.esp,3600547A,000366C3,Vodka,ALCH,124.344902,-51.900414,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005479,000366C3,Vodka,ALCH,115.687401,-51.900414,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005478,000366C3,Vodka,ALCH,161.018753,-51.900414,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005477,000366C3,Vodka,ALCH,152.361252,-51.900414,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005476,000366C3,Vodka,ALCH,171.361496,-51.900414,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005475,000366C3,Vodka,ALCH,180.018997,-51.900414,-43.117111,0.0000
DrunkMod_SpecialBased.esp,36005474,00178B18,BeerGwinnettBrew_Cold,ALCH,8.926704,-102.881516,-43.117126,0.0000
DrunkMod_SpecialBased.esp,36005473,00178B18,BeerGwinnettBrew_Cold,ALCH,17.811802,-102.881516,-43.117126,0.0000
DrunkMod_SpecialBased.esp,36005472,00178B18,BeerGwinnettBrew_Cold,ALCH,26.645977,-102.881516,-43.117126,0.0000
DrunkMod_SpecialBased.esp,36005471,00178B18,BeerGwinnettBrew_Cold,ALCH,35.531075,-102.881516,-43.117126,0.0000
DrunkMod_SpecialBased.esp,36005470,00178B18,BeerGwinnettBrew_Cold,ALCH,42.696953,-102.881516,-43.117126,0.0000
DrunkMod_SpecialBased.esp,3600546F,00178B18,BeerGwinnettBrew_Cold,ALCH,51.582050,-102.881516,-43.117126,0.0000
DrunkMod_SpecialBased.esp,3600546E,00178B18,BeerGwinnettBrew_Cold,ALCH,59.280918,-102.881516,-43.117126,0.0000
DrunkMod_SpecialBased.esp,3600546D,00178B18,BeerGwinnettBrew_Cold,ALCH,68.166016,-102.881516,-43.117126,0.0000
DrunkMod_SpecialBased.esp,3600546C,00178B18,BeerGwinnettBrew_Cold,ALCH,74.528015,-102.881516,-43.117126,0.0000
DrunkMod_SpecialBased.esp,3600546B,00178B18,BeerGwinnettBrew_Cold,ALCH,83.413116,-102.881516,-43.117126,0.0000
DrunkMod_SpecialBased.esp,3600546A,00178B18,BeerGwinnettBrew_Cold,ALCH,90.003433,-102.881516,-43.117126,0.0000
