source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
EnclaveRemnants.esp,4701C450,00048281,MetalBarrel01Fire02_Static,STAT,-34687.468750,-107623.265625,2008.877197,0.0000
EnclaveRemnants.esp,4700B703,47007297,00LvlRemnant_SentryBot,NPC_,-34674.722656,-108052.945312,1996.234619,5.7297
EnclaveRemnants.esp,4700A7D0,00002CE2,PatrolIdleMarker,IDLM,-34499.996094,-107230.492187,1967.180420,5.7300
EnclaveRemnants.esp,4700A7CF,00002CE2,PatrolIdleMarker,IDLM,-33965.554687,-107065.515625,1973.873901,40.1072
EnclaveRemnants.esp,4700A7CE,00002CE2,PatrolIdleMarker,IDLM,-35460.144531,-107245.734375,2041.464966,309.3974
EnclaveRemnants.esp,4700A7CD,00002CE2,PatrolIdleMarker,IDLM,-35087.117188,-107051.906250,1998.308838,0.0001
EnclaveRemnants.esp,4700A7CC,00032575,NPCInvChairSit,FURN,-34111.992187,-107747.109375,1994.422363,292.2086
EnclaveRemnants.esp,4700A032,0010C3B6,WorkbenchCookingFire,FURN,-34263.160156,-107525.828125,1985.249268,74.4848
EnclaveRemnants.esp,47006362,47001ED4,00LvlRemnant,NPC_,-34286.195312,-107331.687500,1982.686890,0.0002
EnclaveRemnants.esp,47006361,47001ED6,00LvlRemnant_Heavy,NPC_,-35066.257812,-107278.359375,2016.538574,0.9635
EnclaveRemnants.esp,47006360,47001ED5,00LvlRemnant_Officer,NPC_,-34492.628906,-107745.265625,2002.688843,4.7663
