source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
FaceMaxson.esp,21047A13,21047A12,BoSJurist,NPC_,8813.418945,-3015.762207,-1239.843872,257.8310
FaceMaxson.esp,21014B7A,0008C7FA,DebrisPileLargeConc03,STAT,3657.509033,1275.332031,-960.000000,67.1302
FaceMaxson.esp,2103F8DE,0010693A,Rubble_Flat_Trash_Lg01c,STAT,4160.000000,128.000000,-1024.000000,0.0000
FaceMaxson.esp,2103F8DD,00106939,Rubble_Flat_Trash_Lg01b,STAT,3840.000000,128.000000,-1024.000000,0.0000
FaceMaxson.esp,2103F8DC,000F393D,Rubble_Flat_Trash_Lg01a,STAT,4287.892578,679.043518,-1024.000000,0.0000
FaceMaxson.esp,2103F8DB,0010693A,Rubble_Flat_Trash_Lg01c,STAT,3776.000000,576.000000,-1024.000000,0.0000
FaceMaxson.esp,2103F8DA,00106939,Rubble_Flat_Trash_Lg01b,STAT,4032.000000,1024.000000,-1024.000000,0.0000
FaceMaxson.esp,2103F8D9,0008C7F8,DebrisPileLargeConc01,STAT,4258.150391,1114.287354,-1024.000000,222.4902
FaceMaxson.esp,2103F8D8,0002F3D9,TilesRubble01,STAT,3904.000000,896.000000,-1024.000000,0.0000
FaceMaxson.esp,2103F8D6,0019149F,Rubble_Pile_Debris_07,STAT,4231.262207,958.327087,-1024.000000,0.0000
FaceMaxson.esp,2103F8D5,00191498,Rubble_Pile_Debris_04,STAT,4075.375244,825.566284,-1024.000000,0.0000
FaceMaxson.esp,2103F8D4,0019149E,Rubble_Pile_Debris_05,STAT,4136.158203,582.562134,-1024.000000,0.0000
FaceMaxson.esp,2103F8D3,001914C0,Rubble_Pile_Debris_01,STAT,4137.389160,446.115479,-1024.000000,183.3465
FaceMaxson.esp,2103F8D1,0002F3BF,PlywoodDoor01,STAT,3968.000000,384.000000,-920.000000,0.0000
FaceMaxson.esp,21036FEB,00082D97,BldBrickSmCeilOnly128Up01,STAT,4480.000000,768.000000,-1024.000000,90.0000
FaceMaxson.esp,21036FEA,00082D97,BldBrickSmCeilOnly128Up01,STAT,4736.000000,768.000000,-896.000000,90.0000
FaceMaxson.esp,21036FE9,00067AB7,BldConcSmWall128Up02,STAT,4480.000000,768.000000,-1024.000000,270.0000
FaceMaxson.esp,21036FE8,00067AB7,BldConcSmWall128Up02,STAT,4736.000000,768.000000,-896.000000,270.0000
FaceMaxson.esp,21036FE7,00067AB6,BldConcSmWall128Up01,STAT,4736.000000,768.000000,-896.000000,90.0000
FaceMaxson.esp,21036FE6,00067AB6,BldConcSmWall128Up01,STAT,4480.000000,768.000000,-1024.000000,90.0000
FaceMaxson.esp,21036FE5,00082DDD,BldBrickSmStairs01,STAT,4480.000000,768.000000,-1024.000000,270.0000
FaceMaxson.esp,2101EB9D,000F643B,HitElevatorCar01,STAT,5216.069824,768.000000,-768.000000,270.0000
FaceMaxson.esp,210148EC,00067B69,BldConcSmHall2Way02,SCOL,4224.000000,1023.999756,-1024.000000,0.0000
FaceMaxson.esp,21036FE4,00067A93,BldConcSmWallPlugADoor01,STAT,3712.000000,384.000000,-1024.000000,90.0000
FaceMaxson.esp,210148E8,00067B8B,BldConcSmHall2Way02Door01,SCOL,3711.999756,511.999756,-1024.000000,180.0000
FaceMaxson.esp,2101481E,000EC1F3,AMBIntSteamTunnelsSpotSteamD2DLPmarker,SOUN,7541.874512,-3136.478027,-984.603149,0.0000
FaceMaxson.esp,2102B927,0008C7F7,DebrisPileLargeBrick06,STAT,8091.128418,-3042.997314,-1231.349487,0.0000
FaceMaxson.esp,2101481D,000EB706,AMBIntSteamTunnelsSpotMachineA2DLPmarker,SOUN,9235.328125,-2977.842285,-1061.728516,0.0000
FaceMaxson.esp,2101E403,000C868D,LvlBoSSquire,NPC_,3677.241699,561.241211,-1024.000000,57.2959
FaceMaxson.esp,2101A6DD,0016015D,LvlBoSSoldier_CombatArmor_Auto,NPC_,3997.931885,985.544250,-1024.000000,177.6169
FaceMaxson.esp,2101A6DC,000C868D,LvlBoSSquire,NPC_,4247.758789,490.576080,-1024.000000,314.1635
FaceMaxson.esp,2101A6DB,0016BACF,LvlBoSScribeField,NPC_,4240.072266,930.509399,-1024.000000,200.5352
FaceMaxson.esp,2101A6DA,00160161,LvlBoSSoldier_PowerArmor_BigGun,NPC_,3729.099365,961.312256,-1024.000000,171.8873
FaceMaxson.esp,2101A6D8,0003251C,DefaultSetStageTrigger,ACTI,3924.993652,-116.570702,-812.880432,91.6733
FaceMaxson.esp,21014B7D,0008B604,TrashPileCor01,STAT,3509.329346,-817.963135,-1243.852539,270.0001
FaceMaxson.esp,21014B7C,0008B604,TrashPileCor01,STAT,3509.329346,-817.963135,-1280.000000,270.0001
FaceMaxson.esp,21014B7B,00000032,COCMarkerHeading,STAT,4288.000000,768.000000,-1024.000000,270.7226
FaceMaxson.esp,21014B79,0008C7F9,DebrisPileLargeConc02,STAT,3598.427979,1328.874878,-991.394043,142.7517
FaceMaxson.esp,21014B78,0008C7FA,DebrisPileLargeConc03,STAT,3650.875000,1287.650635,-1003.596436,51.9790
FaceMaxson.esp,21014B77,0008C7F9,DebrisPileLargeConc02,STAT,3825.999756,1410.426758,-982.647583,180.0000
FaceMaxson.esp,21014B76,0008C7F8,DebrisPileLargeConc01,STAT,3696.396973,1179.115723,-1023.999878,222.4902
FaceMaxson.esp,21014B75,0005193F,ACDuctLgEnd04,STAT,5657.197754,-1280.545898,-1242.504395,355.3333
FaceMaxson.esp,21014B72,00023A8E,SteamTBrickpile02,STAT,7711.300781,-3482.055664,-1290.059326,270.0000
FaceMaxson.esp,21014B71,00023A8D,SteamTBrickpile01,STAT,7833.395508,-3581.285400,-1289.068359,270.0000
FaceMaxson.esp,21014B70,00023A8F,SteamTBrickpile03,STAT,7864.277344,-2546.926270,-1282.050537,174.7593
FaceMaxson.esp,21014B6F,00023A8D,SteamTBrickpile01,STAT,7767.980957,-2543.977539,-1287.130371,0.0072
FaceMaxson.esp,21014B6E,00023A8E,SteamTBrickpile02,STAT,7335.604004,-2422.327148,-1408.100098,270.0000
