source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
FatherCompanion.esp,4B004537,0001D493,defaultLight04,LIGH,2048.000000,2668.214600,702.235535,0.0000
FatherCompanion.esp,4B08ADD3,4B089E98,zzNarrator,NPC_,1966.929443,1917.605225,-0.130424,0.0000
FatherCompanion.esp,4B082C4D,4B01331C,zzCancerFEV,ALCH,2245.040039,1834.867310,-0.680731,268.3268
FatherCompanion.esp,4B00453A,0001E593,BldWoodPBgRoomCorner01,SCOL,1920.000000,1935.500244,-0.684753,0.0000
FatherCompanion.esp,4B004539,0001E595,BldWoodPBgRoomCorner02,SCOL,1920.000000,2191.500244,-0.684753,0.0000
FatherCompanion.esp,4B004538,0001E597,BldWoodPBgRoomCorner03,SCOL,2176.000000,2191.500244,-0.684753,0.0000
FatherCompanion.esp,4B00453E,0001E599,BldWoodPBgRoomCorner04,SCOL,2176.000000,1935.500244,-0.684753,0.0000
FatherCompanion.esp,4B00453B,0001D491,defaultLight01,LIGH,1412.285156,2048.000000,-190.235565,0.0000
FatherCompanion.esp,4B00453D,00000032,COCMarkerHeading,STAT,2058.302979,1913.314453,-0.684753,0.0000
FatherCompanion.esp,4B004536,0001D492,defaultLight03,LIGH,2048.000000,1427.785400,-190.235565,0.0000
FatherCompanion.esp,4B00453C,0001D490,defaultLight02,LIGH,2683.714844,2048.000000,702.235535,0.0000
FatherCompanion.esp,4B09DF93,4B09DF90,zzStoryBot,NPC_,2097.181152,1979.598267,-0.684753,0.0000
FatherCompanion.esp,4B080DE8,4B01331C,zzCancerFEV,ALCH,2261.865234,1851.875366,-0.684753,79.5558
FatherCompanion.esp,4B07572B,4B07572A,zzDeanSc03,NPC_,2083.832520,2172.285645,-0.130461,0.0000
FatherCompanion.esp,4B075727,4B075725,zzDeanSc02,NPC_,2189.554199,2104.967529,-0.130447,0.0000
FatherCompanion.esp,4B075726,4B075723,zzDeanSc01,NPC_,1879.309326,1950.408813,-0.143528,0.0000
FatherCompanion.esp,4B074F85,4B074F81,zzDeanSynth01,NPC_,2217.514404,2254.595947,-0.130402,0.0000
FatherCompanion.esp,4B074F86,4B074F84,zzDeanSynth02,NPC_,2101.739014,2260.758301,-0.130432,0.0000
FatherCompanion.esp,4B072958,4B072956,zzDeanCourser03,NPC_,2205.123291,1983.523682,-0.130432,0.0000
FatherCompanion.esp,4B072957,4B072955,zzDeanCourser02,NPC_,2220.721680,1897.077637,-0.130447,0.0000
FatherCompanion.esp,4B072951,4B07294E,zzDeanCourser01,NPC_,1872.916138,1864.748413,-0.130444,0.0000
FatherCompanion.esp,4B06B6DD,4B06AF42,zzDeanVolkert,NPC_,2225.214111,2193.170410,-0.130463,200.5353
FatherCompanion.esp,4B02B98E,4B0026AB,zzVault81Research,MISC,2265.958740,1905.727173,-0.685115,0.0000
FatherCompanion.esp,4B029385,4B0026AB,zzVault81Research,MISC,2224.993408,1876.114746,-0.685112,256.8677
FatherCompanion.esp,4B029386,4B0026AB,zzVault81Research,MISC,2236.122314,1925.226440,-0.185112,0.0000
FatherCompanion.esp,4B005483,4B005482,zzShaunMutant,NPC_,2023.686890,2075.684326,2.967072,188.1127
FatherCompanion.esp,4B004CDB,4B004CDA,zzShaunDUPLICATE000,NPC_,1931.901733,2186.151123,-0.130447,148.0057
FatherCompanion.esp,4B005480,4B00547E,zzCourier,NPC_,1840.313843,2074.899902,-0.130447,96.4397
FatherCompanion.esp,4B004535,0000003B,XMarker,STAT,1860.713135,2258.210205,-0.684753,180.0000
