source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Firelance2.5.esp,29052630,0003AA22,RockM02,STAT,7651.294434,12941.288086,347.364563,210.5377
Firelance2.5.esp,2905262F,0003AA22,RockM02,STAT,8023.666992,12865.034180,316.950012,311.1373
Firelance2.5.esp,2905262E,0003AA21,RockM01,STAT,7844.020508,12680.319336,257.727356,239.8803
Firelance2.5.esp,2905262D,000BC251,RockPileL01RiverbedRocks02Wet,STAT,7592.313477,12546.530273,358.268860,110.6932
Firelance2.5.esp,2905262C,00038593,RockCliff05,STAT,7876.550781,12471.864258,2554.914307,103.4420
Firelance2.5.esp,2905262B,00038593,RockCliff05,STAT,7170.379883,12868.709961,3208.678711,103.4420
Firelance2.5.esp,2905262A,0001F785,RockCliff02,STAT,6649.072754,12862.737305,932.488159,105.9721
Firelance2.5.esp,29052629,00038593,RockCliff05,STAT,6544.878906,12801.161133,2017.845947,90.4478
Firelance2.5.esp,29052628,0001F0FC,RockCliff01,STAT,6054.473633,12940.450195,2633.859131,173.2604
Firelance2.5.esp,29052627,0003299A,RockCliff03,STAT,4754.799805,12607.987305,1332.290771,116.1013
Firelance2.5.esp,29052626,0001F785,RockCliff02,STAT,4708.444336,13202.694336,2274.481201,83.0536
Firelance2.5.esp,29052625,0001F0FC,RockCliff01,STAT,6477.033691,12619.661133,2447.185303,190.4491
Firelance2.5.esp,29052624,0003299A,RockCliff03,STAT,5022.241699,12799.090820,4063.451416,79.3454
Firelance2.5.esp,29052623,0003299A,RockCliff03,STAT,5571.301758,12432.180664,4038.985596,53.2824
Firelance2.5.esp,29052622,0003299A,RockCliff03,STAT,6695.883301,13235.727539,4038.985596,53.2824
Firelance2.5.esp,29052621,0003299A,RockCliff03,STAT,6146.823242,13602.637695,4063.451416,79.3454
Firelance2.5.esp,29052620,0003299A,RockCliff03,STAT,5852.872070,12851.540039,3788.077148,88.7761
Firelance2.5.esp,290B08A3,0001F0FC,RockCliff01,STAT,8150.770508,11382.375000,1126.854248,206.1842
Firelance2.5.esp,2909159A,0008F5A7,CeilingLamp01ShortOn,STAT,6455.694336,10701.170898,2971.785156,359.9997
Firelance2.5.esp,29091599,000560DC,defaultLightWarm01NS,LIGH,6471.267578,10694.709961,1781.000244,103.1315
Firelance2.5.esp,29091598,0009A740,LightBeamThin01Short02Dim,MSTT,6456.399414,10704.841797,3018.036133,103.1315
Firelance2.5.esp,29091597,00026251,MuseumSpotWarm,LIGH,6469.324219,10695.163086,2735.901855,90.0000
Firelance2.5.esp,29052604,0006163E,TreeMaplePreWar03Rd,STAT,4467.523926,8812.975586,491.500793,0.0000
Firelance2.5.esp,29052603,00061649,TreeMaplePreWar05Gr,STAT,4629.436035,11526.110352,614.407043,0.0000
Firelance2.5.esp,29052602,0006164E,TreeElmFreePreWar01Yw,STAT,6176.998047,11025.811523,440.258118,0.0000
Firelance2.5.esp,29052601,0003AA22,RockM02,STAT,6746.854980,8441.310547,384.453430,235.0880
Firelance2.5.esp,29052600,0003AA22,RockM02,STAT,7060.139648,8226.065430,423.372864,334.6898
Firelance2.5.esp,290525FF,0003AA21,RockM01,STAT,6546.586426,9391.548828,29.691208,32.6044
Firelance2.5.esp,290525FE,0003AA22,RockM02,STAT,6815.602051,9210.217773,119.327934,10.0011
Firelance2.5.esp,290525FD,0003AA23,RockM03,STAT,6718.958008,9873.648438,67.662888,164.7256
Firelance2.5.esp,290525FC,000BC251,RockPileL01RiverbedRocks02Wet,STAT,6535.607422,10175.387695,131.175598,144.8040
Firelance2.5.esp,290525FB,000BC251,RockPileL01RiverbedRocks02Wet,STAT,6738.933105,9601.923828,130.232239,271.1829
Firelance2.5.esp,290525FA,0003AA22,RockM02,STAT,6439.198730,9157.326172,88.913864,109.7570
Firelance2.5.esp,290525F9,0003AA21,RockM01,STAT,7072.203125,9460.397461,72.928513,32.6044
Firelance2.5.esp,290525F8,0003AA22,RockM02,STAT,7341.218750,9279.067383,162.565735,10.0011
Firelance2.5.esp,290525F7,0003AA23,RockM03,STAT,7244.574707,9942.497070,110.900192,164.7256
Firelance2.5.esp,290525F6,000BC251,RockPileL01RiverbedRocks02Wet,STAT,7061.224121,10244.237305,174.412903,144.8040
Firelance2.5.esp,290525F5,000BC251,RockPileL01RiverbedRocks02Wet,STAT,7264.549805,9670.772461,173.470032,271.1829
Firelance2.5.esp,290525F4,0003AA22,RockM02,STAT,6964.815430,9226.174805,132.151672,109.7570
Firelance2.5.esp,290525F3,0003AA21,RockM01,STAT,7394.453125,9289.301758,241.317200,266.1358
Firelance2.5.esp,290525F2,0003AA22,RockM02,STAT,6897.100586,9912.839844,82.844040,235.0881
Firelance2.5.esp,290525F1,0003AA23,RockM03,STAT,6941.705566,9050.232422,279.288391,27.2159
Firelance2.5.esp,290525F0,000BC251,RockPileL01RiverbedRocks02Wet,STAT,6873.093262,8703.887695,342.801086,7.5972
Firelance2.5.esp,290525EF,000BC251,RockPileL01RiverbedRocks02Wet,STAT,6619.946289,9107.420898,319.910461,133.6538
Firelance2.5.esp,290525EE,0003AA22,RockM02,STAT,7631.849609,9389.475586,300.539856,334.6899
Firelance2.5.esp,290525ED,0003AA21,RockM01,STAT,6824.674805,10959.624023,264.945618,77.6850
Firelance2.5.esp,290525EC,0003AA22,RockM02,STAT,6944.316895,10658.067383,354.582825,46.3975
Firelance2.5.esp,290525EB,0003AA23,RockM03,STAT,7239.152832,11260.188477,302.916809,199.1031
Firelance2.5.esp,290525EA,000BC251,RockPileL01RiverbedRocks02Wet,STAT,7258.202637,11612.752930,366.429504,179.5101
Firelance2.5.esp,290525E9,000BC251,RockPileL01RiverbedRocks02Wet,STAT,7102.212402,11024.647461,365.487122,305.5120
Firelance2.5.esp,290525E8,0003AA22,RockM02,STAT,6603.791992,10826.946289,324.168274,146.5717
Firelance2.5.esp,290525E7,0003AA23,RockM03,STAT,7520.109863,12283.817383,295.699036,4.2976
Firelance2.5.esp,290525E6,000BC251,RockPileL01RiverbedRocks02Wet,STAT,7591.786133,11938.092773,359.211731,344.6425
Firelance2.5.esp,290525E5,0006163E,TreeMaplePreWar03Rd,STAT,8095.316895,8615.334961,610.290833,53.9780
Firelance2.5.esp,290525E4,00061640,TreeMaplePreWar03Gr,STAT,7801.177246,8934.446289,506.622375,229.5469
Firelance2.5.esp,290525E3,00061640,TreeMaplePreWar03Gr,STAT,8087.641602,10020.904297,693.681458,109.2283
Firelance2.5.esp,290525E2,00052037,TreeMaplePreWar01Rd,STAT,7567.763184,10601.324219,524.972473,301.7410
Firelance2.5.esp,290525E1,0006163E,TreeMaplePreWar03Rd,STAT,4915.799316,10003.043945,656.145325,53.9780
Firelance2.5.esp,290525E0,00052037,TreeMaplePreWar01Rd,STAT,5398.449219,10253.036133,468.939758,62.0620
Firelance2.5.esp,290525DF,0006164C,TreeElmForestPreWar02Yw,STAT,5368.118652,8242.694336,603.939758,358.0734
Firelance2.5.esp,290525DE,0001F0FC,RockCliff01,STAT,7759.219238,11690.941406,1126.854248,200.4546
Firelance2.5.esp,290525DD,0001F0FC,RockCliff01,STAT,8145.916016,11906.083008,2947.925049,236.2857
Firelance2.5.esp,290525DC,0006163A,TreeMaplePreWar01Gr,STAT,4161.487793,11683.650391,549.056458,0.0000
Firelance2.5.esp,290525DB,0003299A,RockCliff03,STAT,4224.412109,8408.743164,4038.985596,24.8477
Firelance2.5.esp,290525DA,0003299A,RockCliff03,STAT,5463.894043,8850.155273,4038.985596,24.8477
Firelance2.5.esp,290525D9,0003299A,RockCliff03,STAT,5101.057617,9401.914062,4063.451416,49.4008
Firelance2.5.esp,290525D8,0003299A,RockCliff03,STAT,4537.820801,8824.576172,3788.077148,50.2281
Firelance2.5.esp,290525D7,0003299A,RockCliff03,STAT,6706.301270,9580.667969,4038.985596,24.8477
Firelance2.5.esp,290525D6,0003299A,RockCliff03,STAT,5780.228027,9555.088867,3788.077148,50.2281
Firelance2.5.esp,290525D5,0003299A,RockCliff03,STAT,6343.464844,10132.426758,4063.451416,49.4008
Firelance2.5.esp,290525D4,0003299A,RockCliff03,STAT,7798.495117,10247.989258,4038.985596,24.8477
Firelance2.5.esp,290525D3,0003299A,RockCliff03,STAT,6872.421875,10222.410156,3788.077148,50.2281
Firelance2.5.esp,290525D2,0003299A,RockCliff03,STAT,7435.658691,10799.748047,4063.451416,49.4008
Firelance2.5.esp,290525D1,0003299A,RockCliff03,STAT,7070.255371,8827.805664,3788.077148,50.2281
Firelance2.5.esp,290525D0,0003299A,RockCliff03,STAT,8161.370117,11048.446289,3788.077148,50.2281
Firelance2.5.esp,290525CF,0001F0FC,RockCliff01,STAT,4393.671875,10130.160156,3464.962891,88.8356
Firelance2.5.esp,290525CE,0001F0FC,RockCliff01,STAT,5813.245117,10597.645508,3464.962891,88.8356
Firelance2.5.esp,290525CD,0003299A,RockCliff03,STAT,4342.622559,12004.831055,4038.985596,53.2824
