source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
FortStrongRedux.esp,001671EF,000ECC07,CoastMossCar02,STAT,71351.640625,-26685.660156,-1216.715454,270.0000
FortStrongRedux.esp,001DEAA5,00097714,RockBoulder02_CoastWet,STAT,75762.828125,-26618.888672,-1785.292236,0.0000
FortStrongRedux.esp,001DEAD6,0013578D,ExtRubble_HiTec_Debris06,STAT,78889.007812,-26121.248047,-1212.188721,251.4128
FortStrongRedux.esp,001DA056,0004B6EA,Loot_Prewar_Medkit_Wall,CONT,70296.343750,-23266.601562,-2016.880981,158.8425
FortStrongRedux.esp,00167273,00097712,RockCoastCluster01Wet,SCOL,76207.640625,-22225.261719,-851.665039,270.0000
FortStrongRedux.esp,001DE9DD,000AEFAD,RockCoastSM01,STAT,80268.570312,-22289.458984,-695.812500,270.0000
FortStrongRedux.esp,001671E5,000EE3EA,Airplane_Debris_02,STAT,72709.867188,-19662.156250,-811.039978,46.5465
FortStrongRedux.esp,FE040825,0017FE3A,FlagWavingBOS02,MSTT,77494.000000,-19158.000000,1087.209717,11.0313
FortStrongRedux.esp,FE040824,000E0F8C,BOSBarricadeBase01,STAT,77688.000000,-19060.000000,1058.000000,336.0000
FortStrongRedux.esp,FE040823,000E0F8C,BOSBarricadeBase01,STAT,77296.000000,-19066.000000,1058.000000,19.0000
FortStrongRedux.esp,FE040822,0017FE41,FlagWavingRailroad02,MSTT,77494.000000,-19158.000000,1087.209717,11.0313
FortStrongRedux.esp,FE040821,0021C948,BOSBarricadeBase01Military,STAT,77688.000000,-19060.000000,1058.000000,336.0000
FortStrongRedux.esp,FE040820,0021C948,BOSBarricadeBase01Military,STAT,77296.000000,-19066.000000,1058.000000,19.0000
FortStrongRedux.esp,FE04081F,001824F0,FlagWavingInstitute02,MSTT,77494.000000,-19158.000000,1087.209717,11.0313
FortStrongRedux.esp,FE04081E,0021C948,BOSBarricadeBase01Military,STAT,77688.000000,-19060.000000,1058.000000,336.0000
FortStrongRedux.esp,FE04081D,0021C948,BOSBarricadeBase01Military,STAT,77296.000000,-19066.000000,1058.000000,19.0000
FortStrongRedux.esp,FE04081C,0016BD76,FlagWavingMinutemen02,MSTT,77494.000000,-19158.000000,1087.209717,11.0313
FortStrongRedux.esp,FE04081B,0021C948,BOSBarricadeBase01Military,STAT,77688.000000,-19060.000000,1058.000000,336.0000
FortStrongRedux.esp,FE04081A,0021C948,BOSBarricadeBase01Military,STAT,77296.000000,-19066.000000,1058.000000,19.0000
FortStrongRedux.esp,FE040752,00000021,CollisionMarker,STAT,76563.054688,-17040.525391,989.086975,346.3332
FortStrongRedux.esp,FE040751,00000017,PlaneMarker,STAT,77462.585938,-17463.388672,1018.475952,180.0001
FortStrongRedux.esp,FE040692,0E0138F3,AR_EnclaveFlagWaving02,MSTT,76611.328125,-17663.988281,950.490845,275.0001
FortStrongRedux.esp,FE040691,0021C948,BOSBarricadeBase01Military,STAT,76535.218750,-16761.902344,904.000000,155.0000
FortStrongRedux.esp,FE040690,0021C948,BOSBarricadeBase01Military,STAT,75920.000000,-16592.000000,904.000000,155.0000
FortStrongRedux.esp,FE04068F,FE040672,FSR_AR_LvlEnclaveSoldier_CombatArmor_Auto,NPC_,76232.000000,-17012.000000,908.000000,195.0000
FortStrongRedux.esp,FE0404BB,001824F0,FlagWavingInstitute02,MSTT,76611.328125,-17663.988281,950.490845,275.0001
FortStrongRedux.esp,FE0404BA,0021C948,BOSBarricadeBase01Military,STAT,76535.218750,-16761.902344,904.000000,155.0000
FortStrongRedux.esp,FE0404B9,0021C948,BOSBarricadeBase01Military,STAT,75920.000000,-16592.000000,904.000000,155.0000
FortStrongRedux.esp,FE04049C,FE040472,FSR_LvlSynth_Institute_AllArmor_Rifle,NPC_,76232.000000,-17012.000000,908.000000,195.0000
FortStrongRedux.esp,FE040454,0016BD76,FlagWavingMinutemen02,MSTT,76611.328125,-17663.988281,950.490845,275.0001
FortStrongRedux.esp,FE040452,0021C948,BOSBarricadeBase01Military,STAT,76535.218750,-16761.902344,904.000000,155.0000
FortStrongRedux.esp,FE040451,0021C948,BOSBarricadeBase01Military,STAT,75920.000000,-16592.000000,904.000000,155.0000
FortStrongRedux.esp,FE04040E,00245AA7,MeatBag_Floor001,CONT,76064.000000,-16932.000000,900.000000,270.0000
FortStrongRedux.esp,FE04040D,00245AA8,MeatBag_Floor002,CONT,76041.687500,-16898.962891,905.683594,270.0000
FortStrongRedux.esp,FE04040C,00245AA8,MeatBag_Floor002,CONT,76002.460938,-16932.158203,906.740356,270.0000
FortStrongRedux.esp,FE04040B,00245AA7,MeatBag_Floor001,CONT,76050.164062,-16879.470703,887.935669,235.8493
FortStrongRedux.esp,FE04040A,000FB1B6,SuperMutant_Cart,STAT,75990.867188,-16921.953125,890.553833,315.8366
FortStrongRedux.esp,FE0403FB,000FB199,SuperMutantTotem02,STAT,77600.000000,-18704.000000,1040.000000,211.9947
FortStrongRedux.esp,FE0403FA,0021D9DE,Supermutant-Clutter06,SCOL,77392.000000,-18836.000000,1040.000000,211.0312
FortStrongRedux.esp,FE0403F9,00245AA8,MeatBag_Floor002,CONT,77554.789062,-18839.500000,1056.000000,135.7368
FortStrongRedux.esp,FE0403F8,000FB1B6,SuperMutant_Cart,STAT,77600.296875,-18871.750000,1040.870239,200.0703
FortStrongRedux.esp,FE0403F7,00245AA7,MeatBag_Floor001,CONT,77572.031250,-18803.544922,1050.316406,147.6303
FortStrongRedux.esp,FE0403F6,00245AA8,MeatBag_Floor002,CONT,77603.250000,-18856.576172,1057.056763,147.6303
FortStrongRedux.esp,FE0403F5,00245AA7,MeatBag_Floor001,CONT,77533.679688,-18842.001953,1038.252075,127.9895
FortStrongRedux.esp,FE0403F4,002039E5,SuperMutantCampSpikePile02,STAT,76564.000000,-16788.000000,896.000000,182.3833
