source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
GenericComp2.esp,2C00D538,2C00D530,GenericComp13,NPC_,2828.407715,-9248.106445,472.001831,40.1070
GenericComp2.esp,2C026F5B,2C00D52B,GenericComp12,NPC_,1751.864624,-6760.168945,466.827179,0.0000
GenericComp2.esp,2C011999,2C01198C,GenericComp15,NPC_,-99195.210938,-115044.812500,7425.259766,234.9128
GenericComp2.esp,2C02F9A5,2C02B52C,GenericComp19,NPC_,-30102.613281,11272.346680,2267.583008,354.2704
GenericComp2.esp,2C040A57,2C011987,GenericComp14,NPC_,18089.558594,-31734.730469,730.498718,331.3521
GenericComp2.esp,2C0119AE,2C02B52D,GenericComp20,NPC_,72784.304688,80884.242188,1336.000000,0.0000
GenericComp2.esp,2C0119AF,00083907,NpcChairPatioSit01,FURN,72912.625000,80831.851562,1336.854004,167.1214
GenericComp2.esp,2C01E6CD,00074BB0,NpcChairPlayerHouseRuinSit01,FURN,-101756.710938,-117683.453125,8034.490723,45.8368
GenericComp2.esp,00221F0E,000EA1BB,NpcChairModernDomesticSit03,FURN,-102443.406250,-115512.734375,7923.075684,147.6734
GenericComp2.esp,00221E91,00149E61,NpcCouchAirplaneSit01,FURN,-101869.164062,-117894.843750,8036.490723,116.0239
GenericComp2.esp,000F7467,0019300C,GSCraterClouds01,STAT,-100718.453125,-116034.992187,13094.054687,236.3472
GenericComp2.esp,2C011998,2C01198E,GenericComp17,NPC_,-871.734192,1874.746826,840.947388,0.0000
GenericComp2.esp,2C01199A,2C01198D,GenericComp16,NPC_,-652.401123,-4437.878906,-0.000015,176.6536
GenericComp2.esp,2C02B531,2C02B52B,GenericComp18,NPC_,2117.088867,-133.421768,-1032.185913,107.8988
GenericComp2.esp,2C01A22C,2C004C50,GenericComp11,NPC_,845.080933,1322.399170,255.653412,107.8987
GenericComp2.esp,2C01E6CE,0006F9DC,NpcChairPlayerHouseRuinKitchenSit01,FURN,810.087402,2637.664062,257.465637,57.2958
GenericComp2.esp,0604F6E1,001A723C,NpcCouchSet01CleanEndL01Static,STAT,837.776123,1429.570557,255.620911,179.5435
