source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
GenericCompanionsAddOn.esp,00002F01,00002F00,Colette,NPC_,2603.564697,-368.388336,-1567.678711,351.8874
GenericCompanionsAddOn.esp,2A007A90,2A00E6D8,GenericComp07,NPC_,-63552.941406,40238.808594,4872.611816,0.0000
GenericCompanionsAddOn.esp,2A0115A1,2A010D94,GenericComp09,NPC_,17738.673828,15573.477539,1206.470581,0.0000
GenericCompanionsAddOn.esp,2A006385,00083907,NpcChairPatioSit01,FURN,18738.796875,14586.118164,1204.898926,11.4592
GenericCompanionsAddOn.esp,2A00DF38,2A00CF9C,GenericComp06,NPC_,-762.739746,1236.951538,713.000000,0.0000
GenericCompanionsAddOn.esp,2A00CF9B,2A00A8D3,GenericComp05,NPC_,12875.890625,316.813110,0.000000,0.0000
GenericCompanionsAddOn.esp,2A005BE3,2A000F99,GenericComp02,NPC_,-2636.720459,-4480.606934,-528.000000,86.9073
GenericCompanionsAddOn.esp,001ABF35,001C9085,MistLargeRoundDustyDimmest,MSTT,-1564.684814,-3778.979004,-357.744263,342.8113
GenericCompanionsAddOn.esp,001ABF21,001C9085,MistLargeRoundDustyDimmest,MSTT,-2464.253418,-4669.522461,-324.000000,29.7938
GenericCompanionsAddOn.esp,001ABF1F,001C9085,MistLargeRoundDustyDimmest,MSTT,-1947.669434,-4632.466797,-332.404388,29.7938
GenericCompanionsAddOn.esp,00095E8B,00095E85,V81SecurityM01T1Atrium,NPC_,-2661.209229,-4265.478027,-272.000000,84.9804
GenericCompanionsAddOn.esp,0019B434,001655B7,CafeCounter02,STAT,-1120.000854,-167.999634,-784.502502,269.5761
GenericCompanionsAddOn.esp,000DB083,001B9AF7,NpcTableVaultSit02,FURN,-2463.373047,-4328.629395,-528.000000,270.4480
GenericCompanionsAddOn.esp,001126E3,001126E1,V81CitizenF03T3Atrium,NPC_,-1728.000000,-4736.000000,-271.358795,0.0000
GenericCompanionsAddOn.esp,2A0105F8,2A00FE00,GenericComp08,NPC_,101.032021,3963.794922,-1023.345703,206.2649
GenericCompanionsAddOn.esp,2A00A84B,2A00911F,GenericComp01,NPC_,96.318581,6235.619141,-767.441589,161.3917
GenericCompanionsAddOn.esp,001809F0,001C9080,MistLargeRoundDustyDimmer,MSTT,450.817261,5272.639160,-639.079102,59.8058
GenericCompanionsAddOn.esp,001809EB,001C9080,MistLargeRoundDustyDimmer,MSTT,109.377487,4331.086426,-614.235046,99.9128
GenericCompanionsAddOn.esp,001809AE,001C9080,MistLargeRoundDustyDimmer,MSTT,-0.159768,4373.096680,-889.604004,179.9999
GenericCompanionsAddOn.esp,2A00996B,2A00B77E,GenericComp03,NPC_,1190.137329,-3107.515381,64.654305,89.7467
GenericCompanionsAddOn.esp,2A006380,2A00637D,GenericComp04,NPC_,283.410095,1607.009888,0.000061,331.3524
GenericCompanionsAddOn.esp,2A006382,001DFDEA,NPCInstituteUVSweeper,FURN,204.187637,2041.750488,1.589630,252.1015
GenericCompanionsAddOn.esp,2A006381,000B09A3,NPCInstituteWeldingLaserMedWall01,FURN,421.215881,2659.275391,0.190181,91.6734
GenericCompanionsAddOn.esp,2A011D3E,2A011D3B,GenericComp10,NPC_,1942.718018,-313.469513,0.250000,102.1695
