source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
InstituteReformation.esp,00187DB8,001D4CB5,DNPrime_LvlBoSSoldier_PowerArmor_Missile01,NPC_,-15571.350586,-2890.665283,885.275146,322.7576
InstituteReformation.esp,00187DB9,001D4CB6,DNPrime_LvlBoSSoldier_PowerArmor_BigGun01,NPC_,-15784.484375,-3054.079590,890.630066,317.0281
InstituteReformation.esp,00187DBA,001D4CB7,DNPrime_LvlBoSSoldier_CombatArmor_Auto01,NPC_,-15967.494141,-3183.820312,892.416138,345.6760
InstituteReformation.esp,2F00C28A,00067C91,BldConcBgRoomCorner01,SCOL,0.000000,256.000000,0.000000,90.0000
InstituteReformation.esp,2F00C288,00067C91,BldConcBgRoomCorner01,SCOL,0.000000,0.000000,0.000000,0.0000
InstituteReformation.esp,2F00DF4B,00067C91,BldConcBgRoomCorner01,SCOL,1878.000000,-74.000000,832.000000,270.0000
InstituteReformation.esp,2F00DF4A,00067C91,BldConcBgRoomCorner01,SCOL,1878.000000,182.000000,832.000000,180.0000
InstituteReformation.esp,2F00DF49,00067C91,BldConcBgRoomCorner01,SCOL,1622.000000,182.000000,832.000000,90.0000
InstituteReformation.esp,2F00DF48,00067C91,BldConcBgRoomCorner01,SCOL,1622.000000,-74.000000,832.000000,0.0000
InstituteReformation.esp,2F00C28B,00067C91,BldConcBgRoomCorner01,SCOL,256.000000,0.000000,0.000000,270.0000
InstituteReformation.esp,2F00C29F,00118986,CombatZoneSignPostWar04,STAT,135.664963,367.999939,110.000000,0.0000
InstituteReformation.esp,2F00C290,00067C91,BldConcBgRoomCorner01,SCOL,256.000000,256.000000,0.000000,180.0000
InstituteReformation.esp,2F00DF56,2F00DF45,zzXSummonSynth06,NPC_,1710.832275,-12.974892,832.654297,0.0000
InstituteReformation.esp,2F00DF55,2F00DF44,zzXSummonSynth05,NPC_,1848.569946,26.998909,832.654297,0.0000
InstituteReformation.esp,2F00DF54,2F00DF43,zzXSummonSynth04,NPC_,1731.295898,85.425194,832.000000,0.0000
InstituteReformation.esp,2F00DF53,2F00DF42,zzXSummonSynth03,NPC_,1602.148438,40.310745,832.654297,0.0000
InstituteReformation.esp,2F00DF52,2F00DF41,zzXSummonSynth02,NPC_,1649.983765,125.306305,832.654297,0.0000
InstituteReformation.esp,2F00DF51,2F00DF40,zzXSummonSynth01,NPC_,1580.322021,160.920959,832.000000,0.0000
InstituteReformation.esp,2F00DF50,2F00DF3F,zzXSummonCourser05,NPC_,1821.134766,135.544220,832.654236,0.0000
InstituteReformation.esp,2F00DF4F,2F00DF3E,zzXSummonCourser04,NPC_,1678.011353,180.319046,832.654236,0.0000
InstituteReformation.esp,2F00DF4E,2F00DF3D,zzXSummonCourser03,NPC_,1642.869019,253.964005,832.000000,0.0000
InstituteReformation.esp,2F00DF4D,2F00DF3C,zzXSummonCourser02,NPC_,1778.393311,235.770569,832.000000,0.0000
InstituteReformation.esp,2F00DF4C,2F00DF3B,zzXSummonCourser01,NPC_,1881.104858,227.911438,832.654236,0.0000
InstituteReformation.esp,2F00C3B6,2F00C3B0,zzSummonSynth06,NPC_,45.666996,-40.703056,-0.000031,0.0000
InstituteReformation.esp,2F00C3B5,2F00C3AF,zzSummonSynth05,NPC_,-55.979630,-2.334938,0.000000,0.0000
InstituteReformation.esp,2F00C3B4,2F00C3AE,zzSummonSynth04,NPC_,35.254337,194.478073,0.000031,0.0000
InstituteReformation.esp,2F00C3B3,2F00C3AD,zzSummonSynth03,NPC_,-60.871922,242.487518,0.654289,0.0000
InstituteReformation.esp,2F00C3B2,2F00C3AC,zzSummonSynth02,NPC_,26.481037,323.926147,0.000031,0.0000
InstituteReformation.esp,2F00C3B1,2F00C3AB,zzSummonSynth01,NPC_,-56.689095,332.833435,0.000000,0.0000
InstituteReformation.esp,2F00C3AA,2F00C3A5,zzSummonCourser05,NPC_,123.298393,20.891159,0.000000,0.0000
InstituteReformation.esp,2F00C3A9,2F00C3A4,zzSummonCourser04,NPC_,258.077911,55.375889,-0.000061,0.0000
InstituteReformation.esp,2F00C3A8,2F00C3A3,zzSummonCourser03,NPC_,202.131668,99.056587,0.000000,0.0000
InstituteReformation.esp,2F00C3A7,2F00C3A2,zzSummonCourser02,NPC_,282.236511,185.268433,0.000000,0.0000
InstituteReformation.esp,2F00C3A6,2F00C3A1,zzSummonCourser01,NPC_,255.534882,256.536896,0.000000,0.0000
InstituteReformation.esp,2F00C293,0000003B,XMarker,STAT,128.000000,192.000000,64.000000,0.0000
InstituteReformation.esp,2F00C292,00000034,XMarkerHeading,STAT,0.000000,64.000000,0.000000,0.0000
InstituteReformation.esp,2F00C291,00000034,XMarkerHeading,STAT,128.000000,192.000000,0.000000,0.0000
InstituteReformation.esp,0006B505,0006B503,Virgil,NPC_,1836.783936,3306.213623,192.653366,117.0656
InstituteReformation.esp,0001CC18,000642B8,BoSElderMaxson,NPC_,-326.351654,-4.017063,4352.000000,88.0039
InstituteReformation.esp,000508EE,00045ACF,Glory,NPC_,13256.417969,1507.932373,2.250364,177.6170
InstituteReformation.esp,2F00E262,00047339,Res01PlayerHouseInterior,STAT,2048.000000,2048.000000,256.000000,0.0000
InstituteReformation.esp,2F00FAF2,2F00FAF1,zzMM15,NPC_,1441.710449,2351.394775,256.000061,0.0000
InstituteReformation.esp,2F00FAEF,00000034,XMarkerHeading,STAT,1263.138184,2209.073242,256.000092,7.0762
InstituteReformation.esp,2F00FAEE,00000034,XMarkerHeading,STAT,1267.359741,2331.176758,256.000092,172.2705
InstituteReformation.esp,2F00EAD0,2F00EAC1,zzMM14,NPC_,2175.958008,1868.220459,256.000092,0.0000
InstituteReformation.esp,2F00EACE,2F00EABF,zzMM12,NPC_,1963.143555,1976.769409,256.654327,0.0000
InstituteReformation.esp,2F00EACF,2F00EAC0,zzMM13,NPC_,2005.476074,1903.610474,256.000092,0.0000
InstituteReformation.esp,2F00EACD,2F00EABE,zzMM11,NPC_,2241.442139,1971.029663,256.654327,0.0000
InstituteReformation.esp,2F00EACC,2F00EABD,zzMM10,NPC_,2100.537354,2052.854980,256.000061,0.0000
InstituteReformation.esp,2F00EACB,2F00EABC,zzMM09,NPC_,1956.901001,2068.668457,256.000000,0.0000
InstituteReformation.esp,2F00EACA,2F00EABB,zzMM08,NPC_,1948.571411,2141.282959,256.000122,0.0000
InstituteReformation.esp,2F00EAC9,2F00EABA,zzMM07,NPC_,2141.725342,2153.783203,256.000061,0.0000
InstituteReformation.esp,2F00EAC8,2F00EAB9,zzMM06,NPC_,2297.892578,2105.356934,256.000061,0.0000
InstituteReformation.esp,2F00EAC7,2F00EAB8,zzMM05,NPC_,1931.661011,2225.503662,256.000061,0.0000
InstituteReformation.esp,2F00EAC6,2F00EAB6,zzMM04,NPC_,2111.503418,2213.515625,256.000061,0.0000
InstituteReformation.esp,2F00EAC5,2F00EAB5,zzMM03,NPC_,2308.992676,2192.212402,256.000061,0.0000
InstituteReformation.esp,2F00EAC4,2F00EAB4,zzMM02,NPC_,1938.587280,2326.811035,256.000061,0.0000
InstituteReformation.esp,2F00EAC3,2F00EAB3,zzMM01,NPC_,2130.048828,2303.739502,256.000061,0.0000
InstituteReformation.esp,2F00EAC2,2F00EAB7,zzMM00,NPC_,2327.143555,2335.282715,256.000061,0.0000
InstituteReformation.esp,2F00E264,2F00E263,zzDirectorOverride,NOTE,1569.804199,1670.878906,256.023010,0.0000
InstituteReformation.esp,2F00C0BE,00047339,Res01PlayerHouseInterior,STAT,0.000000,0.000000,0.000000,0.0000
InstituteReformation.esp,2F00DF57,00047339,Res01PlayerHouseInterior,STAT,2346.570312,-74.035782,744.897827,0.0000
InstituteReformation.esp,2F00DF5E,2F00DF3A,zzXScribe02,NPC_,2254.447510,134.932770,745.539124,0.0000
InstituteReformation.esp,2F00DF5D,2F00DF39,zzXScribe01,NPC_,2202.046631,253.460327,745.673096,0.0000
InstituteReformation.esp,2F00DF5C,2F00DF38,zzXPaladin05,NPC_,2554.494385,153.725739,745.552063,0.0000
InstituteReformation.esp,2F00DF5B,2F00DF37,zzXPaladin04,NPC_,2503.113037,217.785904,744.897949,0.0000
InstituteReformation.esp,2F00DF5A,2F00DF36,zzXPaladin03,NPC_,2418.074951,228.767776,744.897888,0.0000
InstituteReformation.esp,2F00DF59,2F00DF35,zzXPaladin02,NPC_,2484.678467,278.702454,744.897888,0.0000
InstituteReformation.esp,2F00DF58,2F00DF34,zzXPaladin01,NPC_,2595.473145,243.331558,744.897949,0.0000
InstituteReformation.esp,2F00C3E3,2F00C3E1,zzSynthMaxson,NPC_,-552.500610,248.624222,0.000061,0.0000
InstituteReformation.esp,2F00DE7C,2F00DE7A,zzShaunHolo01,NOTE,-240.445190,341.716980,0.000076,0.0000
InstituteReformation.esp,2F00DE7D,2F00DE7B,zzShaunHolo02,NOTE,-242.389847,355.815735,0.000107,0.0000
InstituteReformation.esp,2F00C309,2F00C118,zzZ114ByeLetter,BOOK,-305.023895,271.648193,0.000099,0.0000
InstituteReformation.esp,2F00C284,2F00C280,zzInspector03,NPC_,311.494568,324.960754,0.000092,0.0000
InstituteReformation.esp,2F00C283,2F00C27B,zzInspector02,NPC_,183.649597,348.393066,0.000092,0.0000
InstituteReformation.esp,2F00C281,2F00C27A,zzInspector01,NPC_,25.356094,332.749664,0.000061,0.0000
InstituteReformation.esp,2F00CB63,2F00CB61,zzScribe02,NPC_,-369.315094,-191.540344,0.000092,0.0000
InstituteReformation.esp,2F00CB62,2F00CB5F,zzScribe01,NPC_,-317.737091,-285.176788,0.000092,0.0000
InstituteReformation.esp,2F00C270,2F00C26C,zzPaladin05,NPC_,270.503174,-316.318390,0.000100,0.0000
InstituteReformation.esp,2F00C26F,2F00C26B,zzPaladin04,NPC_,65.438995,-335.340515,0.000061,0.0000
InstituteReformation.esp,2F00C26E,2F00C26A,zzPaladin03,NPC_,178.018616,-247.919266,0.000076,0.0000
InstituteReformation.esp,2F00C26D,2F00C269,zzPaladin02,NPC_,260.504395,-209.441177,0.000061,0.0000
InstituteReformation.esp,2F00D441,2F00D43C,zzPaladin01,NPC_,226.918121,-80.167175,0.000061,0.0000
InstituteReformation.esp,2F00C224,2F00C21A,zzSentinelHill,NPC_,121.341995,157.812973,0.000092,183.3465
InstituteReformation.esp,2F00C116,0000003B,XMarker,STAT,-83.653999,229.106644,0.000076,0.0000
InstituteReformation.esp,2F00C8C7,0000003B,XMarker,STAT,77.248871,-158.414154,0.000061,0.0000
InstituteReformation.esp,2F00C8C6,0000003B,XMarker,STAT,15.608007,-156.590347,0.000061,0.0000
InstituteReformation.esp,2F00C8C5,0000003B,XMarker,STAT,-51.458397,-155.761765,0.000122,0.0000
InstituteReformation.esp,2F00C111,000D8F82,NpcChairInstituteExecutiveSit01,FURN,-687.852173,-247.561005,0.000122,225.0000
InstituteReformation.esp,2F00C8BA,2F00C10B,zzDirectorateResolution2682287_B,BOOK,22.333227,-31.287529,0.000122,0.0000
InstituteReformation.esp,2F00C8B9,2F00C10A,zzDirectorateResolution2682287_A,BOOK,-2.125044,-0.796143,0.000061,0.0000
InstituteReformation.esp,2F00C110,000D8F82,NpcChairInstituteExecutiveSit01,FURN,-686.953125,253.709885,0.000122,315.0001
InstituteReformation.esp,2F00C0BF,0000003B,XMarker,STAT,69.859222,-1.521381,0.000076,0.0000
