source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
IntWayneGorski.esp,FE05402E,0003251C,DefaultSetStageTrigger,ACTI,-62948.113281,57283.582031,5159.197266,135.0001
IntWayneGorski.esp,FE05402C,000D96C5,NPCKneelWrenchHorizontal,FURN,-62954.542969,57315.484375,5100.191406,135.0001
IntWayneGorski.esp,FE054F9A,FE054F99,IWG_WayneGorski,NPC_,-1968.000000,384.000000,-32.000000,45.0001
IntWayneGorski.esp,FE054FC1,0003251C,DefaultSetStageTrigger,ACTI,37.794590,186.205414,182.211456,315.0000
IntWayneGorski.esp,FE054FA1,0001D966,EncMolerat01Template,NPC_,-269.412689,668.113708,103.796928,45.0001
IntWayneGorski.esp,FE05402B,FE05402A,IWG_SignalTransmitter,MISC,-2260.917236,35.961273,15.073934,49.8463
IntWayneGorski.esp,00088138,00018C93,IndMetalDoor01,DOOR,-1881.364624,473.182678,-45.296310,225.0000
IntWayneGorski.esp,000681C4,0023F3E9,DN091_LvlGlowingOneBoss,NPC_,-144.000000,608.000000,96.000000,296.9747
IntWayneGorski.esp,0002D274,00059B1E,Turpentine,MISC,-2262.533447,26.974436,10.875382,0.0000
IntWayneGorski.esp,0023F43C,0001F88B,NpcChairFederalistOfficeSit01,FURN,-1872.346924,210.253738,-41.664993,4.3656
IntWayneGorski.esp,0023F43D,0001F88B,NpcChairFederalistOfficeSit01,FURN,-2305.709717,152.317230,-43.967117,92.2006
IntWayneGorski.esp,00050F46,0017A778,MiniNukePart04,MISC,-2287.826416,73.965935,11.011065,0.0000
IntWayneGorski.esp,00050E59,0017A776,MiniNukePart03,MISC,-2277.697021,65.041145,10.892281,45.0000
IntWayneGorski.esp,00050E58,0017A772,MiniNukePart01,MISC,-2272.320068,49.796810,10.921190,0.0000
IntWayneGorski.esp,000EEFFF,00059B27,AlarmClock,MISC,-2311.118896,73.431076,10.876812,256.5127
IntWayneGorski.esp,000EEFFE,0004D1F2,DuctTape01,MISC,-2292.112305,39.302277,13.190033,328.4872
IntWayneGorski.esp,000EEFF9,00059A71,AbraxoCleaner,MISC,-2264.888184,11.584675,10.859947,282.6506
IntWayneGorski.esp,000EEFF4,000EEFF5,DN091_JournalTerminal,TERM,-1828.324829,247.416626,-44.968155,70.6565
IntWayneGorski.esp,00097144,000B9807,RadioStatic,ACTI,-1945.872925,643.004333,8.946697,270.6187
IntWayneGorski.esp,FE054FA2,0016BAE3,NPCMapLean,FURN,-2250.224854,87.980896,-45.162540,225.0000
IntWayneGorski.esp,FE054F9E,0003059D,DecalBloodSplatterLg,TXST,-252.958374,678.515869,132.247650,0.0000
IntWayneGorski.esp,FE054F9D,000EC7B0,SandboxFeralGhoulSquatEating,FURN,-215.394745,636.602356,87.795723,315.0000
IntWayneGorski.esp,FE054053,0000003B,XMarker,STAT,-2210.979248,86.106071,108.671051,0.0000
IntWayneGorski.esp,FE054028,000D96CB,NPCStandWrenchHorizontal,FURN,-2244.904053,93.428864,-44.411346,225.0001
IntWayneGorski.esp,001BA5E7,00078966,DecalGroundDefault01,TXST,-324.784485,720.000000,96.000000,0.0000
IntWayneGorski.esp,000674D3,00002CE2,PatrolIdleMarker,IDLM,-1966.879517,389.506195,-45.296284,45.3552
IntWayneGorski.esp,0005A157,0000003B,XMarker,STAT,-1811.522705,563.567444,-45.296310,276.0000
