source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
IntegratedAddons.esp,FE006014,FE006881,ccBGSFO4046_GunnerAshpileContainer,CONT,-65190.550781,-125467.593750,4592.874512,359.3000
IntegratedAddons.esp,FE006013,FE006881,ccBGSFO4046_GunnerAshpileContainer,CONT,-65216.445312,-126639.296875,4417.520996,0.0000
IntegratedAddons.esp,FE006012,FE006881,ccBGSFO4046_GunnerAshpileContainer,CONT,-65305.824219,-126065.617187,4446.944824,0.0000
IntegratedAddons.esp,FE006011,FE006881,ccBGSFO4046_GunnerAshpileContainer,CONT,-65506.359375,-126065.617187,4440.763184,0.0000
IntegratedAddons.esp,FE04D9AA,0003251C,DefaultSetStageTrigger,ACTI,-71391.437500,-61589.820312,2191.911377,0.0000
IntegratedAddons.esp,FE04D9A3,000B2BF2,EncRaiderDog01,NPC_,-70348.476562,-62697.035156,1918.958740,0.0000
IntegratedAddons.esp,FE04D9A2,000A0E32,Loot_CorpseSettlerMale,NPC_,-70193.656250,-62611.136719,1939.000122,0.0000
IntegratedAddons.esp,FE04D9A0,000BBD50,Tree_NF_FallenCluster02,SCOL,-71280.000000,-62912.000000,1832.000000,357.1348
IntegratedAddons.esp,FE04D99F,000BBD64,Tree_NF_FallenCluster05,SCOL,-70816.000000,-62776.000000,1888.000000,0.0000
IntegratedAddons.esp,FE04D99E,000BBD52,Tree_NF_FallenCluster03,SCOL,-70336.000000,-62936.000000,1904.000000,248.2725
IntegratedAddons.esp,FE04D99D,000BBD50,Tree_NF_FallenCluster02,SCOL,-70032.000000,-62424.000000,1872.000000,294.1096
IntegratedAddons.esp,FE04D99C,000BBD48,Tree_NF_FallenCluster01,SCOL,-70232.000000,-62488.000000,1920.000000,51.5662
IntegratedAddons.esp,FE04D99B,000BBD48,Tree_NF_FallenCluster01,SCOL,-70288.000000,-62552.000000,1920.000000,319.8928
IntegratedAddons.esp,FE04D990,000BBD55,Tree_NF_FallenCluster04,SCOL,-70216.000000,-62648.000000,1952.000000,0.0000
IntegratedAddons.esp,FE04D9A1,000BBD48,Tree_NF_FallenCluster01,SCOL,-69664.000000,-61432.000000,1768.000000,0.0000
IntegratedAddons.esp,FE00687F,FE006881,ccBGSFO4046_GunnerAshpileContainer,CONT,-65681.960937,-127022.539062,4429.091797,0.0000
