source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
JunkernaughtRaiders.esl,FE01907D,FE019014,Wulf_EncRaiderJunkernaughtMelee,NPC_,-30155.845703,-31634.304687,1844.824341,0.0000
JunkernaughtRaiders.esl,FE01907C,FE019013,Wulf_EncRaiderJunkernaughtFem,NPC_,-20807.212891,-18299.070312,713.053894,0.0000
JunkernaughtRaiders.esl,FE01907B,FE019014,Wulf_EncRaiderJunkernaughtMelee,NPC_,-21504.343750,-17977.082031,728.000000,0.0000
JunkernaughtRaiders.esl,FE01907A,FE019013,Wulf_EncRaiderJunkernaughtFem,NPC_,-31003.132812,-33988.781250,2052.744141,0.0000
JunkernaughtRaiders.esl,FE019079,FE019013,Wulf_EncRaiderJunkernaughtFem,NPC_,-88763.281250,-39646.277344,2763.458496,0.0000
JunkernaughtRaiders.esl,FE019078,FE019013,Wulf_EncRaiderJunkernaughtFem,NPC_,-31415.867187,33162.667969,4773.292480,268.3269
JunkernaughtRaiders.esl,FE019077,FE019013,Wulf_EncRaiderJunkernaughtFem,NPC_,-8822.921875,1981.297363,896.962463,0.0000
JunkernaughtRaiders.esl,FE019076,FE019014,Wulf_EncRaiderJunkernaughtMelee,NPC_,-8908.035156,1300.766724,732.855713,0.0000
JunkernaughtRaiders.esl,FE019075,FE019012,Wulf_EncRaiderJunkernaughtShovel,NPC_,-17873.832031,25603.402344,1621.711060,268.3268
JunkernaughtRaiders.esl,FE019074,FE019010,Wulf_EncRaiderJunkBomb,NPC_,-40621.867188,92812.820312,7833.849609,0.0000
JunkernaughtRaiders.esl,FE019073,FE019010,Wulf_EncRaiderJunkBomb,NPC_,-42354.175781,34279.187500,4436.062988,0.0000
JunkernaughtRaiders.esl,FE019072,FE019015,Wulf_EncRaiderJunkernaught,NPC_,-64706.031250,48977.878906,4848.454590,0.0000
JunkernaughtRaiders.esl,FE019071,FE019015,Wulf_EncRaiderJunkernaught,NPC_,-36986.648438,32610.490234,5792.292480,0.0000
JunkernaughtRaiders.esl,FE019070,FE019010,Wulf_EncRaiderJunkBomb,NPC_,-84168.125000,22920.742188,4276.488281,0.0000
JunkernaughtRaiders.esl,FE01906F,FE019010,Wulf_EncRaiderJunkBomb,NPC_,-85224.617188,23900.207031,4538.460938,0.0000
JunkernaughtRaiders.esl,FE01906E,FE019015,Wulf_EncRaiderJunkernaught,NPC_,41704.140625,-90504.742188,1890.654175,0.0000
JunkernaughtRaiders.esl,FE01906D,FE019014,Wulf_EncRaiderJunkernaughtMelee,NPC_,43888.738281,-88540.625000,1681.000122,0.0000
