source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
LessLoot - AmericaRising2.esp,0E02CCB3,FE043002,Loot_Prewar_Medkit_Wall_AR2,CONT,14872.158203,34329.015625,846.168396,148.0634
LessLoot - AmericaRising2.esp,0E02D69F,FE043001,Loot_Prewar_Medkit_AR2,CONT,16924.935547,28213.162109,392.052094,327.1239
LessLoot - AmericaRising2.esp,0E02D69E,FE043001,Loot_Prewar_Medkit_AR2,CONT,13837.186523,29995.146484,1012.542480,15.8136
LessLoot - AmericaRising2.esp,0E02D69B,FE043001,Loot_Prewar_Medkit_AR2,CONT,17550.671875,30015.462891,340.740662,103.1324
LessLoot - AmericaRising2.esp,0E02CA56,FE043002,Loot_Prewar_Medkit_Wall_AR2,CONT,14870.319336,16503.656250,706.313293,14.9083
LessLoot - AmericaRising2.esp,0E02D7F7,00041ED0,DummyNoEdit_FusionCore,MISC,18610.640625,15054.425781,670.395630,55.1761
LessLoot - AmericaRising2.esp,0E02D7F6,00041ED0,DummyNoEdit_FusionCore,MISC,18591.496094,15067.548828,670.395630,32.2578
LessLoot - AmericaRising2.esp,0E02D7F5,00041ED0,DummyNoEdit_FusionCore,MISC,18599.279297,15060.123047,670.395630,352.1508
LessLoot - AmericaRising2.esp,0E02D1DD,FE043001,Loot_Prewar_Medkit_AR2,CONT,18412.951172,15336.633789,682.629395,319.6639
LessLoot - AmericaRising2.esp,0E02D1DC,FE043001,Loot_Prewar_Medkit_AR2,CONT,17337.130859,15882.865234,726.948975,85.7145
LessLoot - AmericaRising2.esp,0E02D1DB,FE043001,Loot_Prewar_Medkit_AR2,CONT,16492.574219,17674.160156,687.150269,336.8525
LessLoot - AmericaRising2.esp,0E02EC9F,FE043002,Loot_Prewar_Medkit_Wall_AR2,CONT,-2253.438965,19443.150391,535.850891,90.0001
LessLoot - AmericaRising2.esp,0E02EC7F,FE043006,Ammo_Box_Empty,CONT,-2206.630371,18869.380859,503.757599,87.2718
LessLoot - AmericaRising2.esp,0E02EC7E,FE043006,Ammo_Box_Empty,CONT,-2204.964355,18887.259766,503.757599,87.2718
LessLoot - AmericaRising2.esp,0E02EC24,FE043006,Ammo_Box_Empty,CONT,-1753.325439,17157.644531,679.264160,0.1602
LessLoot - AmericaRising2.esp,0E02EC23,FE043006,Ammo_Box_Empty,CONT,-1770.132080,17156.181641,679.264160,359.3009
LessLoot - AmericaRising2.esp,0E02EC22,FE043006,Ammo_Box_Empty,CONT,-1786.942627,17158.039062,679.264160,0.1030
LessLoot - AmericaRising2.esp,0E02EF5A,00023736,Stimpak,ALCH,3733.890137,14653.023437,372.713654,44.7245
LessLoot - AmericaRising2.esp,0E02EF57,00033778,Buffout,ALCH,3742.539062,14646.573242,407.092560,47.9453
LessLoot - AmericaRising2.esp,0E02EF56,00023736,Stimpak,ALCH,3682.328613,14653.965820,406.874786,323.6983
LessLoot - AmericaRising2.esp,0E02EF53,00033778,Buffout,ALCH,3703.584229,14648.161133,407.092560,122.4296
LessLoot - AmericaRising2.esp,0E02EF52,00033778,Buffout,ALCH,3709.309814,14659.339844,407.091583,179.7251
LessLoot - AmericaRising2.esp,0E02EF51,000366C5,Jet,ALCH,3721.885010,14653.644531,406.536896,179.6347
LessLoot - AmericaRising2.esp,0E02EF50,00023742,RadAway,ALCH,3709.590088,14654.145508,372.845245,110.8886
LessLoot - AmericaRising2.esp,0E02EF4F,00023742,RadAway,ALCH,3690.306396,14646.939453,372.845490,254.6613
LessLoot - AmericaRising2.esp,0E02EF13,00198DC1,DummyNoEdit_PlasmaGun_Pistol,MISC,2908.767578,15178.408203,389.708527,271.8259
LessLoot - AmericaRising2.esp,0E02779B,FE043001,Loot_Prewar_Medkit_AR2,CONT,201.691147,15650.129883,662.625916,108.8620
LessLoot - AmericaRising2.esp,0E027790,FE043007,AR2_FootLocker01,CONT,228.861572,15476.376953,672.149170,182.6812
LessLoot - AmericaRising2.esp,0E02778F,FE043007,AR2_FootLocker01,CONT,295.608032,15473.705078,672.149170,181.7645
LessLoot - AmericaRising2.esp,0E02778E,FE043007,AR2_FootLocker01,CONT,356.113495,15476.654297,672.149170,176.6079
LessLoot - AmericaRising2.esp,0E02772D,FE043006,Ammo_Box_Empty,CONT,1190.709839,15655.574219,320.000000,143.5376
LessLoot - AmericaRising2.esp,0E02772C,FE043006,Ammo_Box_Empty,CONT,1174.056396,15642.255859,320.000000,133.2817
