source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
LootableACUnit_Q.esp,06017D14,FE012812,IndustrialFanSmall_Stat,CONT,-9743.416992,-26075.484375,497.707336,126.0507
LootableACUnit_Q.esp,060411AE,FE01280F,IndustrialFan_Stat,CONT,-23615.699219,3847.492676,986.553040,180.0000
LootableACUnit_Q.esp,0602B7AD,001932CA,ACUnit01_Container,CONT,-22971.771484,5967.323730,881.534119,90.0002
LootableACUnit_Q.esp,06044DB2,FE012812,IndustrialFanSmall_Stat,CONT,-14987.541016,14328.823242,709.311279,270.9554
LootableACUnit_Q.esp,06044B65,FE012812,IndustrialFanSmall_Stat,CONT,-14968.522461,14767.623047,708.312927,282.6503
LootableACUnit_Q.esp,060397E2,FE012812,IndustrialFanSmall_Stat,CONT,-11591.402344,2618.175293,680.000000,29.9996
LootableACUnit_Q.esp,06039787,FE012812,IndustrialFanSmall_Stat,CONT,-11819.899414,1505.169678,791.653870,209.9996
LootableACUnit_Q.esp,06047EB6,FE012812,IndustrialFanSmall_Stat,CONT,-4441.301270,15119.999023,802.430786,0.0000
LootableACUnit_Q.esp,06050142,001932CA,ACUnit01_Container,CONT,-7213.976562,31872.046875,1000.000000,90.2062
LootableACUnit_Q.esp,0604072A,FE012811,IndustrialFan01_Small_Dest_Mstt,CONT,-51744.648437,503.287537,4760.662109,132.4928
LootableACUnit_Q.esp,0603F4AC,FE01280F,IndustrialFan_Stat,CONT,2053.283691,-12586.486328,1192.000000,45.0002
LootableACUnit_Q.esp,0602E70C,FE01280F,IndustrialFan_Stat,CONT,8735.376953,-20495.837891,704.541321,90.0000
LootableACUnit_Q.esp,06050C50,FE012804,MetalRoofACVent01_Stat,CONT,23871.427734,-15526.616211,1746.912354,37.8607
LootableACUnit_Q.esp,0603A4B7,FE012812,IndustrialFanSmall_Stat,CONT,2684.980469,-32988.289062,1524.213135,90.0000
LootableACUnit_Q.esp,0603A4B6,FE012812,IndustrialFanSmall_Stat,CONT,2684.980469,-33234.386719,1524.213135,90.0000
LootableACUnit_Q.esp,0603A4B3,FE012812,IndustrialFanSmall_Stat,CONT,3090.651611,-34142.617187,1225.537964,0.0000
LootableACUnit_Q.esp,0603A4B2,FE012812,IndustrialFanSmall_Stat,CONT,3090.651611,-34142.617187,1517.394531,0.0000
LootableACUnit_Q.esp,0603A4B1,FE012812,IndustrialFanSmall_Stat,CONT,1026.026001,-32878.980469,1026.205811,180.0000
LootableACUnit_Q.esp,0603A4B0,FE012812,IndustrialFanSmall_Stat,CONT,2389.441406,-32878.277344,1282.454346,180.0000
LootableACUnit_Q.esp,0603A4AF,FE012812,IndustrialFanSmall_Stat,CONT,1442.991577,-33616.000000,1281.575439,0.0000
LootableACUnit_Q.esp,0603A4AE,FE012812,IndustrialFanSmall_Stat,CONT,1565.257568,-33618.273437,1025.839844,0.0000
LootableACUnit_Q.esp,0603A4AD,FE012812,IndustrialFanSmall_Stat,CONT,1279.114746,-33618.273437,1025.839844,0.0000
LootableACUnit_Q.esp,0603A4B9,FE012812,IndustrialFanSmall_Stat,CONT,5241.248047,-33229.304687,1510.608276,270.0000
LootableACUnit_Q.esp,0603A4B8,FE012812,IndustrialFanSmall_Stat,CONT,5241.248047,-33518.277344,1510.608276,270.0000
LootableACUnit_Q.esp,0603A4B5,FE012812,IndustrialFanSmall_Stat,CONT,4357.059570,-34142.617187,1517.394531,0.0000
LootableACUnit_Q.esp,0603A4B4,FE012812,IndustrialFanSmall_Stat,CONT,4357.059570,-34142.617187,1225.537964,0.0000
LootableACUnit_Q.esp,0604F09A,001932CA,ACUnit01_Container,CONT,24348.908203,39889.769531,1210.023438,323.3306
LootableACUnit_Q.esp,06026941,FE01280F,IndustrialFan_Stat,CONT,27856.744141,53763.742187,1482.025391,2.8647
LootableACUnit_Q.esp,06025CFF,001932CA,ACUnit01_Container,CONT,29250.304687,43815.898438,1683.563232,2.0100
LootableACUnit_Q.esp,06023FD1,FE012804,MetalRoofACVent01_Stat,CONT,31603.763672,45824.707031,2506.368652,0.0000
LootableACUnit_Q.esp,06018F34,FE012804,MetalRoofACVent01_Stat,CONT,31255.292969,49252.824219,2607.599365,225.0000
LootableACUnit_Q.esp,0602719D,FE01280F,IndustrialFan_Stat,CONT,7528.043457,27824.029297,1496.000000,0.0000
LootableACUnit_Q.esp,06048D33,FE012812,IndustrialFanSmall_Stat,CONT,15472.000000,28184.000000,1960.000000,90.0000
LootableACUnit_Q.esp,0603D7A9,FE012812,IndustrialFanSmall_Stat,CONT,14414.865234,28371.148437,1282.291870,270.0001
LootableACUnit_Q.esp,06034557,FE012812,IndustrialFanSmall_Stat,CONT,14415.234375,31009.884766,1496.359253,270.0003
LootableACUnit_Q.esp,06029188,FE01280F,IndustrialFan_Stat,CONT,22797.486328,31849.626953,1095.871338,89.6563
LootableACUnit_Q.esp,030048CF,FE012804,MetalRoofACVent01_Stat,CONT,-29823.324219,-24768.150391,729.268372,214.7549
LootableACUnit_Q.esp,03007AE5,FE012804,MetalRoofACVent01_Stat,CONT,-9882.890625,35782.296875,2068.500000,270.0000
LootableACUnit_Q.esp,0301EADD,FE012811,IndustrialFan01_Small_Dest_Mstt,CONT,-21771.832031,4739.789551,1094.996460,124.1136
LootableACUnit_Q.esp,0301EADC,FE012811,IndustrialFan01_Small_Dest_Mstt,CONT,-21848.105469,4627.191406,1094.996460,124.1136
LootableACUnit_Q.esp,0304DAC4,FE012812,IndustrialFanSmall_Stat,CONT,-6021.343262,16963.591797,1034.802734,0.0000
LootableACUnit_Q.esp,0304DAC3,FE012812,IndustrialFanSmall_Stat,CONT,-5865.714355,16956.992187,1034.802734,0.0000
LootableACUnit_Q.esp,0304D7D6,FE012812,IndustrialFanSmall_Stat,CONT,-6957.732910,25248.363281,1069.615479,0.0000
LootableACUnit_Q.esp,03032162,FE012804,MetalRoofACVent01_Stat,CONT,38806.019531,-23482.125000,2506.868164,232.7577
LootableACUnit_Q.esp,03032164,001932CA,ACUnit01_Container,CONT,42783.625000,-23956.783203,2513.171631,22.5000
LootableACUnit_Q.esp,03032163,FE012804,MetalRoofACVent01_Stat,CONT,41303.679688,-22750.437500,2506.868164,232.7578
LootableACUnit_Q.esp,03031F58,001932CA,ACUnit01_Container,CONT,49370.937500,-13705.015625,1541.950684,16.2875
LootableACUnit_Q.esp,03024E2F,FE01280F,IndustrialFan_Stat,CONT,6943.430664,-30722.634766,1261.735107,90.0000
