source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
LootableCrates MergedDLCs.esp,1F001BFF,1E000FAB,LC_WoodCrate03,CONT,357.179413,-19287.425781,528.235413,264.3158
LootableCrates MergedDLCs.esp,1F001BFE,1E000FAB,LC_WoodCrate03,CONT,2435.150146,-18286.457031,464.000000,264.3158
LootableCrates MergedDLCs.esp,1F001BFD,1E000FAB,LC_WoodCrate03,CONT,4034.408936,-17520.591797,488.063812,32.2677
LootableCrates MergedDLCs.esp,1F001BFC,1E000FAC,LC_WoodCrate02,CONT,1503.088379,-19431.458984,473.215607,29.7938
LootableCrates MergedDLCs.esp,1F001BFB,1E000FAC,LC_WoodCrate02,CONT,2515.730469,-18281.128906,464.000000,150.8701
LootableCrates MergedDLCs.esp,1F001BFA,1E000FAC,LC_WoodCrate02,CONT,2500.918945,-18290.148438,497.388702,196.7067
LootableCrates MergedDLCs.esp,1F001BF9,1E000FAC,LC_WoodCrate02,CONT,638.117615,-18127.156250,473.422394,168.6317
LootableCrates MergedDLCs.esp,1F001BF8,1E000FAC,LC_WoodCrate02,CONT,298.438904,-18431.302734,473.329895,254.5755
LootableCrates MergedDLCs.esp,1F001BF7,1E000FAC,LC_WoodCrate02,CONT,678.045776,-17730.660156,472.000000,75.4577
LootableCrates MergedDLCs.esp,1F001BF6,1E000FAC,LC_WoodCrate02,CONT,1814.591431,-17588.746094,464.250000,319.8473
LootableCrates MergedDLCs.esp,1F001BF5,1E000FAC,LC_WoodCrate02,CONT,3157.303955,-18253.607422,485.617187,59.3008
LootableCrates MergedDLCs.esp,1F001BF4,1E000FAC,LC_WoodCrate02,CONT,3221.158936,-18151.416016,480.390015,79.8823
LootableCrates MergedDLCs.esp,1F001BF3,1E000FAC,LC_WoodCrate02,CONT,3991.052002,-17570.175781,521.452576,324.6587
LootableCrates MergedDLCs.esp,1F001BF2,1E000FAC,LC_WoodCrate02,CONT,3989.052979,-17587.410156,488.063812,278.8221
LootableCrates MergedDLCs.esp,1F001BF1,1E000FA9,LC_WoodCrate01,CONT,308.600006,-19346.246094,473.760101,322.7576
LootableCrates MergedDLCs.esp,1F001BF0,1E000FA9,LC_WoodCrate01,CONT,686.556824,-17666.726562,480.000000,53.6764
LootableCrates MergedDLCs.esp,1F001BEF,1E000FA9,LC_WoodCrate01,CONT,3212.663330,-18220.740234,485.617187,59.3008
LootableCrates MergedDLCs.esp,1F001BEE,1E000FA9,LC_WoodCrate01,CONT,2388.089111,-18104.121094,464.249908,270.0000
LootableCrates MergedDLCs.esp,1F001BED,1E000FAB,LC_WoodCrate03,CONT,-648.813904,-16680.855469,459.947113,213.8955
LootableCrates MergedDLCs.esp,1F001BEC,1E000FAB,LC_WoodCrate03,CONT,-415.954315,-16389.800781,458.924805,213.8955
LootableCrates MergedDLCs.esp,1F001BEB,1E000FAB,LC_WoodCrate03,CONT,-759.055786,-18953.259766,472.019989,248.8459
LootableCrates MergedDLCs.esp,1F001BEA,1E000FAC,LC_WoodCrate02,CONT,-681.218872,-18917.859375,472.019989,254.5755
LootableCrates MergedDLCs.esp,1F001BE9,1E000FAC,LC_WoodCrate02,CONT,-762.080322,-18957.935547,496.597198,263.7428
LootableCrates MergedDLCs.esp,1F001BE8,1E000FA9,LC_WoodCrate01,CONT,-588.875122,-18002.007812,521.494995,74.8154
LootableCrates MergedDLCs.esp,1F001BE7,1E000FA9,LC_WoodCrate01,CONT,-548.725525,-18020.339844,473.317108,29.8161
LootableCrates MergedDLCs.esp,1F001BE6,1E000FA9,LC_WoodCrate01,CONT,-604.302795,-18045.562500,473.317108,143.8803
LootableCrates MergedDLCs.esp,1F001BE5,1E000FA9,LC_WoodCrate01,CONT,-581.975891,-17979.404297,473.317108,29.8161
LootableCrates MergedDLCs.esp,1F001BE4,1E000FAC,LC_WoodCrate02,CONT,-410.704712,-16342.141602,481.812012,190.9771
LootableCrates MergedDLCs.esp,1F001BE3,1E000FA4,LC_Vault_Crate_04_Steel,CONT,-1904.181519,-16864.488281,433.720306,322.1848
LootableCrates MergedDLCs.esp,1F001BE2,1E000FAA,LC_Vault_Crate_01_Steel,CONT,-1900.654419,-16866.771484,507.282806,296.9745
LootableCrates MergedDLCs.esp,1F001BE1,1E000FAA,LC_Vault_Crate_01_Steel,CONT,-1352.109131,-16040.570312,556.593811,32.0856
LootableCrates MergedDLCs.esp,1F001BE0,1E000FAB,LC_WoodCrate03,CONT,33708.085937,50187.964844,2350.736328,74.4847
LootableCrates MergedDLCs.esp,1F001BDF,1E000FAC,LC_WoodCrate02,CONT,33764.652344,49943.527344,2355.528809,247.8043
LootableCrates MergedDLCs.esp,1F001BDE,1E000FAA,LC_Vault_Crate_01_Steel,CONT,38206.324219,40758.718750,2572.778076,271.4205
LootableCrates MergedDLCs.esp,1F001BDD,1E000FAB,LC_WoodCrate03,CONT,38291.148438,40942.949219,3251.262695,48.6558
LootableCrates MergedDLCs.esp,1F001BDC,1E000FAC,LC_WoodCrate02,CONT,38205.976562,40755.605469,2535.908447,179.7477
LootableCrates MergedDLCs.esp,1F001BDB,1E000FAC,LC_WoodCrate02,CONT,38185.261719,40772.382812,2986.272217,191.5498
LootableCrates MergedDLCs.esp,1F001BDA,1E000FA9,LC_WoodCrate01,CONT,37692.734375,40918.742188,2713.232910,311.7829
LootableCrates MergedDLCs.esp,1F001BD9,1E000FA9,LC_WoodCrate01,CONT,38172.378906,40709.296875,2986.272217,191.5498
LootableCrates MergedDLCs.esp,1F001BD8,1E000FA9,LC_WoodCrate01,CONT,38298.675781,40759.332031,3251.262695,28.0749
LootableCrates MergedDLCs.esp,1F001BD7,1E000FA9,LC_WoodCrate01,CONT,38322.105469,40866.371094,3251.262695,0.0000
LootableCrates MergedDLCs.esp,1F001BD6,1E000FA9,LC_WoodCrate01,CONT,38829.949219,30578.156250,3192.646240,270.0000
LootableCrates MergedDLCs.esp,1F001BD5,1E000FAC,LC_WoodCrate02,CONT,1202.408691,48063.515625,1930.778809,143.9493
LootableCrates MergedDLCs.esp,1F001BD4,1E000FAC,LC_WoodCrate02,CONT,1289.468018,48158.328125,1893.007568,63.0254
LootableCrates MergedDLCs.esp,1F001BD3,1E000FA9,LC_WoodCrate01,CONT,1224.390747,48015.835938,1882.305664,5.7296
