source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
LootableCrates.esp,1E013FE8,1E000FAA,LC_Vault_Crate_01_Steel,CONT,18729.800781,-8541.510742,8223.490234,126.3372
LootableCrates.esp,1E013FE7,1E000FAA,LC_Vault_Crate_01_Steel,CONT,18729.316406,-8540.877930,8264.170898,136.6505
LootableCrates.esp,1E00E51D,1E000FAB,LC_WoodCrate03,CONT,22172.849609,-12725.647461,634.000000,0.0000
LootableCrates.esp,1E00E51C,1E000FAB,LC_WoodCrate03,CONT,22352.806641,-12329.423828,650.000000,0.0000
LootableCrates.esp,1E00B6AA,1E000FAC,LC_WoodCrate02,CONT,22304.017578,-12300.525391,700.399719,0.4355
LootableCrates.esp,1E00B6A9,1E000FAC,LC_WoodCrate02,CONT,22113.945312,-12755.180664,634.000000,90.2409
LootableCrates.esp,1E00B6A8,1E000FAC,LC_WoodCrate02,CONT,22351.234375,-12309.616211,678.845215,1.3524
LootableCrates.esp,1E0040C0,1E000FA9,LC_WoodCrate01,CONT,22352.009766,-12300.766602,716.266785,0.4355
LootableCrates.esp,1E0040BF,1E000FA9,LC_WoodCrate01,CONT,22300.050781,-12299.988281,650.000000,359.3240
LootableCrates.esp,1E00D437,1E000FAB,LC_WoodCrate03,CONT,-21987.916016,-30926.234375,2592.895508,2.2918
LootableCrates.esp,1E008E8B,1E000FAC,LC_WoodCrate02,CONT,-22315.603516,-29143.828125,3245.895508,274.0563
LootableCrates.esp,1E008E8A,1E000FAC,LC_WoodCrate02,CONT,-22185.986328,-29150.107422,3245.895508,268.7957
LootableCrates.esp,1E008E89,1E000FAC,LC_WoodCrate02,CONT,-22045.857422,-30958.246094,2592.895508,0.0000
LootableCrates.esp,1E003FDB,1E000FA9,LC_WoodCrate01,CONT,-22035.558594,-30891.923828,2592.895508,0.0000
LootableCrates.esp,1E003FDA,1E000FA9,LC_WoodCrate01,CONT,-22187.255859,-29142.357422,3283.133545,345.6760
LootableCrates.esp,1E003FD9,1E000FA9,LC_WoodCrate01,CONT,-22247.582031,-29145.279297,3245.895508,0.0000
LootableCrates.esp,1E00D404,1E000FAB,LC_WoodCrate03,CONT,-17445.656250,-29568.531250,1344.397705,354.4850
LootableCrates.esp,1E00D403,1E000FAB,LC_WoodCrate03,CONT,-19676.126953,-30813.402344,1584.047363,0.0000
LootableCrates.esp,1E00D402,1E000FAB,LC_WoodCrate03,CONT,-19998.664062,-31066.480469,1655.173340,254.1328
LootableCrates.esp,1E00D401,1E000FAB,LC_WoodCrate03,CONT,-18678.890625,-32497.113281,1547.467407,58.7282
LootableCrates.esp,1E00D400,1E000FAB,LC_WoodCrate03,CONT,-18552.117188,-32544.082031,1687.891724,75.9169
LootableCrates.esp,1E0085FB,1E000FAC,LC_WoodCrate02,CONT,-16463.531250,-30988.550781,1343.998535,12.8915
LootableCrates.esp,1E0085FA,1E000FAC,LC_WoodCrate02,CONT,-20023.169922,-30996.722656,1655.173340,208.2962
LootableCrates.esp,1E0085F9,1E000FAC,LC_WoodCrate02,CONT,-18850.044922,-30811.941406,1553.328735,295.5422
LootableCrates.esp,1E0085F8,1E000FAC,LC_WoodCrate02,CONT,-18389.226562,-30477.224609,1676.814697,275.7550
LootableCrates.esp,1E003F69,1E000FA9,LC_WoodCrate01,CONT,-19044.751953,-30408.291016,1522.093872,279.7859
LootableCrates.esp,1E003F68,1E000FA9,LC_WoodCrate01,CONT,-18935.339844,-30764.208984,1544.377686,0.0000
LootableCrates.esp,1E003F67,1E000FA9,LC_WoodCrate01,CONT,-18291.154297,-30623.718750,1555.014404,322.7577
LootableCrates.esp,1E003F66,1E000FA9,LC_WoodCrate01,CONT,-18564.689453,-30454.953125,1545.482910,40.1070
