source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
LootableVertibirds.esp,FE05E80D,FE05E801,LV_VertibirdShell,CONT,1793.787231,50558.175781,2135.690186,54.8154
LootableVertibirds.esp,FE05E803,FE05E801,LV_VertibirdShell,CONT,63926.148437,-32564.101562,-864.166870,358.4749
LootableVertibirds.esp,FE05E811,FE05E801,LV_VertibirdShell,CONT,-3341.089355,-96239.304688,668.858582,268.9070
LootableVertibirds.esp,FE05E810,FE05E801,LV_VertibirdShell,CONT,-62475.414062,-109766.656250,4046.139648,0.0000
LootableVertibirds.esp,FE05E80F,FE05E801,LV_VertibirdShell,CONT,-16370.988281,54588.125000,277.608124,254.3594
LootableVertibirds.esp,FE05E80E,FE05E801,LV_VertibirdShell,CONT,-56309.882812,68757.765625,6924.812988,105.4759
LootableVertibirds.esp,FE05E80C,FE05E801,LV_VertibirdShell,CONT,-46810.699219,95934.218750,7798.871094,46.4168
LootableVertibirds.esp,FE05E80B,FE05E801,LV_VertibirdShell,CONT,-38054.558594,17540.914062,4420.187988,325.0452
LootableVertibirds.esp,FE05E80A,FE05E801,LV_VertibirdShell,CONT,19781.890625,-25506.828125,4582.272461,269.2902
LootableVertibirds.esp,FE05E809,FE05E801,LV_VertibirdShell,CONT,38055.746094,37159.839844,1006.880005,201.8726
LootableVertibirds.esp,FE05E808,FE05E801,LV_VertibirdShell,CONT,32268.617187,7152.728027,638.379517,7.3635
LootableVertibirds.esp,FE05E807,FE05E801,LV_VertibirdShell,CONT,-36397.339844,-50546.515625,1518.604736,310.4687
