source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
LootableWorld_Q.esp,06054E1A,0B000822,WoodBasket_misc,MISC,358.809601,-18837.121094,517.941956,268.3266
LootableWorld_Q.esp,06054E19,0B00082E,WoodBox01_misc,MISC,549.219543,-18817.560547,518.677734,319.3431
LootableWorld_Q.esp,06054DF6,0B0008EA,ButcherMeat01_acti,ACTI,310.084747,-18355.755859,637.059570,0.0000
LootableWorld_Q.esp,06054DF5,0B0008EE,ButcherMeat02_acti,ACTI,275.325104,-18387.363281,640.414551,36.6693
LootableWorld_Q.esp,06054D7E,0B00082F,WoodBox01_Prewar_misc,MISC,2115.752930,-20383.986328,540.076294,100.2674
LootableWorld_Q.esp,06054BFC,0B0008C7,Bin_Plastic_misc,MISC,1587.310547,-18061.759766,536.958679,301.5549
LootableWorld_Q.esp,06054BFB,0B0008C7,Bin_Plastic_misc,MISC,1615.749756,-18101.455078,578.084167,0.1391
LootableWorld_Q.esp,06054BD4,0B0008C7,Bin_Plastic_misc,MISC,1682.764160,-19154.808594,483.624420,294.7924
LootableWorld_Q.esp,06054BD3,0B0008C7,Bin_Plastic_misc,MISC,1663.602539,-19212.279297,549.418457,313.9801
LootableWorld_Q.esp,06054A8B,0B00094D,Tire02_misc,MISC,3415.725098,-19211.386719,532.847473,32.5107
LootableWorld_Q.esp,06054A5A,0B00094D,Tire02_misc,MISC,3209.987061,-18222.003906,546.022278,33.5174
LootableWorld_Q.esp,0605492A,0B000946,SubGateFlap01_misc,MISC,866.800537,-21171.582031,477.050049,270.0001
LootableWorld_Q.esp,06054929,0B000946,SubGateFlap01_misc,MISC,1026.800537,-21099.582031,477.050049,90.0000
LootableWorld_Q.esp,06054928,0B000946,SubGateFlap01_misc,MISC,98.800476,-21163.582031,477.050049,270.0001
LootableWorld_Q.esp,0605325E,0B000891,DLC04_CutOut_Cappy_misc,MISC,-3428.070068,-19369.580078,458.659576,190.9318
LootableWorld_Q.esp,0605325D,0B00088C,DLC04_CutOut_Bottle_misc,MISC,-3440.072754,-18636.910156,446.203918,149.6789
LootableWorld_Q.esp,0605325C,0B00089F,DLC04_CutOut_Alien01_misc,MISC,-3656.357422,-18031.345703,520.000000,165.1487
