source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
LootedWorldX_ACTI.esp,06056DFC,06043B35,DLC04RadioRaiderStation,ACTI,495.831299,-18833.517578,517.089294,11.4592
LootedWorldX_ACTI.esp,06054D70,000302DC,Empty_NukaColaMachine,ACTI,1965.357544,-16593.867187,473.194977,37.2423
LootedWorldX_ACTI.esp,06054A47,000302DC,Empty_NukaColaMachine,ACTI,3097.364990,-17938.787109,483.881500,273.4829
LootedWorldX_ACTI.esp,06056E37,06025B40,DLC04RaiderRadioReceiver,ACTI,-2342.070068,-16572.447266,491.665192,269.9884
LootedWorldX_ACTI.esp,06056E38,06025B40,DLC04RaiderRadioReceiver,ACTI,-4108.446777,-18610.371094,493.551361,217.7240
LootedWorldX_ACTI.esp,0604A817,06043A92,DLC04LunchBoxKidsACT03,ACTI,-18851.728516,-2423.416504,934.740601,137.5115
LootedWorldX_ACTI.esp,0604A816,06043A91,DLC04LunchBoxKidsACT02,ACTI,-18968.349609,-2885.634521,919.778809,268.6402
LootedWorldX_ACTI.esp,06032701,000302DC,Empty_NukaColaMachine,ACTI,-16545.101562,-118.046242,974.751160,115.4505
LootedWorldX_ACTI.esp,0604A818,06043A94,DLC04LunchBoxKidsACT05,ACTI,-15204.930664,-6681.571289,656.214478,176.6539
LootedWorldX_ACTI.esp,06032721,000302DC,Empty_NukaColaMachine,ACTI,-14558.896484,-6928.337402,576.000000,169.5387
LootedWorldX_ACTI.esp,060442C1,06043A93,DLC04LunchBoxKidsACT04,ACTI,-14595.638672,-3976.551270,1088.651123,307.2666
LootedWorldX_ACTI.esp,06043D8B,0004763D,Empty_NukaColaMachineBroken,ACTI,-15737.318359,-2148.300049,832.000000,89.9830
LootedWorldX_ACTI.esp,06027FBB,00143AD1,RadioDiamondCityReceiverOff,ACTI,-11469.591797,-18111.445312,623.879822,53.2394
LootedWorldX_ACTI.esp,06032680,000302DC,Empty_NukaColaMachine,ACTI,-11842.506836,-2243.903320,464.000061,30.0000
LootedWorldX_ACTI.esp,06026551,000302DC,Empty_NukaColaMachine,ACTI,-1087.487549,-24448.558594,466.616791,271.1910
LootedWorldX_ACTI.esp,06043B3B,06043B35,DLC04RadioRaiderStation,ACTI,-2299.847900,-13058.588867,520.082520,315.0002
LootedWorldX_ACTI.esp,0603FAE8,000302DC,Empty_NukaColaMachine,ACTI,-632.273621,-13101.974609,466.094208,2.8643
LootedWorldX_ACTI.esp,0603FA68,00082447,RadioDiamondCityReceiver,ACTI,-2299.847900,-13058.588867,520.082520,315.0002
LootedWorldX_ACTI.esp,0602276C,00143AD1,RadioDiamondCityReceiverOff,ACTI,-9567.757812,-33740.175781,467.824829,0.0006
LootedWorldX_ACTI.esp,06021C6D,0019F4C6,PortADiner01Dirty,ACTI,-33069.199219,-16319.225586,1079.149048,237.3650
LootedWorldX_ACTI.esp,060253DF,000302DC,Empty_NukaColaMachine,ACTI,-5078.731445,34856.957031,791.755981,270.0001
LootedWorldX_ACTI.esp,060253DE,000302DC,Empty_NukaColaMachine,ACTI,-5078.731445,35151.347656,791.755981,270.0001
LootedWorldX_ACTI.esp,060253DD,000302DC,Empty_NukaColaMachine,ACTI,-4754.842285,33932.089844,790.503906,0.0000
LootedWorldX_ACTI.esp,060253E0,0004763D,Empty_NukaColaMachineBroken,ACTI,-7042.930664,37236.207031,1064.924683,270.0001
LootedWorldX_ACTI.esp,06047991,000302DC,Empty_NukaColaMachine,ACTI,-3342.131348,34746.718750,1056.000000,2.8644
LootedWorldX_ACTI.esp,060569A6,000302DC,Empty_NukaColaMachine,ACTI,-2255.346191,37478.921875,3238.915771,179.8676
LootedWorldX_ACTI.esp,060569A1,0004763D,Empty_NukaColaMachineBroken,ACTI,-2346.831543,37475.539062,3238.915771,179.8676
LootedWorldX_ACTI.esp,0604124E,00074841,RadioStaticOff,ACTI,-22559.523438,5583.422852,834.063965,284.6044
LootedWorldX_ACTI.esp,0602B781,000302DC,Empty_NukaColaMachine,ACTI,-23828.939453,4930.676270,805.006958,182.7731
LootedWorldX_ACTI.esp,0603BCF1,000302DC,Empty_NukaColaMachine,ACTI,-17939.089844,2539.018555,1097.093750,11.5624
LootedWorldX_ACTI.esp,0603B10F,000302DC,Empty_NukaColaMachine,ACTI,-15085.431641,2949.444580,576.000061,221.9166
LootedWorldX_ACTI.esp,06047D9E,06043A94,DLC04LunchBoxKidsACT05,ACTI,-12791.227539,20090.837891,665.680298,176.4159
LootedWorldX_ACTI.esp,06044715,001C5E6F,Jukebox01,ACTI,-16348.571289,19039.929688,697.138245,90.0000
LootedWorldX_ACTI.esp,06047E9E,06043A91,DLC04LunchBoxKidsACT02,ACTI,-14035.560547,20820.031250,634.764343,0.3275
LootedWorldX_ACTI.esp,06050222,06043A92,DLC04LunchBoxKidsACT03,ACTI,-7650.484375,30945.369141,997.688110,170.9239
LootedWorldX_ACTI.esp,060253DC,000302DC,Empty_NukaColaMachine,ACTI,-482.844086,32416.601562,807.953369,90.0000
LootedWorldX_ACTI.esp,060253DB,0004763D,Empty_NukaColaMachineBroken,ACTI,-481.315796,32300.220703,807.953369,90.0000
LootedWorldX_ACTI.esp,06056D62,0004763D,Empty_NukaColaMachineBroken,ACTI,-54544.558594,6675.799316,7696.141602,0.4746
LootedWorldX_ACTI.esp,0602D5E6,000302DC,Empty_NukaColaMachine,ACTI,-41807.207031,4328.948730,2421.068359,266.6429
LootedWorldX_ACTI.esp,0604D072,06043A93,DLC04LunchBoxKidsACT04,ACTI,-38748.273438,26302.408203,3596.997559,194.2131
LootedWorldX_ACTI.esp,06042847,000302DC,Empty_NukaColaMachine,ACTI,3097.364990,-17938.787109,483.881500,273.4829
LootedWorldX_ACTI.esp,0602A07A,000302DC,Empty_NukaColaMachine,ACTI,1965.357544,-16593.867187,473.194977,37.2423
LootedWorldX_ACTI.esp,06043B39,06043B35,DLC04RadioRaiderStation,ACTI,2443.923096,-14453.765625,526.675049,175.2216
LootedWorldX_ACTI.esp,06042955,00082447,RadioDiamondCityReceiver,ACTI,2443.923096,-14453.765625,526.675049,175.2216
LootedWorldX_ACTI.esp,06043B3D,06043B35,DLC04RadioRaiderStation,ACTI,2048.985840,-6058.231445,498.487000,5.0531
LootedWorldX_ACTI.esp,060412EF,00082447,RadioDiamondCityReceiver,ACTI,2048.985840,-6058.231445,498.487000,5.0531
LootedWorldX_ACTI.esp,06042771,0019F4C6,PortADiner01Dirty,ACTI,5061.877930,-16827.412109,512.000000,30.0001
LootedWorldX_ACTI.esp,06056166,000302DC,Empty_NukaColaMachine,ACTI,4191.656250,-11614.821289,554.492493,268.6183
LootedWorldX_ACTI.esp,06021257,0024922B,LunchBoxKidsACT01,ACTI,9855.917969,-29929.070312,805.285156,342.8113
LootedWorldX_ACTI.esp,06047D9F,06043A92,DLC04LunchBoxKidsACT03,ACTI,10123.261719,-19048.468750,682.652893,172.6373
