source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
LootedWorldX_CONT_NoMedKitExt.esp,0605465C,FE03F821,__CashRegisterContainerDisabled,CONT,-345.280731,-18133.996094,549.346375,107.7161
LootedWorldX_CONT_NoMedKitExt.esp,06054616,FE03F81C,__CigaretteMachine01Disabled,CONT,-1359.865234,-17186.750000,457.719177,315.8822
LootedWorldX_CONT_NoMedKitExt.esp,06054D4E,FE03F821,__CashRegisterContainerDisabled,CONT,607.409424,-17676.566406,551.724792,171.8873
LootedWorldX_CONT_NoMedKitExt.esp,06054D4D,FE03F821,__CashRegisterContainerDisabled,CONT,1408.326050,-19170.162109,548.847473,295.1978
LootedWorldX_CONT_NoMedKitExt.esp,06054BFE,0011B472,Loot_Prewar_Medkit_Wall_Empty,CONT,1687.672607,-18270.021484,588.180847,240.0001
LootedWorldX_CONT_NoMedKitExt.esp,06054BFD,000E4676,Loot_Prewar_Medkit_Empty,CONT,1561.099121,-18013.757812,505.034607,210.0001
LootedWorldX_CONT_NoMedKitExt.esp,06054BCB,FE03F80D,__FirstAidKitVandalDisabled,CONT,1495.471191,-19033.140625,549.069153,147.9599
LootedWorldX_CONT_NoMedKitExt.esp,06054B69,FE03F800,__Cooler01Disabled,CONT,667.980164,-17485.810547,602.793518,300.0002
LootedWorldX_CONT_NoMedKitExt.esp,06054A80,FE03F818,__TrashCanNuka01Disabled,CONT,3080.667480,-17864.378906,484.629333,0.0000
LootedWorldX_CONT_NoMedKitExt.esp,06054A62,FE03F81C,__CigaretteMachine01Disabled,CONT,3502.845459,-17606.394531,485.744324,329.0596
LootedWorldX_CONT_NoMedKitExt.esp,06054A37,FE03F800,__Cooler01Disabled,CONT,3280.324951,-18218.148438,517.215759,238.2009
LootedWorldX_CONT_NoMedKitExt.esp,060530B3,FE03F818,__TrashCanNuka01Disabled,CONT,-2265.079346,-19962.115234,457.372131,257.4399
LootedWorldX_CONT_NoMedKitExt.esp,0605303C,FE03F821,__CashRegisterContainerDisabled,CONT,-2450.350342,-19243.099609,535.372131,88.2355
LootedWorldX_CONT_NoMedKitExt.esp,0605303B,FE03F821,__CashRegisterContainerDisabled,CONT,-2471.839844,-19873.505859,535.372131,110.0079
LootedWorldX_CONT_NoMedKitExt.esp,06052F54,FE03F818,__TrashCanNuka01Disabled,CONT,-1994.391357,-19225.324219,457.372192,197.8073
LootedWorldX_CONT_NoMedKitExt.esp,06052EC7,FE03F820,__LunchPailDisabled,CONT,-3145.329346,-17532.375000,521.216187,311.0121
LootedWorldX_CONT_NoMedKitExt.esp,06052C88,0011B472,Loot_Prewar_Medkit_Wall_Empty,CONT,-1589.007446,-16505.501953,519.773010,315.8373
LootedWorldX_CONT_NoMedKitExt.esp,060323C3,FE03F800,__Cooler01Disabled,CONT,-32519.988281,-16919.376953,1288.525269,96.8298
LootedWorldX_CONT_NoMedKitExt.esp,060323C6,FE03F818,__TrashCanNuka01Disabled,CONT,-32209.857422,-15948.750977,1016.043823,240.2061
