source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
LootedWorldX_FURN_Workbench.esp,06055722,001FA278,defaultLightFire01NSGoboBounce02,LIGH,-1740.760254,-18998.474609,614.315918,355.1416
LootedWorldX_FURN_Workbench.esp,0605466D,0017B3A4,workbenchWeaponsA,FURN,-666.534058,-18414.585938,472.691559,291.8179
LootedWorldX_FURN_Workbench.esp,06054E6B,0012EA9B,WorkbenchArmorA,FURN,782.142639,-17514.810547,480.660614,1.5942
LootedWorldX_FURN_Workbench.esp,06054E50,0012F2F5,WorkbenchChemistryA,FURN,1293.637451,-19532.138672,472.018494,216.5776
LootedWorldX_FURN_Workbench.esp,06054D72,002476B7,WorkbenchCookingFireWorkshop,FURN,1761.951904,-17386.466797,463.079773,281.5047
LootedWorldX_FURN_Workbench.esp,06054617,002476B7,WorkbenchCookingFireWorkshop,FURN,-1520.428833,-18901.207031,447.672211,252.8567
LootedWorldX_FURN_Workbench.esp,06052C98,0012F2F5,WorkbenchChemistryA,FURN,-2224.885742,-16472.437500,433.720337,295.7837
LootedWorldX_FURN_Workbench.esp,06052C92,001487C1,WorkbenchChemistryB,FURN,-1777.451294,-16671.402344,434.987915,120.8487
LootedWorldX_FURN_Workbench.esp,0603BD79,00157FEB,WorkbenchPowerArmor,FURN,-20512.052734,-571.903320,1096.000000,314.7884
LootedWorldX_FURN_Workbench.esp,0602BDCD,0012EA9B,WorkbenchArmorA,FURN,-17027.210937,-16574.246094,389.026917,48.9879
LootedWorldX_FURN_Workbench.esp,060142AF,0010C3B6,WorkbenchCookingFire,FURN,-17505.992188,-16014.172852,357.904297,109.1485
LootedWorldX_FURN_Workbench.esp,0603BE75,001487C1,WorkbenchChemistryB,FURN,-18962.298828,-3667.243896,832.000000,277.7352
LootedWorldX_FURN_Workbench.esp,0603BE6C,0010C3B6,WorkbenchCookingFire,FURN,-18311.486328,-3924.259033,832.000000,103.9919
LootedWorldX_FURN_Workbench.esp,0603BAAE,0012EA9B,WorkbenchArmorA,FURN,-18844.205078,-2056.230469,831.000610,330.0000
LootedWorldX_FURN_Workbench.esp,0603BA6A,0017B3A4,workbenchWeaponsA,FURN,-18928.199219,-3293.699951,862.900024,180.0004
LootedWorldX_FURN_Workbench.esp,0604CB6C,060510AF,DLC04_WorkbenchSodaMachine_Freestanding_Dark,FURN,-15580.047852,-4789.553711,1339.303711,225.0002
LootedWorldX_FURN_Workbench.esp,0604CB65,0604D8E9,DLC04_WorkbenchSodaMachine_Freestanding_Victory,FURN,-15044.446289,-2226.880615,591.657166,180.0002
LootedWorldX_FURN_Workbench.esp,060507FA,001FA278,defaultLightFire01NSGoboBounce02,LIGH,-1740.760254,-18998.474609,614.315918,355.1416
LootedWorldX_FURN_Workbench.esp,060343A9,001487C1,WorkbenchChemistryB,FURN,-1777.451294,-16671.402344,434.987915,120.8487
LootedWorldX_FURN_Workbench.esp,0603439E,0012F2F5,WorkbenchChemistryA,FURN,-2224.885742,-16472.437500,433.720337,295.7837
LootedWorldX_FURN_Workbench.esp,060272A0,0017B3A4,workbenchWeaponsA,FURN,-664.839966,-18412.496094,472.691559,291.8179
LootedWorldX_FURN_Workbench.esp,06035C02,002476B7,WorkbenchCookingFireWorkshop,FURN,-1488.401123,-8884.076172,455.473511,337.6545
LootedWorldX_FURN_Workbench.esp,060404F4,000C581B,defaultLightFire01NS,LIGH,-1662.547974,-6051.774414,521.475281,115.2235
LootedWorldX_FURN_Workbench.esp,060404EF,0017E787,workbenchWeaponsB,FURN,-2239.970459,-5955.521484,428.213257,249.9921
LootedWorldX_FURN_Workbench.esp,060338C1,001865B9,WorkbenchCookingStove,FURN,-17288.046875,-33198.023437,418.745911,271.1914
LootedWorldX_FURN_Workbench.esp,0604AD78,001865B9,WorkbenchCookingStove,FURN,-1095.380737,-47697.027344,1029.031738,189.2582
LootedWorldX_FURN_Workbench.esp,0600DAA0,001865B9,WorkbenchCookingStove,FURN,-38872.859375,-31574.091797,841.239868,241.9480
LootedWorldX_FURN_Workbench.esp,060323B1,0017B3A4,workbenchWeaponsA,FURN,-32958.519531,-15452.982422,1079.343750,56.2994
LootedWorldX_FURN_Workbench.esp,060323B0,00157FEB,WorkbenchPowerArmor,FURN,-33619.789062,-15787.017578,1079.343750,56.2994
LootedWorldX_FURN_Workbench.esp,060323AB,0012EA9B,WorkbenchArmorA,FURN,-32878.015625,-15634.344727,1079.343750,146.2993
LootedWorldX_FURN_Workbench.esp,06042E9D,0017E787,workbenchWeaponsB,FURN,-38782.210938,-43692.054688,527.317566,227.6468
LootedWorldX_FURN_Workbench.esp,06056B2A,0012EA9B,WorkbenchArmorA,FURN,-7787.279297,35234.550781,833.829346,90.7101
LootedWorldX_FURN_Workbench.esp,0600CD6C,001865B9,WorkbenchCookingStove,FURN,-5609.465820,37866.816406,1159.546631,270.0002
LootedWorldX_FURN_Workbench.esp,060569F1,060510B1,DLC04_WorkbenchSodaMachine_Freestanding_Grape,FURN,-2646.822754,38149.074219,3233.300537,270.5614
LootedWorldX_FURN_Workbench.esp,060569F0,06017D26,DLC04_WorkbenchSodaMachine_Freestanding_Orange,FURN,-2647.863770,38036.789062,3233.300537,270.5614
LootedWorldX_FURN_Workbench.esp,0600A599,0604D8E4,DLC04_WorkbenchSodaMachine_Quantum,FURN,-16461.681641,19298.371094,698.736450,0.0000
LootedWorldX_FURN_Workbench.esp,0604C077,0008ADFA,defaultLightFire01NSFlicker,LIGH,-15923.872070,19370.779297,710.177002,0.0000
LootedWorldX_FURN_Workbench.esp,0604C076,001DA027,FXFireSmall01,MSTT,-15918.838867,19370.005859,679.720459,0.0000
LootedWorldX_FURN_Workbench.esp,06042DED,060510AD,DLC04_WorkbenchSodaMachine_Wild,FURN,-13965.055664,16921.130859,631.343872,91.0001
LootedWorldX_FURN_Workbench.esp,06042DE8,0604D8E4,DLC04_WorkbenchSodaMachine_Quantum,FURN,-13665.340820,17215.238281,631.343872,180.0000
LootedWorldX_FURN_Workbench.esp,06042DE7,0604D8D5,DLC04_WorkbenchSodaMachine_Dark,FURN,-13575.704102,17126.326172,631.343872,271.0000
LootedWorldX_FURN_Workbench.esp,06042DE4,060510AB,DLC04_WorkbenchSodaMachine_Quartz,FURN,-13666.985352,16829.408203,631.343872,1.0001
LootedWorldX_FURN_Workbench.esp,06042DE2,0604D8D7,DLC04_WorkbenchSodaMachine_Grape,FURN,-13874.250000,16833.310547,631.343872,1.0001
LootedWorldX_FURN_Workbench.esp,06042DE0,0604D8D7,DLC04_WorkbenchSodaMachine_Grape,FURN,-14577.884766,17218.371094,631.343872,181.0000
LootedWorldX_FURN_Workbench.esp,06042DDA,060510A9,DLC04_WorkbenchSodaMachine_Orange,FURN,-14375.439453,16829.406250,631.343872,0.0000
LootedWorldX_FURN_Workbench.esp,06035995,0008ADFA,defaultLightFire01NSFlicker,LIGH,-10376.983398,11622.069336,593.190308,0.0000
LootedWorldX_FURN_Workbench.esp,06035994,001DA027,FXFireSmall01,MSTT,-10377.022461,11622.140625,576.232788,0.0000
LootedWorldX_FURN_Workbench.esp,06046BB3,00157FEB,WorkbenchPowerArmor,FURN,-5079.527832,14215.208984,623.544312,0.0000
LootedWorldX_FURN_Workbench.esp,0602441D,00157FEB,WorkbenchPowerArmor,FURN,-6592.239746,31430.177734,896.680054,270.0000
LootedWorldX_FURN_Workbench.esp,06047EB3,0017B3A4,workbenchWeaponsA,FURN,-3983.741943,15385.097656,671.511169,90.0000
LootedWorldX_FURN_Workbench.esp,060556FC,00000021,CollisionMarker,STAT,-2172.628662,31839.492187,995.639526,179.5181
LootedWorldX_FURN_Workbench.esp,0605050C,060510AF,DLC04_WorkbenchSodaMachine_Freestanding_Dark,FURN,-3830.698486,32563.572266,803.461304,0.0000
LootedWorldX_FURN_Workbench.esp,0604B078,0008ADFA,defaultLightFire01NSFlicker,LIGH,-2197.120361,31843.208984,997.462952,0.0000
LootedWorldX_FURN_Workbench.esp,0604B076,001DA025,FXFireMed01,MSTT,-2194.713379,31843.445312,938.036255,0.0000
LootedWorldX_FURN_Workbench.esp,0602F58B,002476B7,WorkbenchCookingFireWorkshop,FURN,-34191.707031,2117.322754,1818.459351,321.0389
LootedWorldX_FURN_Workbench.esp,0603847F,0008ADFA,defaultLightFire01NSFlicker,LIGH,-33167.773437,32607.171875,3477.708496,0.0000
LootedWorldX_FURN_Workbench.esp,0603847E,001DA027,FXFireSmall01,MSTT,-33160.421875,32612.628906,3439.829590,0.0000
LootedWorldX_FURN_Workbench.esp,0602A06F,002476B7,WorkbenchCookingFireWorkshop,FURN,1761.951904,-17386.466797,463.079773,281.5047
LootedWorldX_FURN_Workbench.esp,06041AC4,000C79B4,WorkbenchCookingGroundPot,FURN,3341.226318,-15095.626953,455.270142,309.2932
LootedWorldX_FURN_Workbench.esp,06041A93,0017B3A4,workbenchWeaponsA,FURN,3003.125488,-14619.874023,455.270142,270.0002
LootedWorldX_FURN_Workbench.esp,06035B0B,0012EA9B,WorkbenchArmorA,FURN,3154.940430,-9624.671875,471.999420,154.1257
LootedWorldX_FURN_Workbench.esp,060401F7,0013BD08,WorkbenchPowerArmorSmall,FURN,1309.763062,-4585.975586,1638.414673,213.8848
LootedWorldX_FURN_Workbench.esp,060401F6,0012F2F5,WorkbenchChemistryA,FURN,122.274078,-4525.889160,1638.414673,270.0000
LootedWorldX_FURN_Workbench.esp,06036E04,0014FBCD,WorkbenchCookingSpit,FURN,3544.959717,-5831.128906,457.182556,283.4055
LootedWorldX_FURN_Workbench.esp,06035B47,00157FEB,WorkbenchPowerArmor,FURN,3630.541748,-4580.443848,500.161774,136.0840
LootedWorldX_FURN_Workbench.esp,06049122,0012EA9B,WorkbenchArmorA,FURN,9760.545898,-20364.716797,560.169067,88.5220
LootedWorldX_FURN_Workbench.esp,06026652,0010C3B6,WorkbenchCookingFire,FURN,14039.232422,-29570.076172,860.996155,57.2958
LootedWorldX_FURN_Workbench.esp,0604897A,000C79B4,WorkbenchCookingGroundPot,FURN,7110.121582,-41846.031250,1077.215698,181.6276
LootedWorldX_FURN_Workbench.esp,06022686,0012F2F5,WorkbenchChemistryA,FURN,6051.553223,-41986.332031,1062.343750,248.2731
LootedWorldX_FURN_Workbench.esp,06022685,000C79B4,WorkbenchCookingGroundPot,FURN,6174.091309,-42224.574219,1062.340454,190.9774
LootedWorldX_FURN_Workbench.esp,060519D1,000C79B4,WorkbenchCookingGroundPot,FURN,33689.929687,50081.375000,2363.831787,89.3814
LootedWorldX_FURN_Workbench.esp,0602901A,0017E787,workbenchWeaponsB,FURN,33117.773437,52532.027344,2090.000488,331.3523
LootedWorldX_FURN_Workbench.esp,0602901B,00157FEB,WorkbenchPowerArmor,FURN,38050.269531,40820.410156,2987.181885,356.5625
LootedWorldX_FURN_Workbench.esp,0602F438,001487C1,WorkbenchChemistryB,FURN,37975.308594,30904.695312,3148.285156,327.9144
LootedWorldX_FURN_Workbench.esp,06023A60,0012EA9B,WorkbenchArmorA,FURN,28336.691406,33473.921875,1504.000000,0.9945
LootedWorldX_FURN_Workbench.esp,06023A5F,000C79B4,WorkbenchCookingGroundPot,FURN,28625.216797,33251.511719,1508.740601,183.4831
LootedWorldX_FURN_Workbench.esp,060519D3,0012F2F5,WorkbenchChemistryA,FURN,26352.992187,50772.496094,1335.630615,323.9036
LootedWorldX_FURN_Workbench.esp,0605050D,0604D8E9,DLC04_WorkbenchSodaMachine_Freestanding_Victory,FURN,410.716309,32296.445312,792.000000,0.0000
LootedWorldX_FURN_Workbench.esp,0601D901,0604D8E4,DLC04_WorkbenchSodaMachine_Quantum,FURN,6817.312012,8751.945312,396.874603,0.0000
LootedWorldX_FURN_Workbench.esp,0601D8FF,0604D8D5,DLC04_WorkbenchSodaMachine_Dark,FURN,7025.040039,8751.791016,396.874573,0.0000
LootedWorldX_FURN_Workbench.esp,0601D8FD,0604D8D5,DLC04_WorkbenchSodaMachine_Dark,FURN,6739.227539,9053.104492,396.874603,91.0000
LootedWorldX_FURN_Workbench.esp,0604FABB,0008ADFA,defaultLightFire01NSFlicker,LIGH,8909.719727,8224.092773,454.984314,0.0000
LootedWorldX_FURN_Workbench.esp,0604CD92,060510A9,DLC04_WorkbenchSodaMachine_Orange,FURN,10751.686523,14063.221680,661.932678,0.0000
LootedWorldX_FURN_Workbench.esp,0600D9AD,0604D8E4,DLC04_WorkbenchSodaMachine_Quantum,FURN,10955.214844,14250.007812,661.932678,270.0001
LootedWorldX_FURN_Workbench.esp,0600D9AB,0604D8E4,DLC04_WorkbenchSodaMachine_Quantum,FURN,10563.266602,14154.000000,661.932678,91.0000
LootedWorldX_FURN_Workbench.esp,06048DE2,0017E787,workbenchWeaponsB,FURN,9592.038086,26896.019531,1680.000000,0.0002
LootedWorldX_FURN_Workbench.esp,06048DE1,0017B3A4,workbenchWeaponsA,FURN,9672.036133,26472.019531,1680.000000,90.0002
