source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
MFC2025_EndAlz_Conspiracy.esm,0F001771,0F000FC8,VP25_AbductionTarget,NPC_,2017.054565,1344.803467,-1568.000000,0.0000
MFC2025_EndAlz_Conspiracy.esm,0F001B50,00024572,NPCInvWallLean01,FURN,2502.334717,1632.631836,-1568.435059,97.4028
MFC2025_EndAlz_Conspiracy.esm,0F0020B9,0F0020B6,VP25_VisitUFOCrashSiteTriggerExterior,ACTI,-39137.171875,-6939.126465,1565.660278,0.0000
MFC2025_EndAlz_Conspiracy.esm,0F0020BD,0003251F,DefaultSetStageTriggerPlayerOnly,ACTI,-38547.781250,-3828.502930,999.579468,348.5409
MFC2025_EndAlz_Conspiracy.esm,0F00272E,02000E87,WorkshopConcreteMidFloor01Foundation,STAT,-9209.170898,69429.750000,3160.229248,333.9879
MFC2025_EndAlz_Conspiracy.esm,0F002A29,00135F22,MacPanelFlat05,STAT,23007.060547,6001.610840,1063.151489,90.0000
MFC2025_EndAlz_Conspiracy.esm,0F002A28,00135F22,MacPanelFlat05,STAT,23007.060547,6001.610840,1059.259888,90.0000
MFC2025_EndAlz_Conspiracy.esm,0F002A26,00017D83,NpcBenchStadiumSit01,FURN,21684.347656,5621.668457,675.378662,151.5760
MFC2025_EndAlz_Conspiracy.esm,0F002A25,00017D83,NpcBenchStadiumSit01,FURN,21807.357422,5693.477539,670.094910,150.0290
MFC2025_EndAlz_Conspiracy.esm,0F002A23,0019B605,MetalTable01Debris01,SCOL,22409.859375,5841.930176,652.758240,334.6986
MFC2025_EndAlz_Conspiracy.esm,0F002A21,0F002A22,VP25_Loot_ToolChest,CONT,22482.830078,5871.749512,648.711975,243.3458
MFC2025_EndAlz_Conspiracy.esm,0F002A20,0F002834,VP25_Toolbox,CONT,22433.574219,5846.712402,707.335510,237.2215
MFC2025_EndAlz_Conspiracy.esm,0F002A1E,0F002A1F,VP25_Prewar_Locker_Wall01,CONT,22268.685547,5708.023926,654.670349,154.6986
MFC2025_EndAlz_Conspiracy.esm,0F002A1D,0002F66B,NatPlatFloor01,STAT,22657.603516,5910.760254,675.399109,334.6986
MFC2025_EndAlz_Conspiracy.esm,0F002A1C,0002F66B,NatPlatFloor01,STAT,22916.632812,6033.919922,675.399109,334.6986
MFC2025_EndAlz_Conspiracy.esm,0F002A1B,0002F66B,NatPlatFloor01,STAT,23466.320312,6074.142578,711.716370,334.6986
MFC2025_EndAlz_Conspiracy.esm,0F002A1A,0013BD08,WorkbenchPowerArmorSmall,FURN,23483.746094,6080.265137,711.097656,244.6987
MFC2025_EndAlz_Conspiracy.esm,0F002A19,001487C1,WorkbenchChemistryB,FURN,22776.980469,6069.749512,674.759583,154.6986
MFC2025_EndAlz_Conspiracy.esm,0F002A18,0012EA9B,WorkbenchArmorA,FURN,22609.533203,5973.493164,673.767822,154.6987
MFC2025_EndAlz_Conspiracy.esm,0F002A17,0017E787,workbenchWeaponsB,FURN,22916.707031,6157.069336,673.514526,155.1570
MFC2025_EndAlz_Conspiracy.esm,0F002A16,00149E91,NpcCouchAirplaneSit02,FURN,22289.003906,5514.644043,1020.220581,246.0960
MFC2025_EndAlz_Conspiracy.esm,0F002A15,0F002857,VP25_BeerEmpty,STAT,22611.105469,5597.413086,1130.991577,0.0000
MFC2025_EndAlz_Conspiracy.esm,0F002A14,0F002857,VP25_BeerEmpty,STAT,22755.164062,5568.929688,1175.231934,0.0000
MFC2025_EndAlz_Conspiracy.esm,0F002A13,0F002857,VP25_BeerEmpty,STAT,22733.771484,5569.262695,1175.231934,0.0000
MFC2025_EndAlz_Conspiracy.esm,0F002A12,0F0027F8,VP25_Beer02,STAT,22768.259766,5588.087891,1175.231934,17.1887
MFC2025_EndAlz_Conspiracy.esm,0F002A11,0F0027F7,VP25_Beer01,STAT,22710.574219,5629.915039,1123.770020,0.0000
MFC2025_EndAlz_Conspiracy.esm,0F002A10,0F0027F7,VP25_Beer01,STAT,22707.199219,5607.373535,1123.770020,0.0000
MFC2025_EndAlz_Conspiracy.esm,0F002A0F,0F0027F7,VP25_Beer01,STAT,22719.919922,5617.145996,1123.770020,0.0000
MFC2025_EndAlz_Conspiracy.esm,0F002A0E,001AE1F4,Beercrate_Static,STAT,22715.552734,5619.538574,1120.000000,258.5642
MFC2025_EndAlz_Conspiracy.esm,0F002A03,001EABF6,BldGlassTransExt02OpaqueOnesided,STAT,22683.576172,5474.158691,571.096558,64.6986
MFC2025_EndAlz_Conspiracy.esm,0F002A02,001EABF6,BldGlassTransExt02OpaqueOnesided,STAT,23084.591797,5662.259766,571.096558,64.6986
MFC2025_EndAlz_Conspiracy.esm,0F002A01,001EABF6,BldGlassTransExt02OpaqueOnesided,STAT,22507.714844,5848.601562,571.096558,244.6986
MFC2025_EndAlz_Conspiracy.esm,0F002A00,001EABF6,BldGlassTransExt02OpaqueOnesided,STAT,22902.328125,6038.568359,571.096558,244.6986
MFC2025_EndAlz_Conspiracy.esm,0F0029FF,00151A66,defaultLightCool01SpotFlicker,LIGH,21797.791016,5285.921387,719.758484,325.4471
MFC2025_EndAlz_Conspiracy.esm,0F0029FE,00092A1F,Spotlight45deg_On,SCOL,21793.386719,5281.675293,679.826904,335.4487
MFC2025_EndAlz_Conspiracy.esm,0F0029FD,00135F59,MacBaseBlockCMed01,STAT,22036.841797,5328.884766,852.417114,219.0824
MFC2025_EndAlz_Conspiracy.esm,0F0029FC,000211F5,WoodCrate01,STAT,22035.962891,5418.493652,845.873718,150.2636
MFC2025_EndAlz_Conspiracy.esm,0F0029FB,000211F5,WoodCrate01,STAT,22076.953125,5390.646484,849.878601,251.1465
MFC2025_EndAlz_Conspiracy.esm,0F0029FA,000211F5,WoodCrate01,STAT,21981.275391,5363.494141,830.414795,257.7722
MFC2025_EndAlz_Conspiracy.esm,0F0029F9,00090E89,HitDebrisPile03,STAT,22016.308594,5382.371582,847.379517,199.6986
MFC2025_EndAlz_Conspiracy.esm,0F0029F8,00090E89,HitDebrisPile03,STAT,22016.308594,5382.371582,846.535767,0.0000
MFC2025_EndAlz_Conspiracy.esm,0F0029F5,002482CC,V111DuctPipeCap01,STAT,21996.423828,5302.370605,954.018433,78.7128
MFC2025_EndAlz_Conspiracy.esm,0F0029F4,0100235B,DLC01Lair_IndTinyPipe1WayLongest01_Nonoccluder,STAT,22002.169922,5339.348633,746.204712,4.6937
MFC2025_EndAlz_Conspiracy.esm,0F0029F3,0F0029F2,VP25_Kickball,STAT,22023.033203,5443.333008,848.739685,212.5160
MFC2025_EndAlz_Conspiracy.esm,0F0029F1,0F0029F2,VP25_Kickball,STAT,21982.355469,5420.001953,856.643738,344.2963
MFC2025_EndAlz_Conspiracy.esm,0F0029F0,05003E46,DLC06ScrapableIndBgPipe1Way01,STAT,22014.830078,5383.277344,509.276337,180.0000
MFC2025_EndAlz_Conspiracy.esm,0F0029EF,05003E46,DLC06ScrapableIndBgPipe1Way01,STAT,22014.830078,5383.277344,666.460083,180.0000
MFC2025_EndAlz_Conspiracy.esm,0F0029EE,0009BECB,UtilitySink,STAT,23021.636719,5945.759277,1449.093750,244.6987
MFC2025_EndAlz_Conspiracy.esm,0F0029ED,0009192B,PlayerHouse_Ruin_BathroomDispenser01,STAT,23259.505859,5911.396973,1511.034058,109.6987
MFC2025_EndAlz_Conspiracy.esm,0F0029EC,00050AAE,PlayerHouse_Toilet01,STAT,23217.220703,5953.737793,1473.368530,64.6986
MFC2025_EndAlz_Conspiracy.esm,0F0029EB,00118CCA,BoatFishing01_PartsMast03,STAT,21610.490234,5168.211914,454.168549,149.6557
MFC2025_EndAlz_Conspiracy.esm,0F0029EA,00004E39,CageBulbWire04,STAT,21494.320312,5110.522461,788.790527,330.4923
MFC2025_EndAlz_Conspiracy.esm,0F0029E2,0F002826,VP25_FlowerVase02,STAT,22643.478516,5855.321777,949.958496,88.8085
MFC2025_EndAlz_Conspiracy.esm,0F0029E1,0F0027F6,VP25_ShotGlass,STAT,22642.082031,5848.600098,921.958496,83.0789
MFC2025_EndAlz_Conspiracy.esm,0F0029E0,0F0027F6,VP25_ShotGlass,STAT,22649.203125,5854.745605,921.958496,0.0000
MFC2025_EndAlz_Conspiracy.esm,0F0029DF,0F002831,VP25_PlasticBin,STAT,22633.111328,5840.604980,894.816162,331.1048
MFC2025_EndAlz_Conspiracy.esm,0F0029DE,0F002831,VP25_PlasticBin,STAT,22675.826172,5863.583496,921.958496,334.2169
MFC2025_EndAlz_Conspiracy.esm,0F0029DD,0F0028E7,VP25_FrillyTableLamp01On,STAT,22622.736328,5838.838379,878.675781,0.0000
MFC2025_EndAlz_Conspiracy.esm,0F0029DC,0F002839,VP25_GlobePostwar,STAT,23156.574219,5768.728027,1073.458496,83.0789
MFC2025_EndAlz_Conspiracy.esm,0F0029DB,0004CD83,PottedPlantSet_PotAPlant02_Dirty,STAT,22720.628906,5880.598145,887.323181,331.3521
