source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
MagToBookReplacer_Q.esp,0020E895,000FE257,OverdueBook,MISC,-10313.022461,-57930.703125,1919.586060,258.7010
MagToBookReplacer_Q.esp,00184D9A,000FE257,OverdueBook,MISC,-33425.695312,-51803.734375,1786.024902,270.0000
MagToBookReplacer_Q.esp,00184DAC,000FE257,OverdueBook,MISC,-48904.222656,-43215.718750,1454.190552,216.8141
MagToBookReplacer_Q.esp,00184DB6,000FE257,OverdueBook,MISC,-87372.382812,-12834.045898,6076.645508,44.9771
MagToBookReplacer_Q.esp,00185CC3,000FE257,OverdueBook,MISC,-75367.210938,-850.406494,4089.732178,57.7065
MagToBookReplacer_Q.esp,00185CB7,000FE257,OverdueBook,MISC,-67718.851562,-37631.121094,5467.955078,193.9148
MagToBookReplacer_Q.esp,0023B4FC,000FE257,OverdueBook,MISC,-102319.203125,-117033.351562,8147.526367,235.6228
MagToBookReplacer_Q.esp,001955B5,000FE257,OverdueBook,MISC,-10824.048828,100249.742188,3912.250000,47.5555
MagToBookReplacer_Q.esp,00185CF1,000FE257,OverdueBook,MISC,-12100.384766,67585.492187,2432.958008,269.8512
MagToBookReplacer_Q.esp,00185CD4,000FE257,OverdueBook,MISC,-3832.421143,77775.367188,2954.451416,142.4640
MagToBookReplacer_Q.esp,00185CE3,000FE257,OverdueBook,MISC,-45153.191406,78674.710938,4471.207031,307.2424
MagToBookReplacer_Q.esp,0020E896,000FE257,OverdueBook,MISC,-52595.839844,98152.382812,8749.259766,231.0844
MagToBookReplacer_Q.esp,00019A92,000FE257,OverdueBook,MISC,-80190.265625,91367.273438,7932.110840,211.0305
MagToBookReplacer_Q.esp,00185CF0,000FE257,OverdueBook,MISC,-86073.148438,64649.781250,7165.280762,359.0459
MagToBookReplacer_Q.esp,00185CDC,000FE257,OverdueBook,MISC,48344.695312,-46534.406250,902.494019,317.2690
MagToBookReplacer_Q.esp,0005226B,000FE257,OverdueBook,MISC,40855.359375,-70788.281250,695.804993,89.2775
MagToBookReplacer_Q.esp,00185CDB,000FE257,OverdueBook,MISC,12632.000000,-16248.000000,688.000000,186.2195
MagToBookReplacer_Q.esp,00185CD6,000FE257,OverdueBook,MISC,13577.602539,-45983.578125,1048.788208,270.0000
MagToBookReplacer_Q.esp,00249A5E,000FE257,OverdueBook,MISC,21798.210938,-39654.261719,1271.577881,291.2452
MagToBookReplacer_Q.esp,00185CC9,000FE257,OverdueBook,MISC,27799.361328,-83798.476562,2556.438965,270.0000
MagToBookReplacer_Q.esp,00184DBE,000FE257,OverdueBook,MISC,7384.000000,-75768.000000,1309.757690,268.6592
MagToBookReplacer_Q.esp,00185CB3,000FE257,OverdueBook,MISC,80874.718750,15805.008789,1488.976318,350.1543
MagToBookReplacer_Q.esp,00185CCF,000FE257,OverdueBook,MISC,51978.769531,37678.687500,1615.759033,270.0000
MagToBookReplacer_Q.esp,00185CCC,000FE257,OverdueBook,MISC,58112.179687,38384.750000,650.568115,255.0560
MagToBookReplacer_Q.esp,00184DA3,000FE257,OverdueBook,MISC,52526.808594,11361.436523,1236.880493,68.6510
MagToBookReplacer_Q.esp,00185CCE,000FE257,OverdueBook,MISC,57840.593750,30231.089844,1273.732910,269.9935
MagToBookReplacer_Q.esp,002301CF,000FE257,OverdueBook,MISC,18180.544922,14064.955078,4061.980957,33.1859
MagToBookReplacer_Q.esp,00185CC7,000FE257,OverdueBook,MISC,8922.238281,30551.841797,729.244141,10.8404
MagToBookReplacer_Q.esp,00185CE8,000FE257,OverdueBook,MISC,2916.276123,982.221436,2568.348877,225.0000
MagToBookReplacer_Q.esp,00185CA8,000FE257,OverdueBook,MISC,3114.027100,521.530640,1368.645630,3.4521
MagToBookReplacer_Q.esp,00184DB8,000FE257,OverdueBook,MISC,5521.291992,2248.282471,568.650330,0.0000
MagToBookReplacer_Q.esp,00185CB6,000FE257,OverdueBook,MISC,-347.775299,-1000.968018,56.499603,270.0000
MagToBookReplacer_Q.esp,00184D93,000FE257,OverdueBook,MISC,822.600952,36.367809,566.879578,266.5622
MagToBookReplacer_Q.esp,00184D9F,000FE257,OverdueBook,MISC,9638.648438,916.844604,824.522949,153.5527
MagToBookReplacer_Q.esp,00184DBD,000FE257,OverdueBook,MISC,1320.160400,1663.492187,56.642681,114.5007
MagToBookReplacer_Q.esp,00180A1C,000FE257,OverdueBook,MISC,2447.189453,2590.358398,-934.155029,50.1338
MagToBookReplacer_Q.esp,00240CFD,000FE257,OverdueBook,MISC,-245.055038,128.614456,86.172203,30.2058
MagToBookReplacer_Q.esp,00184DC5,000FE257,OverdueBook,MISC,1535.129150,466.660553,59.747635,147.7544
MagToBookReplacer_Q.esp,0003ECEA,000FE257,OverdueBook,MISC,1143.562256,7808.385254,-856.909790,341.8966
MagToBookReplacer_Q.esp,00184D8E,000FE257,OverdueBook,MISC,1159.851929,-1823.427612,568.102783,239.9829
MagToBookReplacer_Q.esp,00185CB5,000FE257,OverdueBook,MISC,3160.439453,1325.772949,-2738.050293,19.1453
MagToBookReplacer_Q.esp,00184D9C,000FE257,OverdueBook,MISC,-1834.553955,7273.596191,-127.841072,50.1338
MagToBookReplacer_Q.esp,00184D89,000FE257,OverdueBook,MISC,399.460480,1660.693359,1081.137085,269.9999
MagToBookReplacer_Q.esp,00185CDE,000FE257,OverdueBook,MISC,9589.310547,1288.024414,-71.078117,327.2967
MagToBookReplacer_Q.esp,00185CC1,000FE257,OverdueBook,MISC,-404.361969,2735.032471,133.096451,188.2395
MagToBookReplacer_Q.esp,00185CE7,000FE257,OverdueBook,MISC,-78.619392,-678.573547,-327.837402,225.0000
MagToBookReplacer_Q.esp,00048B74,000FE257,OverdueBook,MISC,223.556854,6796.362793,-2376.226562,12.0320
MagToBookReplacer_Q.esp,00184DBF,000FE257,OverdueBook,MISC,4886.285156,583.243225,-711.856873,313.8311
MagToBookReplacer_Q.esp,00184DB4,000FE257,OverdueBook,MISC,2231.591553,3869.627441,260.786621,96.4396
MagToBookReplacer_Q.esp,00184DAA,000FE257,OverdueBook,MISC,-1894.729248,-1116.298340,-1022.375000,95.2478
MagToBookReplacer_Q.esp,002212FD,000FE257,OverdueBook,MISC,1654.574585,2276.509033,583.931213,300.8605
MagToBookReplacer_Q.esp,00185CEF,000FE257,OverdueBook,MISC,-2303.683838,-2142.223877,1593.742432,256.0746
MagToBookReplacer_Q.esp,00184D8F,000FE257,OverdueBook,MISC,1066.539917,3385.529541,-847.266113,0.0000
MagToBookReplacer_Q.esp,00184DC1,000FE257,OverdueBook,MISC,509.306335,1701.376221,60.570835,73.6024
