source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Minuteman Watchtowers - Survey Addon.esm,FE022019,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-26856.000000,-49408.000000,3888.000000,9.5697
Minuteman Watchtowers - Survey Addon.esm,FE022018,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-26520.000000,-49160.000000,3888.000000,277.8966
Minuteman Watchtowers - Survey Addon.esm,FE022017,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-26280.000000,-49504.000000,3888.000000,189.0752
Minuteman Watchtowers - Survey Addon.esm,FE022015,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-26616.000000,-49736.000000,3888.000000,100.2668
Minuteman Watchtowers - Survey Addon.esm,FE022014,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-36024.000000,-101224.000000,3712.000000,337.0810
Minuteman Watchtowers - Survey Addon.esm,FE022013,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-36424.000000,-101048.000000,3712.000000,68.7542
Minuteman Watchtowers - Survey Addon.esm,FE022012,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-36576.000000,-101424.000000,3712.000000,337.0811
Minuteman Watchtowers - Survey Addon.esm,FE022010,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-36192.000000,-101584.000000,3712.000000,248.2727
Minuteman Watchtowers - Survey Addon.esm,FE022022,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-104240.000000,-31992.000000,9152.000000,0.0000
Minuteman Watchtowers - Survey Addon.esm,FE022021,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-103952.000000,-31704.000000,9152.000000,90.0000
Minuteman Watchtowers - Survey Addon.esm,FE022020,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-103656.000000,-31992.000000,9152.000000,0.0000
Minuteman Watchtowers - Survey Addon.esm,FE02201F,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-103952.000000,-32288.000000,9152.000000,270.0000
Minuteman Watchtowers - Survey Addon.esm,FE02202C,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-32024.000000,101608.000000,9096.000000,202.6732
Minuteman Watchtowers - Survey Addon.esm,FE02202B,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-32584.000000,101832.000000,9096.000000,200.8084
Minuteman Watchtowers - Survey Addon.esm,FE02202A,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-32200.000000,101992.000000,9096.000000,111.0000
Minuteman Watchtowers - Survey Addon.esm,FE022029,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-32416.000000,101448.000000,9096.000000,111.0000
Minuteman Watchtowers - Survey Addon.esm,FE02201E,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-63448.000000,5312.000000,3056.000000,9.8083
Minuteman Watchtowers - Survey Addon.esm,FE02201D,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-63104.000000,5544.000000,3056.000000,100.2110
Minuteman Watchtowers - Survey Addon.esm,FE02201C,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-62872.000000,5208.000000,3056.000000,10.4026
Minuteman Watchtowers - Survey Addon.esm,FE02201A,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-63208.000000,4968.000000,3056.000000,279.0000
Minuteman Watchtowers - Survey Addon.esm,FE022027,FE022009,MWSA_WatchtowerSurveyActivator,ACTI,-97024.000000,60368.000000,8800.000000,45.0000
