source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
MoBSS More Beds to Save in Survival.esp,3200EBD3,0002FBF9,NpcBedGroundSleep01,FURN,-101703.000000,-117699.000000,8035.000000,208.0000
MoBSS More Beds to Save in Survival.esp,3200632E,000D75BC,NpcBedSleepingBagSleep01,FURN,-59015.000000,70260.000000,6666.000000,130.0000
MoBSS More Beds to Save in Survival.esp,32039E94,00118F57,WorkshopNpcBedSleepingBagSleep01,FURN,-69686.414062,79262.671875,7359.641602,175.0000
MoBSS More Beds to Save in Survival.esp,3200632D,000D75BC,NpcBedSleepingBagSleep01,FURN,-89598.000000,94336.000000,8663.000000,99.0000
MoBSS More Beds to Save in Survival.esp,3200632F,000D75BC,NpcBedSleepingBagSleep01,FURN,4733.998047,-21176.251953,1419.154297,0.0000
MoBSS More Beds to Save in Survival.esp,320396FA,000D75BC,NpcBedSleepingBagSleep01,FURN,82796.000000,27307.000000,1115.000000,278.0000
MoBSS More Beds to Save in Survival.esp,320352A9,000D75BC,NpcBedSleepingBagSleep01,FURN,17730.535156,58336.570312,1651.090332,0.0000
MoBSS More Beds to Save in Survival.esp,32030E58,0002FBF9,NpcBedGroundSleep01,FURN,4719.000000,18655.000000,1342.000000,54.0000
MoBSS More Beds to Save in Survival.esp,3201B8C6,000D75BC,NpcBedSleepingBagSleep01,FURN,774.000000,-173.000000,1537.000000,165.0000
MoBSS More Beds to Save in Survival.esp,32017474,000D75BC,NpcBedSleepingBagSleep01,FURN,-520.000000,1000.000000,0.000000,270.0000
MoBSS More Beds to Save in Survival.esp,00212EDA,0014D090,NpcBedMilitaryCotMattressLay01,FURN,1380.860474,3310.297607,48.000000,269.5878
MoBSS More Beds to Save in Survival.esp,3200632A,000D75BC,NpcBedSleepingBagSleep01,FURN,497.000000,-316.000000,641.000000,45.0000
MoBSS More Beds to Save in Survival.esp,3200632B,000D75BC,NpcBedSleepingBagSleep01,FURN,133.000000,-933.000000,63.000000,223.0000
MoBSS More Beds to Save in Survival.esp,3202CA07,0002FBF9,NpcBedGroundSleep01,FURN,4161.000000,-375.000000,-1695.000000,155.0000
