source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
MoleRatReplacer_Q.esp,060541B4,0605388A,DLC04_LvlRadRatAmbush,NPC_,-35457.300781,-18021.445312,558.099976,3.8738
MoleRatReplacer_Q.esp,060541AD,0605388A,DLC04_LvlRadRatAmbush,NPC_,-35405.675781,-17664.718750,570.598389,182.8192
MoleRatReplacer_Q.esp,06053786,0605388A,DLC04_LvlRadRatAmbush,NPC_,28291.314453,-3357.770264,2323.328613,90.0000
MoleRatReplacer_Q.esp,06053781,0605388A,DLC04_LvlRadRatAmbush,NPC_,27727.412109,-3653.714355,2233.632324,90.0000
MoleRatReplacer_Q.esp,03056EFA,000342CA,LvlMoleratAmbush,NPC_,-20909.833984,-13883.526367,1477.135376,324.5220
MoleRatReplacer_Q.esp,03056EF5,000342CA,LvlMoleratAmbush,NPC_,-20616.927734,-14288.774414,1543.917236,324.5220
MoleRatReplacer_Q.esp,03056EEE,000342CA,LvlMoleratAmbush,NPC_,-19906.150391,-13776.798828,1523.763916,358.8997
MoleRatReplacer_Q.esp,00197AAA,0003D628,LvlViciousDog,NPC_,-3308.540039,-49066.933594,2597.381104,351.6337
MoleRatReplacer_Q.esp,00197AA7,0003D628,LvlViciousDog,NPC_,-3862.535156,-47807.300781,2587.573242,172.1155
MoleRatReplacer_Q.esp,00197AA5,0020EABD,LvlViciousDogAlphaAggro1100,NPC_,-3243.728516,-48304.777344,2540.249756,285.5611
MoleRatReplacer_Q.esp,00197AA4,0003D628,LvlViciousDog,NPC_,-3669.189697,-48820.375000,2612.664307,29.2213
MoleRatReplacer_Q.esp,00085359,0003D628,LvlViciousDog,NPC_,-30492.105469,-39923.964844,2598.866943,137.8443
MoleRatReplacer_Q.esp,00085356,0003D628,LvlViciousDog,NPC_,-30684.949219,-39131.105469,2578.541504,245.2740
MoleRatReplacer_Q.esp,00085354,0020EABD,LvlViciousDogAlphaAggro1100,NPC_,-30100.652344,-40321.703125,2591.159668,23.2526
MoleRatReplacer_Q.esp,00085352,0003D628,LvlViciousDog,NPC_,-30081.400391,-38998.417969,2573.452393,271.0571
MoleRatReplacer_Q.esp,0008534D,0003D628,LvlViciousDog,NPC_,-29552.960937,-39590.871094,2548.215332,358.4332
MoleRatReplacer_Q.esp,00099E04,0003D628,LvlViciousDog,NPC_,-15253.087891,-38693.156250,1939.000000,190.2675
MoleRatReplacer_Q.esp,00099DFE,0003D628,LvlViciousDog,NPC_,-15299.099609,-38490.468750,1939.000000,145.0040
MoleRatReplacer_Q.esp,00099DFD,0003D628,LvlViciousDog,NPC_,-15683.724609,-38978.535156,1939.000000,90.0000
MoleRatReplacer_Q.esp,001E5FA8,0018DFA4,LvlRadStagDoe,NPC_,-39485.117188,-76601.296875,1503.742554,57.2957
MoleRatReplacer_Q.esp,001E5FA7,0018DFA4,LvlRadStagDoe,NPC_,-39517.257812,-76102.078125,1399.348145,342.8111
MoleRatReplacer_Q.esp,00192F33,000AE8DC,LvlRadscorpionAmbush,NPC_,-65244.949219,-130383.640625,4092.683105,65.6493
MoleRatReplacer_Q.esp,00192F31,000AE8DC,LvlRadscorpionAmbush,NPC_,-64573.605469,-129526.335937,3955.061768,117.2155
MoleRatReplacer_Q.esp,00192F2E,000AE8DC,LvlRadscorpionAmbush,NPC_,-64525.093750,-130380.109375,3933.895508,65.6493
MoleRatReplacer_Q.esp,00192F2B,000AE8DC,LvlRadscorpionAmbush,NPC_,-64617.363281,-130813.773437,3981.688965,90.0000
MoleRatReplacer_Q.esp,00192E9B,00020B88,LvlRadscorpion,NPC_,-62781.832031,-130809.632812,3870.258301,132.2491
MoleRatReplacer_Q.esp,00197B13,00090E57,LvlRadStag,NPC_,-71324.507812,-16998.042969,3212.516357,15.5155
