source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
More_Water_Mist.esp,FE046BA3,00094223,MistWaterSteam02,MSTT,-22332.488281,-14907.365234,451.037109,84.2572
More_Water_Mist.esp,FE046B96,00096C64,MistWaterSteamLong02,MSTT,-17456.552734,-30990.261719,384.824463,335.3947
More_Water_Mist.esp,FE046B95,00096C64,MistWaterSteamLong02,MSTT,-20320.021484,-31825.103516,384.824463,62.3016
More_Water_Mist.esp,FE046B98,00094221,MistWaterSteamLong01,MSTT,-16513.218750,-26907.402344,384.824463,312.4765
More_Water_Mist.esp,FE046BA2,00094221,MistWaterSteamLong01,MSTT,-16994.712891,-18179.285156,451.037109,21.2318
More_Water_Mist.esp,FE046BEA,00096C66,MistWaterSteamMini01,MSTT,-19598.695312,-2304.031494,668.546997,89.9877
More_Water_Mist.esp,FE046B9A,00094221,MistWaterSteamLong01,MSTT,-12659.401367,-31199.906250,384.824463,248.4877
More_Water_Mist.esp,FE046B97,00094221,MistWaterSteamLong01,MSTT,-14521.200195,-29048.224609,384.824463,335.3947
More_Water_Mist.esp,FE046B99,00094221,MistWaterSteamLong01,MSTT,-14755.762695,-27347.529297,384.824463,319.1695
More_Water_Mist.esp,FE046BA1,00094221,MistWaterSteamLong01,MSTT,-16178.988281,-20683.146484,403.112152,78.5275
More_Water_Mist.esp,FE046BA0,00096C64,MistWaterSteamLong02,MSTT,-15910.333984,-23228.693359,384.824463,319.1697
More_Water_Mist.esp,FE046B9F,00094221,MistWaterSteamLong01,MSTT,-14634.833984,-23955.150391,384.824463,61.3387
More_Water_Mist.esp,FE046BA7,00094221,MistWaterSteamLong01,MSTT,-13040.006836,-12295.413086,415.862427,30.7644
More_Water_Mist.esp,FE046BA5,00096C64,MistWaterSteamLong02,MSTT,-12865.021484,-14006.780273,415.862427,328.7023
More_Water_Mist.esp,FE046BA4,00094221,MistWaterSteamLong01,MSTT,-15660.607422,-15864.373047,415.862427,305.7840
More_Water_Mist.esp,FE046BA6,00094221,MistWaterSteamLong01,MSTT,-11259.924805,-13429.916016,415.862427,214.1107
More_Water_Mist.esp,FE046BAA,00094221,MistWaterSteamLong01,MSTT,-8329.864258,-9475.342773,415.862427,115.7445
More_Water_Mist.esp,FE046BA9,00096C64,MistWaterSteamLong02,MSTT,-8842.931641,-11652.857422,415.862427,237.0291
More_Water_Mist.esp,FE046BA8,00096C64,MistWaterSteamLong02,MSTT,-10261.655273,-12269.887695,415.862427,214.1107
More_Water_Mist.esp,FE046BAB,00094221,MistWaterSteamLong01,MSTT,-7428.089844,-6591.280762,415.862427,69.9080
More_Water_Mist.esp,FE046BAE,00094221,MistWaterSteamLong01,MSTT,-6510.586914,-1131.448120,415.862427,112.9060
More_Water_Mist.esp,FE046BAC,00096C64,MistWaterSteamLong02,MSTT,-7673.963379,-2957.743896,415.862427,94.7537
More_Water_Mist.esp,FE046B83,00096C64,MistWaterSteamLong02,MSTT,-30691.417969,-50404.179688,384.824463,134.8593
More_Water_Mist.esp,FE046B81,00096C64,MistWaterSteamLong02,MSTT,-32574.722656,-47600.687500,384.824463,319.1691
More_Water_Mist.esp,FE046B87,00096C64,MistWaterSteamLong02,MSTT,-31202.429687,-43455.250000,384.824463,65.1409
More_Water_Mist.esp,FE046B86,00096C64,MistWaterSteamLong02,MSTT,-28881.445312,-43240.656250,384.824463,134.8593
More_Water_Mist.esp,FE046B8A,00096C64,MistWaterSteamLong02,MSTT,-29229.998047,-40523.492188,384.824463,134.8593
More_Water_Mist.esp,FE046B84,00094221,MistWaterSteamLong01,MSTT,-27922.574219,-47307.210938,384.824463,134.8593
More_Water_Mist.esp,FE046B85,00094221,MistWaterSteamLong01,MSTT,-28284.078125,-44915.898438,384.824463,134.8593
More_Water_Mist.esp,FE046B8D,00094221,MistWaterSteamLong01,MSTT,-25425.035156,-40699.453125,384.824463,134.8593
More_Water_Mist.esp,FE046B8C,00096C64,MistWaterSteamLong02,MSTT,-25613.458984,-38426.882812,384.824463,134.8593
More_Water_Mist.esp,FE046B8B,00096C64,MistWaterSteamLong02,MSTT,-26828.597656,-37305.496094,384.824463,134.8593
More_Water_Mist.esp,FE046B92,00096C64,MistWaterSteamLong02,MSTT,-26711.248047,-33064.558594,384.824463,228.4596
More_Water_Mist.esp,FE046B8E,00094221,MistWaterSteamLong01,MSTT,-22597.207031,-42675.574219,500.537537,164.4710
More_Water_Mist.esp,FE046B91,00096C64,MistWaterSteamLong02,MSTT,-24304.794922,-36940.804688,384.824463,73.7608
More_Water_Mist.esp,FE046B94,00094221,MistWaterSteamLong01,MSTT,-21885.089844,-33053.617187,384.824463,62.3016
More_Water_Mist.esp,FE046B93,00094221,MistWaterSteamLong01,MSTT,-23764.460938,-33807.285156,384.824463,62.3016
More_Water_Mist.esp,FE046B90,00096C64,MistWaterSteamLong02,MSTT,-20896.166016,-36690.402344,422.128326,21.2311
More_Water_Mist.esp,FE046B8F,00094221,MistWaterSteamLong01,MSTT,-19207.281250,-43140.929688,500.537537,147.2823
More_Water_Mist.esp,FE046B9B,00094221,MistWaterSteamLong01,MSTT,-13949.598633,-35095.429688,449.994537,281.9020
More_Water_Mist.esp,FE046B9E,00094223,MistWaterSteam02,MSTT,-11317.682617,-40865.308594,616.743713,265.6766
More_Water_Mist.esp,FE046B9D,00096C64,MistWaterSteamLong02,MSTT,-10818.297852,-36821.425781,431.029297,265.6766
More_Water_Mist.esp,FE046B9C,00096C64,MistWaterSteamLong02,MSTT,-11182.290039,-34301.343750,431.029297,265.6766
More_Water_Mist.esp,FE046BE0,00094221,MistWaterSteamLong01,MSTT,-50491.570312,-32375.195312,1488.111938,272.3720
More_Water_Mist.esp,FE046BE6,00094221,MistWaterSteamLong01,MSTT,-37437.648438,-19479.650391,628.362000,272.3720
