source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
MuckPoolHarvest_Q.esp,0601F33C,FE016800,PoolMuck_L01,CONT,-23808.294922,-42795.945312,395.559570,106.9149
MuckPoolHarvest_Q.esp,0601F33B,FE016805,PoolMuck_M01,CONT,-21263.617188,-42359.398438,263.076599,70.7227
MuckPoolHarvest_Q.esp,0601F33A,FE016800,PoolMuck_L01,CONT,-20440.646484,-44015.359375,408.491608,270.0000
MuckPoolHarvest_Q.esp,0600FDFA,FE016804,PoolMuck_S01,CONT,-17574.367188,-41786.515625,483.494751,269.9742
MuckPoolHarvest_Q.esp,06011953,FE016800,PoolMuck_L01,CONT,-11434.751953,-41119.437500,431.859070,264.2704
MuckPoolHarvest_Q.esp,0604C722,FE016804,PoolMuck_S01,CONT,-43471.046875,20038.685547,3928.405029,357.1874
MuckPoolHarvest_Q.esp,00100344,FE016800,PoolMuck_L01,CONT,-65504.000000,-94616.000000,4016.000000,298.7975
MuckPoolHarvest_Q.esp,000D187A,FE016804,PoolMuck_S01,CONT,-64419.007812,-114867.328125,4309.783203,351.3798
MuckPoolHarvest_Q.esp,000FC4EA,FE016800,PoolMuck_L01,CONT,-58342.398437,-115025.226562,3577.997070,263.4167
MuckPoolHarvest_Q.esp,000E3B16,FE016800,PoolMuck_L01,CONT,-57632.398437,-117439.312500,3453.360840,309.2534
MuckPoolHarvest_Q.esp,000DBCFA,FE016805,PoolMuck_M01,CONT,-59695.933594,-103753.562500,3947.715088,352.8897
MuckPoolHarvest_Q.esp,001E62AC,FE016805,PoolMuck_M01,CONT,-92341.867188,-57745.750000,3571.285645,255.4802
MuckPoolHarvest_Q.esp,001187A1,FE016800,PoolMuck_L01,CONT,-90770.046875,-128465.031250,6490.463379,60.0766
MuckPoolHarvest_Q.esp,0022D184,FE016805,PoolMuck_M01,CONT,-93256.593750,-125473.859375,6350.282227,71.5356
MuckPoolHarvest_Q.esp,001187A2,FE016804,PoolMuck_S01,CONT,-92532.921875,-126769.187500,6466.206543,98.7289
MuckPoolHarvest_Q.esp,001187A0,FE016800,PoolMuck_L01,CONT,-90219.328125,-124105.906250,6106.294922,3.4724
MuckPoolHarvest_Q.esp,000FD257,FE016805,PoolMuck_M01,CONT,-76572.218750,-123912.835937,4708.278809,159.2097
MuckPoolHarvest_Q.esp,000F09CF,FE016805,PoolMuck_M01,CONT,-69687.007812,-127639.406250,4328.752441,327.9212
MuckPoolHarvest_Q.esp,00210CD6,FE016804,PoolMuck_S01,CONT,-83545.953125,-119198.828125,5226.219727,314.6657
MuckPoolHarvest_Q.esp,00210299,FE016804,PoolMuck_S01,CONT,-83207.101562,-110646.695312,5146.011719,169.3771
MuckPoolHarvest_Q.esp,00210297,FE016800,PoolMuck_L01,CONT,-85123.101562,-112065.843750,5433.090332,145.1127
MuckPoolHarvest_Q.esp,000FD1EA,FE016805,PoolMuck_M01,CONT,-77182.156250,-111319.320312,4521.053711,301.3124
MuckPoolHarvest_Q.esp,000FD1E8,FE016805,PoolMuck_M01,CONT,-75067.656250,-113711.828125,4505.241699,66.2067
MuckPoolHarvest_Q.esp,000FD1E7,FE016805,PoolMuck_M01,CONT,-75537.859375,-112222.429687,4512.911621,215.3687
MuckPoolHarvest_Q.esp,000FD207,FE016804,PoolMuck_S01,CONT,-72945.445312,-113523.640625,4384.204590,9.5671
MuckPoolHarvest_Q.esp,000FC531,FE016800,PoolMuck_L01,CONT,-69915.625000,-112107.250000,4259.448242,0.7507
MuckPoolHarvest_Q.esp,000FC532,FE016804,PoolMuck_S01,CONT,-68112.507812,-112759.031250,4214.044434,23.6307
MuckPoolHarvest_Q.esp,000F49C8,FE016804,PoolMuck_S01,CONT,-94791.992188,-106914.007812,6146.475098,350.2553
MuckPoolHarvest_Q.esp,000F49E3,FE016804,PoolMuck_S01,CONT,-87131.273438,-106996.101562,5287.918945,189.9044
MuckPoolHarvest_Q.esp,000F49C7,FE016804,PoolMuck_S01,CONT,-89216.765625,-109119.078125,5601.999512,80.1826
MuckPoolHarvest_Q.esp,000F9326,FE016804,PoolMuck_S01,CONT,-82381.312500,-106768.242187,4864.640625,97.9056
MuckPoolHarvest_Q.esp,000F9325,FE016800,PoolMuck_L01,CONT,-81983.601562,-107893.609375,4915.948730,162.1549
MuckPoolHarvest_Q.esp,000F9324,FE016800,PoolMuck_L01,CONT,-83661.039062,-107399.507812,4919.117188,100.3220
MuckPoolHarvest_Q.esp,002102A6,FE016805,PoolMuck_M01,CONT,-80217.679688,-110150.453125,4692.058594,216.9183
MuckPoolHarvest_Q.esp,000F7F10,FE016804,PoolMuck_S01,CONT,-95079.070312,-102915.242187,6100.488281,62.3073
MuckPoolHarvest_Q.esp,000F49E6,FE016805,PoolMuck_M01,CONT,-96843.093750,-103192.164062,6072.401367,46.2704
MuckPoolHarvest_Q.esp,000F49E5,FE016800,PoolMuck_L01,CONT,-94489.976562,-104496.203125,6137.314453,21.4850
MuckPoolHarvest_Q.esp,000F49E4,FE016800,PoolMuck_L01,CONT,-95799.453125,-104496.343750,6146.477051,319.8920
MuckPoolHarvest_Q.esp,000F0E49,FE016800,PoolMuck_L01,CONT,-94967.875000,-106040.421875,6146.477051,160.8962
MuckPoolHarvest_Q.esp,000F49DF,FE016804,PoolMuck_S01,CONT,-90427.398438,-105107.203125,5601.339844,114.6526
MuckPoolHarvest_Q.esp,000F49DE,FE016800,PoolMuck_L01,CONT,-91906.898438,-104654.992187,5633.378418,305.5680
MuckPoolHarvest_Q.esp,000F40DE,FE016805,PoolMuck_M01,CONT,-91524.789062,-106142.828125,5540.676270,0.0000
MuckPoolHarvest_Q.esp,000F7F17,FE016805,PoolMuck_M01,CONT,-87784.265625,-103861.789062,4628.049316,61.2367
MuckPoolHarvest_Q.esp,000F6696,FE016804,PoolMuck_S01,CONT,-88235.468750,-104302.460937,4779.531738,105.7213
MuckPoolHarvest_Q.esp,000F6673,FE016800,PoolMuck_L01,CONT,-89313.515625,-102418.929688,4822.790527,280.6241
MuckPoolHarvest_Q.esp,000F49CA,FE016804,PoolMuck_S01,CONT,-86983.007812,-106448.476562,5248.876953,51.5943
MuckPoolHarvest_Q.esp,000F49DC,FE016804,PoolMuck_S01,CONT,-84959.468750,-103742.359375,4808.402832,73.2130
MuckPoolHarvest_Q.esp,000F49DB,FE016800,PoolMuck_L01,CONT,-84889.335938,-105628.367187,4892.348633,212.4624
MuckPoolHarvest_Q.esp,000F49C9,FE016805,PoolMuck_M01,CONT,-85869.476562,-103971.867187,4704.007812,332.7844
MuckPoolHarvest_Q.esp,000FAC7B,FE016800,PoolMuck_L01,CONT,-71625.429688,-104405.179687,4028.440186,228.4371
