source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Natural Occupation.esm,0C02BD0E,0C00D54B,_Enc_00_Random,NPC_,-30710.750000,-30599.753906,1917.409180,0.0000
Natural Occupation.esm,0C0301D6,0C00D54B,_Enc_00_Random,NPC_,-26650.550781,-30715.314453,1768.488037,0.0000
Natural Occupation.esm,0C034695,0C00D54B,_Enc_00_Random,NPC_,-22764.275391,-30174.791016,1617.232910,0.0000
Natural Occupation.esm,0C038B57,0C00D54B,_Enc_00_Random,NPC_,-18582.976562,-30725.582031,1565.127930,0.0000
Natural Occupation.esm,0C038BBD,0C00D54B,_Enc_00_Random,NPC_,-14108.116211,-31604.640625,1344.509521,0.0000
Natural Occupation.esm,0C038C2F,0C00D54B,_Enc_00_Random,NPC_,-10865.062500,-30653.664062,1356.145996,0.0000
Natural Occupation.esm,0C03D0F1,0C00D54B,_Enc_00_Random,NPC_,-6159.400879,-31259.019531,1443.187256,0.0000
Natural Occupation.esm,0C03D166,0C00D54B,_Enc_00_Random,NPC_,-1762.787354,-31781.611328,1614.888306,0.0000
Natural Occupation.esm,0C02BD0B,0C00D54B,_Enc_00_Random,NPC_,-31208.007812,-26768.804687,851.950684,0.0000
Natural Occupation.esm,0C0301D3,0C00D54B,_Enc_00_Random,NPC_,-26736.818359,-26788.972656,878.856873,0.0000
Natural Occupation.esm,0C034692,0C00D54B,_Enc_00_Random,NPC_,-22701.585938,-26473.855469,1103.452759,0.0000
Natural Occupation.esm,0C038B54,0C00D54B,_Enc_00_Random,NPC_,-19913.357422,-26565.837891,1336.000000,0.0000
Natural Occupation.esm,0C085D17,0C00D54B,_Enc_00_Random,NPC_,-14295.755859,-26956.017578,9999.000000,0.0000
Natural Occupation.esm,0C085D19,0C00D54B,_Enc_00_Random,NPC_,-10240.000000,-26637.675781,9999.000000,0.0000
Natural Occupation.esm,0C03D0EE,0C00D54B,_Enc_00_Random,NPC_,-5908.812500,-26611.703125,1576.252441,0.0000
Natural Occupation.esm,0C03D163,0C00D54B,_Enc_00_Random,NPC_,-1619.089600,-26409.242187,1536.427002,0.0000
Natural Occupation.esm,0C022DE8,0C00D54B,_Enc_00_Random,NPC_,-30708.705078,-22762.939453,850.000000,0.0000
Natural Occupation.esm,0C0301D0,0C00D54B,_Enc_00_Random,NPC_,-26733.804687,-22453.271484,880.000061,0.0000
Natural Occupation.esm,0C03468F,0C00D54B,_Enc_00_Random,NPC_,-22249.066406,-21389.212891,1230.479614,0.0000
Natural Occupation.esm,0C038B51,0C00D54B,_Enc_00_Random,NPC_,-17920.792969,-22829.277344,1336.000000,0.0000
Natural Occupation.esm,0C038BBA,0C00D54B,_Enc_00_Random,NPC_,-14258.207031,-20795.587891,1374.636230,0.0000
Natural Occupation.esm,0C085D18,0C00D54B,_Enc_00_Random,NPC_,-10307.509766,-22576.468750,9999.000000,0.0000
Natural Occupation.esm,0C03D0EB,0C00D54B,_Enc_00_Random,NPC_,-5946.127930,-22382.367188,1458.940063,0.0000
Natural Occupation.esm,0C03D160,0C00D54B,_Enc_00_Random,NPC_,-1349.302734,-22470.558594,1339.747070,0.0000
Natural Occupation.esm,0C02BD08,0C00D54B,_Enc_00_Random,NPC_,-30762.558594,-18376.830078,1047.231934,0.0000
Natural Occupation.esm,0C0301CD,0C00D54B,_Enc_00_Random,NPC_,-27114.751953,-17909.990234,951.784729,0.0000
Natural Occupation.esm,0C03468C,0C00D54B,_Enc_00_Random,NPC_,-23002.634766,-17736.261719,844.516357,0.0000
Natural Occupation.esm,0C038B4E,0C00D54B,_Enc_00_Random,NPC_,-17901.720703,-18321.710938,1064.009888,0.0000
