source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Nomads.esp,FE047051,FE047001,Nomads_SpawnMarker,ACTI,-18609.474609,-30646.824219,1561.815674,0.0000
Nomads.esp,FE047050,FE047001,Nomads_SpawnMarker,ACTI,-15267.970703,-31520.861328,1343.999268,0.0000
Nomads.esp,FE0470BF,FE047001,Nomads_SpawnMarker,ACTI,-26266.199219,-27783.640625,865.159973,0.0000
Nomads.esp,FE0470DA,FE047001,Nomads_SpawnMarker,ACTI,-27170.814453,-22409.705078,880.000000,0.0000
Nomads.esp,FE0470BE,FE047001,Nomads_SpawnMarker,ACTI,-11388.372070,-17095.763672,828.258545,0.0000
Nomads.esp,FE04704E,FE047001,Nomads_SpawnMarker,ACTI,-9087.545898,-20116.714844,1296.739014,0.0000
Nomads.esp,FE04704D,FE047001,Nomads_SpawnMarker,ACTI,-8945.643555,-20090.798828,1280.897339,0.0000
Nomads.esp,FE047019,FE047001,Nomads_SpawnMarker,ACTI,-1577.332886,-17727.664062,1138.699463,67.7915
Nomads.esp,FE04701A,FE047001,Nomads_SpawnMarker,ACTI,-23409.388672,-14318.266602,664.954285,0.0000
Nomads.esp,FE0470BD,FE047001,Nomads_SpawnMarker,ACTI,-7501.212891,-15072.735352,917.788086,0.0000
Nomads.esp,FE047111,FE047001,Nomads_SpawnMarker,ACTI,-20812.009766,-5358.145508,927.364807,0.0000
Nomads.esp,FE047118,FE047001,Nomads_SpawnMarker,ACTI,-24952.095703,-853.279297,948.700867,0.0000
Nomads.esp,FE047017,FE047001,Nomads_SpawnMarker,ACTI,-6536.728516,-1870.468872,560.133240,0.0000
Nomads.esp,FE047102,FE047001,Nomads_SpawnMarker,ACTI,-21359.656250,-63621.917969,2427.160645,0.0000
Nomads.esp,FE047127,FE047001,Nomads_SpawnMarker,ACTI,-6360.760742,-61683.585937,1210.386719,165.1945
Nomads.esp,FE047133,FE047001,Nomads_SpawnMarker,ACTI,-22230.380859,-60864.691406,2447.992188,171.8874
Nomads.esp,FE047126,FE047001,Nomads_SpawnMarker,ACTI,-13631.672852,-60971.304687,2440.120605,0.0000
Nomads.esp,FE04717E,FE047001,Nomads_SpawnMarker,ACTI,-10252.802734,-57994.320312,2124.000000,233.9494
Nomads.esp,FE047112,FE047001,Nomads_SpawnMarker,ACTI,-11824.540039,-59955.656250,1298.463501,0.0000
Nomads.esp,FE04700F,FE047001,Nomads_SpawnMarker,ACTI,-567.485718,-60488.664062,998.336487,0.0000
Nomads.esp,FE047056,FE047001,Nomads_SpawnMarker,ACTI,-27900.523437,-56856.320312,1872.578491,0.0000
Nomads.esp,FE047090,FE047001,Nomads_SpawnMarker,ACTI,-8946.664062,-55029.683594,1696.707031,0.0000
