source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
PCB - Companions.esp,310242AC,0013FECB,LoadElevatorDoorVault,DOOR,1351.000000,-18704.000000,2112.000000,257.2141
PCB - Companions.esp,31022BD9,0000003B,XMarker,STAT,-81154.601562,69962.843750,7507.950684,0.0000
PCB - Companions.esp,31014F57,310147A3,PCBCMrCoffee,NPC_,-81377.343750,70542.640625,7533.710449,0.0000
PCB - Companions.esp,3100173C,31001735,PCBCMrCrafty,NPC_,-81272.945312,70335.414062,7551.482422,331.3522
PCB - Companions.esp,31001739,0000003B,XMarker,STAT,-81201.593750,70297.359375,7555.900879,0.0000
PCB - Companions.esp,0017CD9A,00028A4A,PuddleTownDecalLg,TXST,1044.463013,-18818.244141,2183.888672,180.0000
PCB - Companions.esp,0009DCB5,000F7C5B,LoadElevatorDoorHiTech,DOOR,4027.224121,-23648.689453,8012.284180,270.0001
PCB - Companions.esp,000E7E13,001E46B4,TrinityDoor01,DOOR,1289.218262,-22297.710938,1375.658813,88.3467
PCB - Companions.esp,000E7E2D,0001F65A,RoofHatch01,DOOR,2948.457764,-21607.300781,1340.025024,178.3468
PCB - Companions.esp,000F9A05,000F7C5B,LoadElevatorDoorHiTech,DOOR,4035.224121,-24160.689453,1868.284424,270.0000
PCB - Companions.esp,001E46B5,001E46B4,TrinityDoor01,DOOR,1285.525391,-22169.765625,1375.658813,88.3467
PCB - Companions.esp,00219B97,00027425,CloudDistant05_O_25,STAT,-1160.311401,-22087.968750,3071.960449,0.0000
PCB - Companions.esp,3100450E,000542E0,Res01PlayerHouse,STAT,0.000000,64.000000,0.000000,0.0000
PCB - Companions.esp,310300CF,000394D5,CaveRmFloor512Mid01,STAT,448.000000,1792.000000,-64.000000,0.0000
PCB - Companions.esp,310300CE,000394D5,CaveRmFloor512Mid01,STAT,960.000000,1792.000000,-64.000000,270.0000
PCB - Companions.esp,310300CD,0003AD67,CaveRmFloor512Mid02,STAT,1472.000000,1792.000000,-64.000000,0.0000
PCB - Companions.esp,310300CC,000394D5,CaveRmFloor512Mid01,STAT,1984.000000,1792.000000,-64.000000,270.0000
PCB - Companions.esp,310300CB,0003AD67,CaveRmFloor512Mid02,STAT,2496.000000,1792.000000,-64.000000,0.0000
PCB - Companions.esp,3102F182,0011DFDF,RockBlastedForestCliff01,STAT,-22.660828,1683.698975,-66.076401,0.0000
PCB - Companions.esp,3102F186,001A97EC,EmbSmThin03_GrassOBJ,STAT,863.055481,1408.915894,-200.004715,0.0000
PCB - Companions.esp,3102F185,001A97EE,EmbSmThin04_GrassOBJ,STAT,892.717041,1423.637329,-247.063156,270.0000
PCB - Companions.esp,3102F183,0011DFE7,RockBlastedForestBoulder01,STAT,-211.839264,1379.928833,-128.000000,0.0000
PCB - Companions.esp,3102F181,0011DFE0,RockBlastedForestCliff02,STAT,-1172.443848,1758.252686,-95.304596,0.0000
PCB - Companions.esp,31022BD4,3100F3EC,WorkbenchPCBCMrcraftySettlement,FURN,-426.832520,281.770721,0.000122,270.0000
PCB - Companions.esp,310268AE,0003AD67,CaveRmFloor512Mid02,STAT,-704.000000,384.000000,-64.000000,0.0000
PCB - Companions.esp,310268AD,0003AD67,CaveRmFloor512Mid02,STAT,1600.000000,384.000000,-64.000000,0.0000
PCB - Companions.esp,31021501,000224E3,DefaultEmptyTrigger,ACTI,778.000000,362.304993,892.706726,359.2765
PCB - Companions.esp,310242AD,00050A66,Res01PlayerHouseRoof,STAT,0.000000,64.000000,0.000000,0.0000
PCB - Companions.esp,3102964A,31029649,PCBCLibertyPrime,NPC_,1536.000000,320.000000,10.658630,0.0000
PCB - Companions.esp,3100450D,00047339,Res01PlayerHouseInterior,STAT,0.000000,64.000000,0.000000,0.0000
PCB - Companions.esp,31022BD8,000F7C5A,LoadElevatorDoorOutHiTech,DOOR,-76.732338,-262.139923,0.000061,180.0000
PCB - Companions.esp,3100450F,31001EF1,PCBCMrCraftyContainer01,CONT,-321.569061,418.814270,0.000000,315.0001
PCB - Companions.esp,31021500,0022BF75,WorkshopResourceContainerSettlement,CONT,757.537964,-310.404602,-655.631104,225.0000
PCB - Companions.esp,310214FD,310214FC,WorkshopWorkbenchInteriorCOPY0000,CONT,-262.897705,307.596313,0.000000,90.0000
PCB - Companions.esp,31021C9B,0005C39A,WorkshopSetOwnedTrigger,ACTI,782.302979,260.075684,834.333984,0.0000
PCB - Companions.esp,310214FF,00000034,XMarkerHeading,STAT,-259.930023,76.932755,0.000122,0.0000
PCB - Companions.esp,310214FE,00000034,XMarkerHeading,STAT,-350.479462,-143.769073,0.000061,0.0000
PCB - Companions.esp,3101B22E,3101B225,PCBCClone03,NPC_,-443.119873,-181.660294,0.000092,0.0000
PCB - Companions.esp,3101B22D,3101B224,PCBCClone02,NPC_,-351.560059,-310.507172,0.000153,0.0000
PCB - Companions.esp,3101B22C,3101AA8A,PCBCClone01,NPC_,-257.757996,-273.056824,0.000092,0.0000
