source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Populated Interiors.esp,2B002F3A,2B002F37,XXX_Settled01,NPC_,757.578735,1789.505371,167.712051,0.0000
Populated Interiors.esp,2B002F39,2B002F37,XXX_Settled01,NPC_,659.661438,1799.881714,165.332245,0.0000
Populated Interiors.esp,2B002F38,2B002F36,XXX_Settled01Legendary,NPC_,1385.357666,1977.394775,166.386780,0.0000
Populated Interiors.esp,001B2F0B,0003712A,NpcChairFederalistOfficeSit01Static,STAT,1364.517090,2035.981812,163.303909,102.8917
Populated Interiors.esp,0021C190,001C9085,MistLargeRoundDustyDimmest,MSTT,1263.632690,2022.622070,342.339233,194.4151
Populated Interiors.esp,2B002F20,2B002F1E,xxxencSurvivorsGhoul04,NPC_,-670.796936,-542.568970,1531.499146,0.0000
Populated Interiors.esp,2B002F1F,2B002F1D,xxxencSurvivorslGhoul04Legendary,NPC_,-726.098145,-488.747681,1315.562866,0.0000
Populated Interiors.esp,2B001F0C,2B001F05,XXX_Pest01,NPC_,-109.476692,-417.026550,6.423500,0.0000
Populated Interiors.esp,2B001F0B,2B001F05,XXX_Pest01,NPC_,-387.200378,-799.932617,7.955246,0.0000
Populated Interiors.esp,2B001F0A,2B001F05,XXX_Pest01,NPC_,-219.312668,-206.752167,9.178909,0.0000
Populated Interiors.esp,2B001F09,2B001F07,XXX_PestDog01,NPC_,99.327530,-126.354935,128.317383,80.2142
Populated Interiors.esp,2B001F08,2B001F06,XXX_Pestl01Legendary,NPC_,182.191666,-602.276489,1.395345,0.0000
Populated Interiors.esp,2B001F4F,2B001F49,xxxencTwistedGhoul04,NPC_,-46.721367,376.284424,8.432302,171.8873
Populated Interiors.esp,2B001F4E,2B001F49,xxxencTwistedGhoul04,NPC_,48.974792,228.894226,8.917736,0.0000
Populated Interiors.esp,2B001F4D,2B001F49,xxxencTwistedGhoul04,NPC_,-458.855011,483.331360,2.326637,148.9691
Populated Interiors.esp,2B001F4C,2B001F49,xxxencTwistedGhoul04,NPC_,-429.596680,280.707886,0.626083,0.0000
Populated Interiors.esp,2B001F4B,2B001F48,xxxencTwistedGhoul04Legendary,NPC_,-824.611877,351.122284,0.000015,0.0000
Populated Interiors.esp,2B001F4A,2B001F48,xxxencTwistedGhoul04Legendary,NPC_,-912.235046,417.515167,0.032089,0.0000
Populated Interiors.esp,2B002F65,2B002F5D,XXX_Revenge01,NPC_,2150.764160,2581.055908,260.253113,0.0000
Populated Interiors.esp,2B002F64,2B002F5D,XXX_Revenge01,NPC_,1971.078369,2605.099609,260.601990,0.0000
Populated Interiors.esp,2B002F63,2B002F5D,XXX_Revenge01,NPC_,1885.984863,2401.109619,258.044678,0.0000
Populated Interiors.esp,2B002F62,2B002F5D,XXX_Revenge01,NPC_,1897.759277,2529.316650,259.322205,0.0000
Populated Interiors.esp,2B002F61,2B002F5D,XXX_Revenge01,NPC_,1509.222412,2077.365723,131.712555,0.0000
Populated Interiors.esp,2B002F60,2B002F5D,XXX_Revenge01,NPC_,1474.165649,1539.183350,-111.441071,0.0000
Populated Interiors.esp,2B002F5F,2B002F5D,XXX_Revenge01,NPC_,1674.885986,1306.323120,-126.202782,0.0000
Populated Interiors.esp,2B002F5E,2B002F5D,XXX_Revenge01,NPC_,1998.890137,1331.441895,-117.438377,0.0000
Populated Interiors.esp,2B00274B,2B002731,XXX_Riffraffll01,NPC_,-354.984467,976.572449,-13.455421,0.0000
Populated Interiors.esp,2B00274A,2B002731,XXX_Riffraffll01,NPC_,162.002579,1224.050659,-4.093235,233.9494
Populated Interiors.esp,2B002749,2B002730,XXX_RiffraffDog01,NPC_,-226.031601,1262.156738,-14.720831,176.6537
Populated Interiors.esp,2B002748,2B002731,XXX_Riffraffll01,NPC_,-135.147064,1319.687988,-5.072472,0.0000
Populated Interiors.esp,2B002747,2B002731,XXX_Riffraffll01,NPC_,-376.453094,1300.819946,-9.198391,0.0000
Populated Interiors.esp,2B002746,2B002731,XXX_Riffraffll01,NPC_,222.902588,422.766266,-14.276196,211.0311
Populated Interiors.esp,2B002745,2B002731,XXX_Riffraffll01,NPC_,256.710999,510.872559,-11.523499,0.0000
Populated Interiors.esp,2B002743,2B002731,XXX_Riffraffll01,NPC_,260.885590,284.977325,-6.788140,0.0000
Populated Interiors.esp,2B002742,2B002730,XXX_RiffraffDog01,NPC_,-431.368408,160.484329,-9.707275,0.0000
Populated Interiors.esp,2B002741,2B002731,XXX_Riffraffll01,NPC_,-345.537872,98.482483,-6.762831,0.0000
Populated Interiors.esp,2B002740,2B00272F,XXX_Riffraffegendary,NPC_,-800.468628,821.049316,-14.722992,0.0000
Populated Interiors.esp,2B00273F,2B00272F,XXX_Riffraffegendary,NPC_,-675.537598,714.772705,-12.145941,268.3270
Populated Interiors.esp,2B00273E,2B00272F,XXX_Riffraffegendary,NPC_,-781.214600,638.930908,-12.734840,0.0000
Populated Interiors.esp,00199238,001C9085,MistLargeRoundDustyDimmest,MSTT,376.554047,-1324.005859,-410.681549,255.7216
Populated Interiors.esp,2B002F29,2B002F28,XXX_Sailor01Legendary,NPC_,-220.935745,-175.400208,662.658020,0.0000
Populated Interiors.esp,2B002F79,2B002F75,XXX_Rabbledl01,NPC_,2157.851562,2072.468018,296.756531,0.0000
Populated Interiors.esp,2B002F78,2B002F75,XXX_Rabbledl01,NPC_,2167.883545,2371.337646,301.269653,188.1128
Populated Interiors.esp,2B002F77,2B002F74,XXX_Rabble1Legendary,NPC_,2271.292725,2633.195312,294.538574,0.0000
Populated Interiors.esp,2B002F76,2B002F74,XXX_Rabble1Legendary,NPC_,2169.861328,2898.820801,291.965820,0.0000
Populated Interiors.esp,0014E019,001C9085,MistLargeRoundDustyDimmest,MSTT,2176.404785,2260.284912,419.669403,0.0000
Populated Interiors.esp,000948A1,0006F9DC,NpcChairPlayerHouseRuinKitchenSit01,FURN,2243.659180,2240.570801,288.000122,271.1915
Populated Interiors.esp,000948A2,0006F9DE,NpcChairPlayerHouseRuinKitchenSit03,FURN,2054.816895,2207.343750,288.000122,91.1003
Populated Interiors.esp,2B0026F5,2B0026F1,xxxencTrashGhoul04Legendary,NPC_,-13.287906,8.471203,4.015541,0.0000
Populated Interiors.esp,2B002F8E,2B002F8D,XXX_Executioner1Legendary,NPC_,-148.541336,227.145401,2.599854,0.0000
Populated Interiors.esp,2B002F41,2B002F40,XXX_Alcoholic01Legendary,NPC_,-55.405788,-69.221039,-4.519569,0.0000
Populated Interiors.esp,2B00273D,2B0026F1,xxxencTrashGhoul04Legendary,NPC_,-14.364558,16.833336,0.472579,0.0000
