source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
PowerHelmets.esp,18001767,18000FB9,Armor_YangHelmet,ARMO,-62499.332031,-109997.710937,4322.395996,262.3922
PowerHelmets.esp,18001766,18000FBA,Armor_YinHelmet,ARMO,-62496.917969,-110022.992187,4330.354004,260.9061
PowerHelmets.esp,18001765,18000FB1,Armor_VIMHelmet,ARMO,33595.808594,-31204.871094,1714.783569,206.2649
PowerHelmets.esp,1800175D,18000FAE,Armor_PatriotHelmet,ARMO,50707.960938,-45741.781250,856.700928,263.5607
PowerHelmets.esp,18001760,18000FB3,Armor_AtomCatHelmet,ARMO,37614.078125,-72116.781250,702.000000,57.2958
PowerHelmets.esp,18001755,18000FAB,Armor_MutantSlayerHelmet,ARMO,3752.448975,-44415.660156,2210.375488,302.7104
PowerHelmets.esp,18001758,18000FAC,Armor_T45Helmet,ARMO,20193.234375,102310.734375,1771.420532,0.0000
PowerHelmets.esp,18001756,18000FAF,Armor_T51Helmet,ARMO,20420.367188,102476.218750,1783.726807,256.8681
PowerHelmets.esp,18001769,18000FB7,Armor_HydraulicForgeHelmet,ARMO,-1316.036133,2182.001221,-8.098790,234.0000
PowerHelmets.esp,18001762,18000FB5,Armor_X01Helmet,ARMO,-3122.476562,-1957.929077,-1078.343262,113.6283
PowerHelmets.esp,1800176C,18000FB8,Armor_HellfireHelmet,ARMO,2591.320068,3347.253418,657.398560,65.7348
PowerHelmets.esp,18001761,18000FB6,Armor_EnclaveX02Helmet,ARMO,-520.610962,-1842.159424,279.727173,291.0007
PowerHelmets.esp,1800175A,18000FB2,Armor_T60Helmet,ARMO,1907.156250,3622.184570,55.886021,142.2761
PowerHelmets.esp,18001763,18000FB4,Armor_RedMegHelmet,ARMO,-1078.783813,4553.759277,353.746185,148.9690
PowerHelmets.esp,18001754,18000FAA,Armor_RaidHelmet,ARMO,-1692.634155,-8400.748047,-574.036621,67.8019
PowerHelmets.esp,18001764,18000FB0,Armor_NukaPimpHelmet,ARMO,1025.463989,-445.026581,334.268585,0.0000
PowerHelmets.esp,1800175B,18000FAD,Armor_HellRodHelmet,ARMO,2962.981934,3480.671875,922.217285,45.8372
