source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
RAIN_Vault_111.esp,22009B1A,0008C199,Vault_VaultSuitBox_02,MSTT,-3257.051514,1606.824707,55.494373,0.0000
RAIN_Vault_111.esp,22009B19,001184C1,Armor_Gasmask,ARMO,-3249.532959,1608.426880,59.280460,291.2451
RAIN_Vault_111.esp,22009B0F,00017A8D,HoodedLamp03,STAT,-3332.349854,2663.460938,245.484268,0.0000
RAIN_Vault_111.esp,22009B0E,000560DC,defaultLightWarm01NS,LIGH,-3332.349854,2663.460938,171.811478,0.0000
RAIN_Vault_111.esp,22009B0D,000FDEE8,defaultLightWarm01NSNonSpec,LIGH,-3332.349854,2663.460938,83.371826,0.0000
RAIN_Vault_111.esp,22009B0C,000FDEE8,defaultLightWarm01NSNonSpec,LIGH,-3332.349854,2663.460938,106.240265,0.0000
RAIN_Vault_111.esp,22009AFF,0008C17D,Vault_Locker_01,CONT,-3205.914062,2396.781250,1.327641,171.8874
RAIN_Vault_111.esp,22009AFE,0017B3A4,workbenchWeaponsA,FURN,-3366.661621,2660.674805,-1.725557,0.0000
RAIN_Vault_111.esp,22009AFC,00249040,WorkshopNpcBedVaultLay01DblNoEdit,FURN,-3299.516602,2463.850586,1.267578,183.3465
RAIN_Vault_111.esp,000ADCA0,0004329F,NpcBedVaultLay02,FURN,-3299.929199,2464.000000,-253.415756,180.0000
RAIN_Vault_111.esp,22009AE4,00060EC8,Pillow_02_Comfy,MISC,-3321.629150,2403.056641,45.454254,0.0000
RAIN_Vault_111.esp,22005685,000A2E1F,MetalBarrelRadioactive01,STAT,-1950.123779,-762.162048,21.961800,135.5961
RAIN_Vault_111.esp,22005683,001C0FC8,FloraFungusGlowing01,FLOR,-1893.682495,-721.493103,185.209778,0.0000
RAIN_Vault_111.esp,2200567F,001C0FC8,FloraFungusGlowing01,FLOR,-1890.588989,-720.640503,160.690430,0.0000
RAIN_Vault_111.esp,2200567B,001C0FCB,FloraFungusGlowing04,FLOR,-1886.563477,-711.529724,0.125118,0.0000
RAIN_Vault_111.esp,220055CB,0022579F,Clipboard_Prewar01,MISC,-3386.906250,1867.319336,56.530041,144.8895
RAIN_Vault_111.esp,220055CA,00140AF0,FolderPapers01,MISC,-3373.915039,1886.873413,56.921570,276.0631
