source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
RA_Gunners.esp,2E072766,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-16011.827148,-79220.687500,1833.369507,0.0000
RA_Gunners.esp,2E072765,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-14040.659180,-79846.101562,2835.855713,90.0000
RA_Gunners.esp,2E072764,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-15021.840820,-81697.164062,2579.855713,180.0000
RA_Gunners.esp,2E072763,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-15930.187500,-80423.132812,2579.855713,270.0000
RA_Gunners.esp,2E07276C,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-11994.690430,-78669.328125,1181.284424,90.0000
RA_Gunners.esp,2E072767,2E033267,RA_GUN_NPC_AEC_Template,NPC_,-12358.897461,-75529.734375,1239.391602,0.0000
RA_Gunners.esp,2E07276B,2E02AB5C,RA_GUN_NPC_Mule_Template,NPC_,-11925.186523,-75306.312500,1207.937500,0.0000
RA_Gunners.esp,2E07276A,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-12096.369141,-75193.234375,1219.223633,0.0000
RA_Gunners.esp,2E072769,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-11767.148438,-75341.085938,1191.976562,0.0000
RA_Gunners.esp,2E072768,2E050B25,RA_GUN_NPC_Scrapper_PackMaster,NPC_,-11958.533203,-75087.367188,1187.776978,0.0000
RA_Gunners.esp,2E072773,2E02AB5C,RA_GUN_NPC_Mule_Template,NPC_,-48540.609375,-89092.734375,4206.856445,0.0000
RA_Gunners.esp,2E072772,2E050B25,RA_GUN_NPC_Scrapper_PackMaster,NPC_,-48355.003906,-88853.875000,4171.040527,0.0000
RA_Gunners.esp,2E072771,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-48297.492188,-89110.726562,4195.986328,0.0000
RA_Gunners.esp,2E072770,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-48585.542969,-88986.250000,4230.656250,0.0000
RA_Gunners.esp,2E07276F,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-48446.542969,-89076.757812,4196.611816,0.0000
RA_Gunners.esp,2E07276E,2E011630,RA_GUN_NPC_HeavyAssaultron_Template,NPC_,-48815.628906,-89294.679688,4967.936035,90.0000
RA_Gunners.esp,2E072774,2E011630,RA_GUN_NPC_HeavyAssaultron_Template,NPC_,-68870.312500,-30693.263672,5339.879883,0.0000
RA_Gunners.esp,2E0727AE,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-108950.546875,-121054.992187,9766.704102,0.0000
RA_Gunners.esp,2E0727AD,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-108963.765625,-121101.101562,9851.561523,0.0000
RA_Gunners.esp,2E0727AC,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-108468.367187,-121197.414062,9812.727539,0.0000
RA_Gunners.esp,2E0727AB,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-108774.351562,-120521.171875,9827.106445,0.0000
RA_Gunners.esp,2E0727AA,2E02AB5C,RA_GUN_NPC_Mule_Template,NPC_,-108538.226562,-120735.484375,9816.361328,0.0000
RA_Gunners.esp,2E0727A9,2E050B25,RA_GUN_NPC_Scrapper_PackMaster,NPC_,-108629.289062,-120725.007812,9816.000000,0.0000
RA_Gunners.esp,2E0727A8,2E033267,RA_GUN_NPC_AEC_Template,NPC_,-108752.000000,-120672.000000,9816.000000,0.0000
RA_Gunners.esp,2E0727A7,2E054EAB,RA_GUN_NPC_HeavyAssaultron_Daughter,NPC_,-115835.007812,-107926.929687,12037.176758,45.0000
RA_Gunners.esp,2E072776,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-59000.000000,33552.000000,5992.000000,135.0001
RA_Gunners.esp,2E072775,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-59128.257812,33771.347656,6022.775391,0.0000
RA_Gunners.esp,2E07277C,2E02AB5C,RA_GUN_NPC_Mule_Template,NPC_,-82549.304688,32167.761719,5679.331543,0.0000
RA_Gunners.esp,2E07277B,2E050B25,RA_GUN_NPC_Scrapper_PackMaster,NPC_,-82437.296875,32046.644531,5641.822754,0.0000
RA_Gunners.esp,2E07277A,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-82230.789062,32020.181641,5628.185547,0.0000
RA_Gunners.esp,2E072779,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-82331.484375,32133.189453,5640.589844,0.0000
RA_Gunners.esp,2E072777,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-82555.218750,30764.642578,7030.800293,0.0000
RA_Gunners.esp,2E072778,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-81642.421875,31740.914062,6984.372559,0.0000
RA_Gunners.esp,2E07277F,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,22352.000000,-24082.519531,2700.000000,180.0000
RA_Gunners.esp,2E07277E,2E011630,RA_GUN_NPC_HeavyAssaultron_Template,NPC_,22313.117188,-24290.662109,2700.987061,90.0000
RA_Gunners.esp,2E07277D,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,22472.000000,-23976.000000,2700.000000,225.0000
RA_Gunners.esp,2E072780,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,23235.019531,-87019.789062,1394.620972,0.0000
RA_Gunners.esp,2E07278A,2E011630,RA_GUN_NPC_HeavyAssaultron_Template,NPC_,27886.689453,-89189.375000,1348.737793,315.0000
RA_Gunners.esp,2E072789,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,25976.000000,-87464.000000,1296.000000,45.0000
RA_Gunners.esp,2E072785,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,28248.000000,-86760.000000,1290.604858,90.0000
RA_Gunners.esp,2E07278B,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,29199.978516,-87341.882812,1758.737549,0.0000
RA_Gunners.esp,2E072784,2E033267,RA_GUN_NPC_AEC_Template,NPC_,29240.000000,-87064.000000,1160.000000,0.0000
RA_Gunners.esp,2E072783,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,30383.695312,-89502.398438,1024.000000,0.0000
RA_Gunners.esp,2E072782,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,30309.591797,-89435.226562,1034.109131,0.0000
RA_Gunners.esp,2E072781,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,29163.910156,-89317.007812,1542.853760,0.0000
RA_Gunners.esp,2E07278C,2E011630,RA_GUN_NPC_HeavyAssaultron_Template,NPC_,28591.087891,-84127.179688,1987.010742,0.0000
RA_Gunners.esp,2E072788,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,26416.298828,-85887.937500,1221.651978,180.0000
RA_Gunners.esp,2E072787,2E02AB5C,RA_GUN_NPC_Mule_Template,NPC_,26283.687500,-85733.109375,1220.765259,270.0001
RA_Gunners.esp,2E072786,2E050B25,RA_GUN_NPC_Scrapper_PackMaster,NPC_,26251.291016,-85869.765625,1220.492432,225.0000
RA_Gunners.esp,2E072794,2E011630,RA_GUN_NPC_HeavyAssaultron_Template,NPC_,61424.000000,57192.000000,1232.000000,90.0000
RA_Gunners.esp,2E07278F,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,59297.089844,57067.925781,1563.474121,45.0000
RA_Gunners.esp,2E072791,2E02AB5C,RA_GUN_NPC_Mule_Template,NPC_,60800.000000,57536.000000,832.000000,0.0000
RA_Gunners.esp,2E072790,2E050B25,RA_GUN_NPC_Scrapper_PackMaster,NPC_,60656.000000,57400.000000,832.000000,0.0000
RA_Gunners.esp,2E07278E,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,59026.144531,58631.433594,1807.952148,0.0000
RA_Gunners.esp,2E07278D,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,60080.000000,58296.000000,1222.459473,45.0000
RA_Gunners.esp,2E072793,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,61881.593750,57781.773437,775.761047,0.0000
RA_Gunners.esp,2E072792,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,61907.890625,57682.968750,770.756836,0.0000
RA_Gunners.esp,2E076B49,2E076B48,RA_GUN_NPC_GunnyRat,NPC_,-505.366150,-7183.951660,-656.000000,270.0000
RA_Gunners.esp,2E07279B,2E011630,RA_GUN_NPC_HeavyAssaultron_Template,NPC_,-1304.000000,-3296.000000,-1576.000000,315.0000
RA_Gunners.esp,2E07279A,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-1158.262573,-6971.148926,-664.000000,135.0001
RA_Gunners.esp,2E072799,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-1280.324707,-6943.253906,-663.900940,0.0000
RA_Gunners.esp,2E072798,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-3096.000000,-560.000000,-909.782898,180.0000
RA_Gunners.esp,2E072797,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-2536.471191,-4577.933594,-779.161621,0.0000
RA_Gunners.esp,2E072796,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-2936.000000,-3832.000000,-528.000000,135.0000
RA_Gunners.esp,2E072795,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-2138.372803,-4100.314453,-783.750000,0.0000
RA_Gunners.esp,2E07279F,2E050B25,RA_GUN_NPC_Scrapper_PackMaster,NPC_,1831.899414,2560.114014,-1664.000000,0.0000
RA_Gunners.esp,2E07279E,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,1311.427734,2988.156738,-2427.832275,45.0000
RA_Gunners.esp,2E07279D,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,2786.782959,2934.305176,-2176.000000,270.0000
RA_Gunners.esp,2E07279C,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,1600.000000,2664.000000,-1919.281982,0.0000
RA_Gunners.esp,2E0727A6,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,1203.028198,-437.468018,3840.000000,270.0000
RA_Gunners.esp,2E0727A5,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,1184.918213,-97.793190,3840.000000,225.0000
RA_Gunners.esp,2E0727A4,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,1191.834473,-290.227295,3840.000000,270.0000
RA_Gunners.esp,2E0727A3,2E011630,RA_GUN_NPC_HeavyAssaultron_Template,NPC_,248.000000,208.000000,2296.000000,180.0000
RA_Gunners.esp,2E0727A2,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,862.474731,-987.036621,1282.137451,0.0000
RA_Gunners.esp,2E0727A1,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,1567.117432,108.089417,256.000000,0.0000
RA_Gunners.esp,2E0727A0,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,88.000000,-264.000000,-127.999992,0.0000
RA_Gunners.esp,2E076B42,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-1440.000000,-1400.000000,256.000000,0.0000
RA_Gunners.esp,2E076B41,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-2432.000000,-352.000000,0.000000,135.0000
RA_Gunners.esp,2E076B40,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,-8.258711,-793.578430,0.257143,0.0000
RA_Gunners.esp,2E076B46,2E076B43,RA_GUN_NPC_SGT-RODGR,NPC_,-528.000000,-2072.000000,224.000000,45.0000
RA_Gunners.esp,2E076B3F,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,4658.473633,-1806.205566,704.471680,270.0000
RA_Gunners.esp,2E076B3E,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,3776.000000,-1008.000000,704.000000,180.0001
RA_Gunners.esp,2E076B3D,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,1428.159546,-1539.984253,704.000000,0.0000
RA_Gunners.esp,2E076B3C,2E011630,RA_GUN_NPC_HeavyAssaultron_Template,NPC_,-1432.000000,-1600.000000,448.000000,0.0000
RA_Gunners.esp,2E076B3B,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,389.789856,-1071.250366,192.000000,0.0000
RA_Gunners.esp,2E076B3A,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,2044.572144,-2116.654297,704.470337,0.0000
RA_Gunners.esp,2E076B39,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,4592.120117,-1138.252808,192.000000,180.0000
RA_Gunners.esp,2E076B38,2E06E3DD,RA_GUN_NPC_Scrapper_Lvl,NPC_,3743.842041,-3084.072998,192.250000,0.0000
RA_Gunners.esp,2E076B37,2E011630,RA_GUN_NPC_HeavyAssaultron_Template,NPC_,3926.869141,-1361.960815,191.999969,90.0000
