source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
RadiantCaravans_Q.esp,0013351D,0010C411,LvlSupermutantMissile,NPC_,-17488.841797,-32473.255859,1338.399170,45.8367
RadiantCaravans_Q.esp,0013350C,0023D8C4,LvlSupermutantMixed,NPC_,-17294.068359,-32603.888672,1336.666382,28.6480
RadiantCaravans_Q.esp,0013350B,0023D8C4,LvlSupermutantMixed,NPC_,-17290.833984,-32483.287109,1337.885864,103.1325
RadiantCaravans_Q.esp,0012FCD0,00117D85,LvlSupermutantMinigunBoss,NPC_,-17195.390625,-32540.531250,1349.499146,51.5663
RadiantCaravans_Q.esp,00133512,0007050B,LvlGunnerSniper,NPC_,-7859.816895,46735.230469,1004.085022,263.5606
RadiantCaravans_Q.esp,00133511,0023D8CB,LvlGunnerMixed,NPC_,-8043.951172,46595.179688,987.019531,0.0000
RadiantCaravans_Q.esp,00133510,00093BC3,LvlMrGutsy_Gunner,NPC_,-7885.442383,46598.453125,997.663635,302.7042
RadiantCaravans_Q.esp,000C0669,00038C23,Loot_Raider_Toolcase_Guns,CONT,-7974.368164,9979.436523,1458.397949,0.0000
RadiantCaravans_Q.esp,000C066A,00064A35,Loot_Raider_Medkit_Chems,CONT,-7935.784668,10074.455078,1461.640015,225.0000
RadiantCaravans_Q.esp,000C066B,00064A35,Loot_Raider_Medkit_Chems,CONT,-7824.796875,10010.155273,1456.000000,270.0000
RadiantCaravans_Q.esp,000C066F,0007533E,LvlRaiderBoss,NPC_,-7887.781738,10132.340820,1473.822998,0.0000
RadiantCaravans_Q.esp,000C0670,001533A7,LvlRaiderPowerArmor,NPC_,-8133.912109,10156.636719,1483.137939,0.0000
RadiantCaravans_Q.esp,000C0679,001AF06C,LvlRaiderDog,NPC_,-7516.772461,10082.291016,1481.645020,0.0000
RadiantCaravans_Q.esp,00133506,001AF06C,LvlRaiderDog,NPC_,-54918.125000,58950.261719,4819.797852,325.6226
RadiantCaravans_Q.esp,000DC939,0019C5A1,LvlRaiderBossFemale,NPC_,-55087.968750,59129.503906,4832.416992,329.3239
RadiantCaravans_Q.esp,000670CB,0004946F,DefaultEnableDisableTrigger,ACTI,-54571.937500,59450.511719,5343.172363,4.0108
RadiantCaravans_Q.esp,00130B88,0023D8C4,LvlSupermutantMixed,NPC_,37665.511719,31566.791016,927.416260,0.0000
RadiantCaravans_Q.esp,00130B87,0023D8C4,LvlSupermutantMixed,NPC_,37527.101562,31482.738281,911.810364,354.2704
RadiantCaravans_Q.esp,00130B82,000948B3,LvlMutantHound,NPC_,37554.757812,31657.044922,896.693054,160.4283
RadiantCaravans_Q.esp,00130B7A,0004CE40,LvlGunnerBoss_PowerArmor,NPC_,-7994.969727,46735.531250,990.685242,275.9832
RadiantCaravans_Q.esp,0012FCCC,00117D85,LvlSupermutantMinigunBoss,NPC_,37511.027344,31892.210937,895.175903,315.1269
RadiantCaravans_Q.esp,000C067B,00000028,NullTextureSet,TXST,-7482.278809,10073.536133,1519.836792,177.0064
RadiantCaravans_Q.esp,000C067A,00000028,NullTextureSet,TXST,-7475.101074,9944.905273,1608.796753,0.8709
RadiantCaravans_Q.esp,000C066E,00000028,NullTextureSet,TXST,-7820.388184,9942.818359,1548.977905,1.0328
RadiantCaravans_Q.esp,000C066D,00000028,NullTextureSet,TXST,-7868.016602,10152.182617,1507.137939,357.6620
RadiantCaravans_Q.esp,000C066C,00000028,NullTextureSet,TXST,-7980.385254,9981.966797,1595.137939,12.7119
