source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
RandomCity.esl,FE018187,001D15DF,JunkWall04,STAT,-20747.414062,-31494.525391,1677.442871,229.1831
RandomCity.esl,FE018186,000C3897,JunkWall03,STAT,-20595.908203,-31662.722656,1681.364990,206.2649
RandomCity.esl,FE018185,000C3897,JunkWall03,STAT,-21087.300781,-32653.544922,1815.539795,319.8930
RandomCity.esl,FE018184,000C3897,JunkWall03,STAT,-20918.494141,-31360.546875,1736.257080,211.0310
RandomCity.esl,FE018183,001241EA,TruckHulkStatic,STAT,-19456.662109,-30449.486328,1541.718750,194.8057
RandomCity.esl,FE018182,000A8490,TruckTrailer01_Blue,STAT,-19604.458984,-29723.130859,1486.600586,262.5972
RandomCity.esl,FE018181,000C387F,JunkWall01,STAT,-20446.958984,-31867.759766,1691.823242,245.4085
RandomCity.esl,FE018180,001BBF83,JunkWallTall02,STAT,-18212.730469,-26797.806641,1328.100464,262.5973
RandomCity.esl,FE01817F,000A8492,TruckTrailer01_Green,STAT,-22879.544922,-20957.646484,1258.953735,156.8685
RandomCity.esl,FE01819A,000211F5,WoodCrate01,STAT,-16867.707031,-21341.501953,1308.599487,0.0000
RandomCity.esl,FE018199,000211F6,WoodCrate02,STAT,-16868.808594,-21321.404297,1271.099487,0.0000
RandomCity.esl,FE018198,000211F7,WoodCrate03,STAT,-16582.535156,-21330.320312,1446.125000,0.0000
RandomCity.esl,FE018197,000211F7,WoodCrate03,STAT,-16463.378906,-21298.142578,1655.160034,22.9183
RandomCity.esl,FE01817E,000211F5,WoodCrate01,STAT,-16475.111328,-21279.808594,1606.551636,0.0000
RandomCity.esl,FE01817D,000211F6,WoodCrate02,STAT,-16582.304687,-21354.919922,1474.525635,0.0000
RandomCity.esl,FE01817C,001467A9,CrateLargeAqua,STAT,-16432.000000,-21320.000000,1280.000000,342.8113
RandomCity.esl,FE01817B,001E5608,CrateLargeAquaMuddy,STAT,-16409.568359,-21311.730469,1440.426636,0.0000
RandomCity.esl,FE01817A,001467A9,CrateLargeAqua,STAT,-16704.000000,-21368.000000,1280.000000,0.0000
RandomCity.esl,FE01819C,00038A0A,Loot_Raider_Cooler,CONT,-14394.668945,-21188.378906,2385.461914,296.9747
RandomCity.esl,FE01819B,000D75BC,NpcBedSleepingBagSleep01,FURN,-14277.446289,-21166.083984,2385.391602,285.5155
RandomCity.esl,FE018179,0006355F,Loot_Trunk_Boss,CONT,-14477.100586,-21181.904297,2384.601807,270.0000
RandomCity.esl,FE018178,000211F5,WoodCrate01,STAT,-16287.552734,-21308.607422,1805.683105,0.0000
