source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
RarePowerArmour_Locations.esp,060443FF,0018AE55,LvlPowerArmorFurniture,FURN,-25412.755859,15080.183594,864.003540,200.5353
RarePowerArmour_Locations.esp,060485D2,0018AE56,LvlPowerArmorFurniturePartial,FURN,-8467.586914,30713.177734,863.563232,356.5621
RarePowerArmour_Locations.esp,06040785,0018AE55,LvlPowerArmorFurniture,FURN,-51994.628906,61.301445,4675.011230,44.1642
RarePowerArmour_Locations.esp,0015E603,0018AE58,LvlPowerArmorFurniturePartialNoCore,FURN,-3466.097168,-95469.648438,742.391235,296.9745
RarePowerArmour_Locations.esp,00169394,0018AE56,LvlPowerArmorFurniturePartial,FURN,-77676.218750,-25562.126953,3345.774902,225.4589
RarePowerArmour_Locations.esp,001530EA,0018AE58,LvlPowerArmorFurniturePartialNoCore,FURN,-88668.476562,-18443.722656,5295.216797,90.0000
RarePowerArmour_Locations.esp,00169493,0018AE58,LvlPowerArmorFurniturePartialNoCore,FURN,-85389.273438,-60036.695312,2858.637207,120.3211
RarePowerArmour_Locations.esp,0014F5D8,0018AE56,LvlPowerArmorFurniturePartial,FURN,-16587.593750,54209.277344,357.308807,347.1085
RarePowerArmour_Locations.esp,0015E43B,0018AE56,LvlPowerArmorFurniturePartial,FURN,-10343.043945,28106.259766,938.248230,166.1111
RarePowerArmour_Locations.esp,0015E5E1,0018AE56,LvlPowerArmorFurniturePartial,FURN,-49779.625000,40975.734375,4562.733398,25.2073
RarePowerArmour_Locations.esp,0014F5D7,0018AE55,LvlPowerArmorFurniture,FURN,-37686.390625,17057.832031,4751.233398,89.6787
RarePowerArmour_Locations.esp,00152A9F,0018AE56,LvlPowerArmorFurniturePartial,FURN,-83503.679688,21693.503906,4274.905762,150.4013
RarePowerArmour_Locations.esp,00152AA9,0018AE56,LvlPowerArmorFurniturePartial,FURN,72500.023438,-4797.080078,711.212585,176.1845
RarePowerArmour_Locations.esp,0015E604,0018AE58,LvlPowerArmorFurniturePartialNoCore,FURN,4012.400146,-55450.281250,819.665344,93.3779
RarePowerArmour_Locations.esp,0015E5DA,0018AE58,LvlPowerArmorFurniturePartialNoCore,FURN,17865.541016,-68349.734375,408.142090,30.0803
RarePowerArmour_Locations.esp,00152AB1,0018AE55,LvlPowerArmorFurniture,FURN,35187.210938,39760.507812,1190.020264,263.5606
RarePowerArmour_Locations.esp,00153131,0018AE56,LvlPowerArmorFurniturePartial,FURN,47513.703125,47288.488281,1519.565552,181.4562
RarePowerArmour_Locations.esp,001532C4,0018AE55,LvlPowerArmorFurniture,FURN,33375.394531,6710.339355,544.185730,121.1234
RarePowerArmour_Locations.esp,001E5F8E,0018AE58,LvlPowerArmorFurniturePartialNoCore,FURN,14511.903320,32483.832031,1600.853271,166.3297
RarePowerArmour_Locations.esp,00169427,0018AE58,LvlPowerArmorFurniturePartialNoCore,FURN,-47479.753906,96614.039062,7835.848633,305.2826
RarePowerArmour_Locations.esp,00165ACE,0018AE58,LvlPowerArmorFurniturePartialNoCore,FURN,559.576782,1717.686523,-832.306335,51.5662
RarePowerArmour_Locations.esp,010021CF,0018AE55,LvlPowerArmorFurniture,FURN,1246.854980,897.649414,-809.838745,260.4663
