source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
RecruitableScavengers.esp,FE05802D,FE058009,RecScavF09,NPC_,-87362.921875,-2750.379883,6177.520020,0.0000
RecruitableScavengers.esp,FE05802C,FE058008,RecScavF08,NPC_,-87263.710938,-2016.150024,6191.220215,0.0000
RecruitableScavengers.esp,FE05802B,FE058014,RecScavM08,NPC_,-86991.187500,-2878.610107,6177.520020,0.0000
RecruitableScavengers.esp,FE058022,FE05800D,RecScavM01,NPC_,-22546.320312,60138.179687,2085.020020,0.0000
RecruitableScavengers.esp,FE05801E,FE058003,RecScavF03,NPC_,-53443.328125,100844.203125,8567.379883,0.0000
RecruitableScavengers.esp,FE05801D,FE058002,RecScavF02,NPC_,-53926.980469,100861.710938,8435.969727,0.0000
RecruitableScavengers.esp,FE058021,FE058006,RecScavF06,NPC_,-91277.156250,56330.781250,6081.000000,0.0000
RecruitableScavengers.esp,FE058020,FE058005,RecScavF05,NPC_,-91930.132812,56241.050781,6072.000000,0.0000
RecruitableScavengers.esp,FE05801F,FE058004,RecScavF04,NPC_,-92337.093750,55852.468750,6079.959961,0.0000
RecruitableScavengers.esp,FE05801B,FE058001,RecScavF01,NPC_,-100892.546875,87202.742188,9057.530273,0.0000
RecruitableScavengers.esp,FE058030,FE058016,RecScavM10,NPC_,10360.709961,-41436.859375,1233.709961,0.0000
RecruitableScavengers.esp,FE05802F,FE058015,RecScavM09,NPC_,10749.419922,-41346.851562,1233.709961,0.0000
RecruitableScavengers.esp,FE05802E,FE05800A,RecScavF10,NPC_,10445.469727,-41142.519531,1233.709961,0.0000
RecruitableScavengers.esp,0023E937,0012EA9B,WorkbenchArmorA,FURN,10513.982422,-41071.660156,1233.505737,85.0098
RecruitableScavengers.esp,FE058028,FE058012,RecScavM06,NPC_,69134.171875,50739.378906,858.780029,0.0000
RecruitableScavengers.esp,FE058027,FE058011,RecScavM05,NPC_,68761.640625,49919.089844,858.780029,0.0000
RecruitableScavengers.esp,FE058026,FE058010,RecScavM04,NPC_,69239.882812,49941.851562,858.799988,0.0000
RecruitableScavengers.esp,FE058023,FE05800E,RecScavM02,NPC_,11384.299805,77761.273438,1124.780029,0.0000
RecruitableScavengers.esp,FE058024,FE05800F,RecScavM03,NPC_,10505.450195,77828.921875,972.619995,0.0000
RecruitableScavengers.esp,FE05802A,FE058013,RecScavM07,NPC_,2958.760010,14452.429687,812.469971,0.0000
RecruitableScavengers.esp,FE058029,FE058007,RecScavF07,NPC_,3025.989990,14226.990234,810.989990,0.0000
