source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
RecruitableWastelanders.esp,FE05303C,FE05300E,RecWastelanderF14,NPC_,-22468.500000,5457.879883,785.530029,0.0000
RecruitableWastelanders.esp,FE05303D,FE05301D,RecWastelanderM14,NPC_,-10961.530273,26386.529297,723.770020,0.0000
RecruitableWastelanders.esp,FE05303B,FE05301C,RecWastelanderM13,NPC_,5962.810059,-41590.929688,1308.099976,0.0000
RecruitableWastelanders.esp,FE05303A,FE05300D,RecWastelanderF13,NPC_,4234.390137,-33786.898437,511.739990,0.0000
RecruitableWastelanders.esp,FE05303F,FE05301E,RecWastelanderM15,NPC_,24427.669922,42683.421875,1430.359985,0.0000
RecruitableWastelanders.esp,FE05303E,FE05300F,RecWastelanderF15,NPC_,24362.699219,42425.570312,1431.780029,0.0000
RecruitableWastelanders.esp,FE053038,FE05300C,RecWastelanderF12,NPC_,19194.859375,-24024.109375,695.440002,0.0000
RecruitableWastelanders.esp,FE053035,FE053019,RecWastelanderM10,NPC_,46334.890625,32893.449219,867.809998,0.0000
RecruitableWastelanders.esp,FE053034,FE05300A,RecWastelanderF10,NPC_,49377.890625,33838.468750,782.190002,0.0000
RecruitableWastelanders.esp,FE053037,FE05301A,RecWastelanderM11,NPC_,45659.378906,31996.839844,826.440002,0.0000
RecruitableWastelanders.esp,FE053036,FE05300B,RecWastelanderF11,NPC_,46348.171875,31889.800781,822.830017,0.0000
RecruitableWastelanders.esp,FE053039,FE05301B,RecWastelanderM12,NPC_,59833.519531,11236.469727,980.479980,0.0000
RecruitableWastelanders.esp,FE05302E,FE053007,RecWastelanderF07,NPC_,-30772.800781,-11787.219727,611.590027,0.0000
RecruitableWastelanders.esp,FE053030,FE053008,RecWastelanderF08,NPC_,-36691.140625,-24967.019531,1906.819946,0.0000
RecruitableWastelanders.esp,FE053031,FE053017,RecWastelanderM08,NPC_,-37181.929688,-24543.880859,2022.219971,0.0000
RecruitableWastelanders.esp,FE05302F,FE053016,RecWastelanderM07,NPC_,-36147.710938,-23915.000000,1858.979980,0.0000
RecruitableWastelanders.esp,FE053021,FE053010,RecWastelanderM01,NPC_,-91335.523438,-3095.560059,6624.000000,0.0000
RecruitableWastelanders.esp,FE05302D,FE053015,RecWastelanderM06,NPC_,-70298.390625,-62427.308594,1910.060059,0.0000
RecruitableWastelanders.esp,FE05302C,FE053006,RecWastelanderF06,NPC_,-99256.773438,-30154.640625,5586.959961,0.0000
RecruitableWastelanders.esp,FE053020,FE053001,RecWastelanderF01,NPC_,-62004.859375,77937.218750,6325.270020,0.0000
RecruitableWastelanders.esp,FE053027,FE053013,RecWastelanderM04,NPC_,75544.179688,-46316.390625,541.830017,0.0000
RecruitableWastelanders.esp,FE053024,FE053004,RecWastelanderF04,NPC_,84164.421875,-86601.656250,470.989990,0.0000
RecruitableWastelanders.esp,FE053023,FE053012,RecWastelanderM03,NPC_,83881.757812,-86754.179688,470.959991,0.0000
RecruitableWastelanders.esp,FE053026,FE053003,RecWastelanderF03,NPC_,73602.656250,-80024.343750,465.790009,0.0000
RecruitableWastelanders.esp,FE053025,FE053011,RecWastelanderM02,NPC_,73207.929688,-79933.859375,455.790009,0.0000
RecruitableWastelanders.esp,FE05302B,FE053014,RecWastelanderM05,NPC_,63058.679687,-45590.730469,491.730011,0.0000
RecruitableWastelanders.esp,FE05302A,FE053005,RecWastelanderF05,NPC_,62755.070312,-44800.011719,486.070007,0.0000
RecruitableWastelanders.esp,FE053022,FE053002,RecWastelanderF02,NPC_,82454.218750,60803.128906,861.190002,0.0000
RecruitableWastelanders.esp,FE053033,FE053018,RecWastelanderM09,NPC_,58498.949219,33526.980469,680.950012,0.0000
RecruitableWastelanders.esp,FE053032,FE053009,RecWastelanderF09,NPC_,42268.859375,17928.859375,590.250000,0.0000
