source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
SKKWorkshopsStartHostile.esp,6B000FB6,0001E597,BldWoodPBgRoomCorner03,SCOL,2304.000000,2336.000000,256.000000,0.0000
SKKWorkshopsStartHostile.esp,6B000FB2,0001D493,defaultLight04,LIGH,1616.770508,3183.415039,3213.022949,0.0000
SKKWorkshopsStartHostile.esp,6B000FB1,0001D492,defaultLight03,LIGH,1616.770508,1295.052490,-309.027893,0.0000
SKKWorkshopsStartHostile.esp,6B000FB0,0001D491,defaultLight01,LIGH,-1540.630493,2239.233887,-309.027893,0.0000
SKKWorkshopsStartHostile.esp,6B000FAF,0001D490,defaultLight02,LIGH,4774.171387,2239.233887,3213.022949,0.0000
SKKWorkshopsStartHostile.esp,6B000FAE,00000032,COCMarkerHeading,STAT,2176.000000,2208.000000,256.000000,0.0000
SKKWorkshopsStartHostile.esp,6B000FAD,0001E599,BldWoodPBgRoomCorner04,SCOL,2304.000000,2080.000000,256.000000,0.0000
SKKWorkshopsStartHostile.esp,6B000FAC,0001E593,BldWoodPBgRoomCorner01,SCOL,2048.000000,2080.000000,256.000000,0.0000
SKKWorkshopsStartHostile.esp,6B000FAB,0001A81F,BldWoodPSmFlrOnly01,STAT,2048.000000,2336.000000,256.000000,90.0000
SKKWorkshopsStartHostile.esp,6B000FAA,0001A7F8,BldWoodPSmCeilOnly01,STAT,2048.000000,2336.000000,512.000000,90.0000
SKKWorkshopsStartHostile.esp,6B000FA9,0001C9FE,BldWoodPBgWall01,STAT,2048.000000,2336.000000,256.000000,90.0000
SKKWorkshopsStartHostile.esp,6B000FA8,0001C9FE,BldWoodPBgWall01,STAT,2048.000000,2336.000000,256.000000,0.0000
SKKWorkshopsStartHostile.esp,6B000FB7,00000034,XMarkerHeading,STAT,2176.000000,2296.000000,256.000000,0.0000
