source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
SSTMinutemanWatchtowers.esl,FE01716D,00044176,defaultLightWarm02,LIGH,-26567.355469,-49448.570312,3949.879883,279.7861
SSTMinutemanWatchtowers.esl,FE01716C,0001D0C3,LightbulbOn01,STAT,-26567.355469,-49448.570312,4045.879883,0.0000
SSTMinutemanWatchtowers.esl,FE01716B,000BB874,LvlMinuteman,NPC_,-26341.005859,-49291.058594,3790.879883,126.0508
SSTMinutemanWatchtowers.esl,FE01716A,00060CB4,Loot_AmmoBox,CONT,-26581.978516,-49542.835938,3792.138428,193.8424
SSTMinutemanWatchtowers.esl,FE017169,0002EE6E,SandBagSingleH01,MSTT,-26459.464844,-49551.593750,2775.506836,34.4349
SSTMinutemanWatchtowers.esl,FE017168,0002EE6F,SandBagSingleH02,MSTT,-26383.455078,-49746.898438,2771.897949,314.1635
SSTMinutemanWatchtowers.esl,FE017167,000F4A5D,GreenHsDoorSm02,DOOR,-26693.492187,-49426.812500,3789.879883,99.7861
SSTMinutemanWatchtowers.esl,FE017166,000472E5,TaxidermyMirelurk01,STAT,-26684.603516,-49428.226562,3999.618408,99.7861
SSTMinutemanWatchtowers.esl,FE017165,001CD104,SignRoad_DeadEnd_NoPost01,STAT,-26416.515625,-49334.550781,3848.445068,165.1945
SSTMinutemanWatchtowers.esl,FE017164,001C9100,SignRoad_NoEnter_NoPost01,STAT,-26417.958984,-49334.300781,2636.488770,182.3832
SSTMinutemanWatchtowers.esl,FE017163,001C9100,SignRoad_NoEnter_NoPost01,STAT,-26724.794922,-49549.460938,3918.232666,182.3832
SSTMinutemanWatchtowers.esl,FE017162,0003AA6A,SignRoad_TurnRight_NoPost01,STAT,-26453.097656,-49598.039062,3879.036377,180.0000
SSTMinutemanWatchtowers.esl,FE017161,0003AA43,SignRoad_Yield_NoPost01,STAT,-26453.580078,-49597.683594,2851.014893,2.3833
SSTMinutemanWatchtowers.esl,FE017160,0003AA64,SignRoad_Stop_NoPost01,STAT,-26453.324219,-49599.347656,2893.348389,333.7354
SSTMinutemanWatchtowers.esl,FE01715F,0016BAF5,PaperDebris02,STAT,-26490.705078,-49435.218750,3848.065430,106.9356
SSTMinutemanWatchtowers.esl,FE01715E,0016BAF3,PaperDebris01,STAT,-26470.923828,-49391.332031,3848.065430,62.0621
SSTMinutemanWatchtowers.esl,FE01715D,0009A702,DeskLamp01NoBulb,STAT,-26468.408203,-49466.605469,3848.568848,45.8366
SSTMinutemanWatchtowers.esl,FE01715C,00060CB4,Loot_AmmoBox,CONT,-26482.886719,-49301.757812,3819.458008,193.8424
SSTMinutemanWatchtowers.esl,FE01715B,00060CB4,Loot_AmmoBox,CONT,-26465.646484,-49308.375000,3819.458008,188.1128
SSTMinutemanWatchtowers.esl,FE01715A,001025AC,FlareGun,WEAP,-26608.664062,-49273.300781,3822.342285,271.9778
SSTMinutemanWatchtowers.esl,FE017159,001025AE,AmmoFlareGun,AMMO,-26632.007812,-49287.441406,3821.609131,81.6997
SSTMinutemanWatchtowers.esl,FE017158,001025AE,AmmoFlareGun,AMMO,-26628.068359,-49270.179688,3821.609619,359.9984
SSTMinutemanWatchtowers.esl,FE017157,000211F6,WoodCrate02,STAT,-26616.683594,-49603.390625,3790.879883,279.7860
SSTMinutemanWatchtowers.esl,FE017156,000211F5,WoodCrate01,STAT,-26682.955078,-49591.062500,3790.879883,279.7860
SSTMinutemanWatchtowers.esl,FE017155,000211F6,WoodCrate02,STAT,-26560.072266,-49289.460938,3847.818115,279.7860
SSTMinutemanWatchtowers.esl,FE017154,000211F7,WoodCrate03,STAT,-26552.128906,-49289.312500,3819.455078,279.7860
SSTMinutemanWatchtowers.esl,FE017153,000211F7,WoodCrate03,STAT,-26493.654297,-49298.054688,3790.879883,279.7860
SSTMinutemanWatchtowers.esl,FE017152,000211F7,WoodCrate03,STAT,-26599.105469,-49279.765625,3790.879883,279.7860
SSTMinutemanWatchtowers.esl,FE017151,001939CA,Loot_Prewar_TrunkMilitary_Boss,CONT,-26621.986328,-49353.566406,3791.879883,5.7296
SSTMinutemanWatchtowers.esl,FE017150,000211C4,CoffeeCup01,MISC,-26492.330078,-49450.777344,3848.635742,206.3579
SSTMinutemanWatchtowers.esl,FE01714F,0007132E,Loot_Prewar_Medkit_Chems_Wall,CONT,-26495.871094,-49538.433594,3891.355225,9.1691
SSTMinutemanWatchtowers.esl,FE01714E,001642EE,RadioFreedomReceiver,ACTI,-26506.945312,-49554.121094,3897.242432,148.0058
SSTMinutemanWatchtowers.esl,FE01714D,00059B20,Typewriter,MISC,-26474.619141,-49414.257812,3848.701904,102.1651
SSTMinutemanWatchtowers.esl,FE01714C,0018E8FC,HamRadio,ACTI,-26455.777344,-49366.429688,3848.443848,74.4845
SSTMinutemanWatchtowers.esl,FE01714B,0001F88B,NpcChairFederalistOfficeSit01,FURN,-26540.863281,-49364.703125,3795.500977,142.2762
SSTMinutemanWatchtowers.esl,FE01714A,000711B5,PlayerHouse_Ruin_Rug02,STAT,-26591.515625,-49437.156250,3792.171875,5.7296
SSTMinutemanWatchtowers.esl,FE017149,000BD531,OfficeFileCabinet03,CONT,-26474.882812,-49519.703125,3791.667725,104.8987
SSTMinutemanWatchtowers.esl,FE017148,000BD529,OfficeFileCabinet02_Beige_Vault,CONT,-26497.009766,-49557.617188,3791.667725,99.1691
SSTMinutemanWatchtowers.esl,FE017147,0011EB5C,Prewar_Locker_Wall01,CONT,-26645.013672,-49535.050781,3792.137695,190.1129
SSTMinutemanWatchtowers.esl,FE017146,0001F453,FederalistDesk01_Prewar,CONT,-26479.093750,-49411.929688,3792.137695,8.7296
SSTMinutemanWatchtowers.esl,FE017145,000FD11C,AmmoCannonBall,AMMO,-26539.910156,-49385.343750,2524.533447,288.7589
SSTMinutemanWatchtowers.esl,FE017144,000FD11C,AmmoCannonBall,AMMO,-26559.482422,-49397.800781,2526.421875,332.5593
SSTMinutemanWatchtowers.esl,FE017143,000FD11C,AmmoCannonBall,AMMO,-26548.220703,-49378.878906,2524.532227,288.8515
SSTMinutemanWatchtowers.esl,FE017142,000FD11C,AmmoCannonBall,AMMO,-26540.625000,-49406.074219,2524.645508,21.9484
SSTMinutemanWatchtowers.esl,FE017141,000FD11C,AmmoCannonBall,AMMO,-26559.013672,-49409.882812,2524.904785,337.3980
SSTMinutemanWatchtowers.esl,FE017140,000E7AC5,Cannon01,STAT,-26578.814453,-49332.371094,2519.537598,308.5737
SSTMinutemanWatchtowers.esl,FE01713F,0002FC43,SandbagPileSmall01,MSTT,-26518.660156,-49533.972656,2527.990723,0.0000
SSTMinutemanWatchtowers.esl,FE01713E,0002EE6F,SandBagSingleH02,MSTT,-26332.283203,-49379.406250,2525.979004,285.5155
SSTMinutemanWatchtowers.esl,FE01713D,0002EE6E,SandBagSingleH01,MSTT,-26430.208984,-49253.613281,2525.889404,308.4911
SSTMinutemanWatchtowers.esl,FE01713C,0002EE6F,SandBagSingleH02,MSTT,-26465.708984,-49281.863281,2524.707031,342.8113
SSTMinutemanWatchtowers.esl,FE01713B,00045762,SandbagWall01,MSTT,-26435.722656,-49457.062500,2514.986084,74.4847
SSTMinutemanWatchtowers.esl,FE01713A,00045762,SandbagWall01,MSTT,-26466.783203,-49491.058594,2515.615234,103.1325
SSTMinutemanWatchtowers.esl,FE017139,00045762,SandbagWall01,MSTT,-26437.531250,-49573.160156,2523.010254,103.1325
SSTMinutemanWatchtowers.esl,FE017138,00045762,SandbagWall01,MSTT,-26643.142578,-49587.437500,2526.312256,10.4961
SSTMinutemanWatchtowers.esl,FE017137,00045762,SandbagWall01,MSTT,-26644.253906,-49537.960938,2526.312256,182.3833
SSTMinutemanWatchtowers.esl,FE017136,00045762,SandbagWall01,MSTT,-26536.328125,-49563.980469,2522.399414,11.4592
SSTMinutemanWatchtowers.esl,FE017135,00045762,SandbagWall01,MSTT,-26524.837891,-49615.781250,2526.312256,11.4592
SSTMinutemanWatchtowers.esl,FE017134,000C5747,DCKitPlywood11,STAT,-26428.476562,-49471.714844,3154.733643,94.0563
SSTMinutemanWatchtowers.esl,FE017132,000BB874,LvlMinuteman,NPC_,-36096.601562,-101357.500000,3617.718506,63.0254
SSTMinutemanWatchtowers.esl,FE017131,0001D0C3,LightbulbOn01,STAT,-36304.035156,-101318.484375,3872.225098,337.7921
SSTMinutemanWatchtowers.esl,FE017130,00044176,defaultLightWarm02,LIGH,-36304.035156,-101318.484375,3776.225098,337.7921
SSTMinutemanWatchtowers.esl,FE01712F,000C3CF9,RadioFreedomReceiverOff,ACTI,-36354.175781,-101444.109375,3765.479736,233.9494
SSTMinutemanWatchtowers.esl,FE01712E,001184C1,Armor_Gasmask,ARMO,-36385.972656,-101386.281250,3692.673828,15.5186
SSTMinutemanWatchtowers.esl,FE01712D,00024057,RadX,ALCH,-36311.410156,-101208.140625,3622.834473,270.0488
SSTMinutemanWatchtowers.esl,FE01712C,00024057,RadX,ALCH,-36276.898438,-101214.515625,3724.419922,268.3269
SSTMinutemanWatchtowers.esl,FE01712B,00023742,RadAway,ALCH,-36386.109375,-101385.507812,3656.653809,359.5267
SSTMinutemanWatchtowers.esl,FE01712A,000F4A5D,GreenHsDoorSm02,DOOR,-36185.531250,-101270.101562,3616.225098,247.7922
SSTMinutemanWatchtowers.esl,FE017129,00060CB4,Loot_AmmoBox,CONT,-36184.078125,-101353.828125,3625.338867,269.9999
SSTMinutemanWatchtowers.esl,FE017128,00060CB4,Loot_AmmoBox,CONT,-36439.554688,-101560.234375,3645.794678,279.7860
SSTMinutemanWatchtowers.esl,FE017127,0007481B,PlayerHouse_Curtain01,STAT,-36375.296875,-101450.664062,3872.675537,67.7923
SSTMinutemanWatchtowers.esl,FE017126,0011EB5C,Prewar_Locker_Wall01,CONT,-36369.777344,-101413.390625,3618.483643,244.4458
SSTMinutemanWatchtowers.esl,FE017125,0003A9EB,OfficeBoxPapers01,STAT,-36335.945312,-101238.125000,3642.314941,337.0817
SSTMinutemanWatchtowers.esl,FE017124,0003A9ED,OfficeBoxPapers03,STAT,-36341.500000,-101226.937500,3619.638916,245.4086
SSTMinutemanWatchtowers.esl,FE017123,0003A9ED,OfficeBoxPapers03,STAT,-36329.253906,-101253.570312,3619.638916,245.4086
SSTMinutemanWatchtowers.esl,FE017122,0003A9EC,OfficeBoxPapers02,STAT,-36252.386719,-101193.062500,3724.412354,302.7043
SSTMinutemanWatchtowers.esl,FE017121,00165014,OfficePaperDebris04,STAT,-36411.296875,-101270.765625,3674.715820,214.8345
SSTMinutemanWatchtowers.esl,FE017120,0018E8FC,HamRadio,ACTI,-36437.425781,-101264.632812,3674.364746,319.8930
SSTMinutemanWatchtowers.esl,FE01711F,00059B20,Typewriter,MISC,-36371.550781,-101234.601562,3674.530273,342.8105
SSTMinutemanWatchtowers.esl,FE01711E,0007132E,Loot_Prewar_Medkit_Chems_Wall,CONT,-36254.699219,-101215.781250,3707.932373,158.7551
SSTMinutemanWatchtowers.esl,FE01711D,000BD52E,OfficeFileCabinet02,CONT,-36258.800781,-101196.359375,3618.374023,68.7550
SSTMinutemanWatchtowers.esl,FE01711C,0023C9C4,WorkshopNpcBedMilitaryCottLay01,FURN,-36232.570312,-101378.968750,3617.808105,69.4654
SSTMinutemanWatchtowers.esl,FE01711B,001A6DE2,HightechOfficeChair01_Dirty_Static,STAT,-36402.082031,-101294.828125,3618.460693,0.7105
SSTMinutemanWatchtowers.esl,FE01711A,001A6E4A,HighTechDesk02_Dirty,CONT,-36398.089844,-101258.398438,3618.427246,337.7921
SSTMinutemanWatchtowers.esl,FE017119,000211F5,WoodCrate01,STAT,-36019.601562,-101435.265625,3618.265381,159.4649
SSTMinutemanWatchtowers.esl,FE017118,00072315,Loot_Prewar_Trunk_Boss,CONT,-36309.675781,-101494.398438,3617.774902,337.0817
SSTMinutemanWatchtowers.esl,FE017117,000211F6,WoodCrate02,STAT,-36387.988281,-101530.460938,3618.265381,251.1381
SSTMinutemanWatchtowers.esl,FE017116,000211F7,WoodCrate03,STAT,-36435.066406,-101579.265625,3617.270996,337.0817
SSTMinutemanWatchtowers.esl,FE017115,0016BD6F,FlagWavingMinutemen01,MSTT,-36067.027344,-101221.726562,3608.539307,270.0000
SSTMinutemanWatchtowers.esl,FE017112,0003B2DF,RockM04,STAT,-103903.773437,-32015.017578,7792.022949,252.3333
SSTMinutemanWatchtowers.esl,FE017111,000DEDE1,BottleEmptyWhiskey01,MISC,-103840.796875,-31973.591797,9115.820312,148.9690
SSTMinutemanWatchtowers.esl,FE017110,000BB874,LvlMinuteman,NPC_,-103758.304687,-32099.285156,9057.038086,85.9437
SSTMinutemanWatchtowers.esl,FE01710F,00060CB4,Loot_AmmoBox,CONT,-104180.492187,-32219.505859,8544.999023,268.3268
SSTMinutemanWatchtowers.esl,FE01710E,00060CB4,Loot_AmmoBox,CONT,-104174.765625,-32237.742187,8544.999023,274.0564
SSTMinutemanWatchtowers.esl,FE01710D,0007132E,Loot_Prewar_Medkit_Chems_Wall,CONT,-103858.484375,-32054.820312,9107.537109,181.0001
SSTMinutemanWatchtowers.esl,FE01710C,0004B6E9,Loot_Prewar_Medkit,CONT,-104044.062500,-32097.419922,9068.262695,6.4395
SSTMinutemanWatchtowers.esl,FE01710B,00004822,10mm,WEAP,-103866.468750,-31966.710937,9118.403320,90.3565
