source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
SSTMinutemanWatchtowers_Patch.esp,FE04C015,000D75BC,NpcBedSleepingBagSleep01,FURN,-26597.000000,-49358.000000,3793.000000,103.1324
SSTMinutemanWatchtowers_Patch.esp,FE04C013,0001DACF,LaserMusket,WEAP,-26516.906250,-49493.070312,3852.862305,1.0000
SSTMinutemanWatchtowers_Patch.esp,FE04C012,001642E4,DN133CastleRadioSpeaker,ACTI,-26828.335937,-49400.750000,3982.604492,279.7860
SSTMinutemanWatchtowers_Patch.esp,FE04C011,0016BD6F,FlagWavingMinutemen01,MSTT,-26584.375000,-49446.683594,4615.870117,91.6732
SSTMinutemanWatchtowers_Patch.esp,FE01716A,00060CB4,Loot_AmmoBox,CONT,-26641.000000,-49537.000000,3940.000000,193.8424
SSTMinutemanWatchtowers_Patch.esp,FE017167,000F4A5D,GreenHsDoorSm02,DOOR,-26693.492187,-49426.812500,3789.879883,99.7861
SSTMinutemanWatchtowers_Patch.esp,FE01715F,0016BAF5,PaperDebris02,STAT,-26498.611328,-49487.289062,-30000.000000,106.9356
SSTMinutemanWatchtowers_Patch.esp,FE01715E,0016BAF3,PaperDebris01,STAT,-26478.830078,-49443.402344,-30000.000000,62.0621
SSTMinutemanWatchtowers_Patch.esp,FE01715D,0008E799,DeskLamp01On,STAT,-26474.769531,-49503.773438,3849.363281,45.8366
SSTMinutemanWatchtowers_Patch.esp,FE01715A,001025AC,FlareGun,WEAP,-26610.656250,-49274.855469,3822.339844,271.9778
SSTMinutemanWatchtowers_Patch.esp,FE017159,001025AE,AmmoFlareGun,AMMO,-26633.980469,-49288.796875,3821.601562,82.3870
SSTMinutemanWatchtowers_Patch.esp,FE017158,001025AE,AmmoFlareGun,AMMO,-26629.855469,-49271.738281,3821.607422,0.0089
SSTMinutemanWatchtowers_Patch.esp,FE017151,001939CA,Loot_Prewar_TrunkMilitary_Boss,CONT,-26714.000000,-49328.000000,3792.000000,97.4030
SSTMinutemanWatchtowers_Patch.esp,FE017150,000211C4,CoffeeCup01,MISC,-26508.996094,-49509.101562,3849.498047,206.3579
SSTMinutemanWatchtowers_Patch.esp,FE01714F,0007132E,Loot_Prewar_Medkit_Chems_Wall,CONT,-26495.871094,-49538.433594,3891.355225,9.1691
SSTMinutemanWatchtowers_Patch.esp,FE01714E,001642EE,RadioFreedomReceiver,ACTI,-26506.945312,-49554.121094,3897.242432,148.0058
SSTMinutemanWatchtowers_Patch.esp,FE01714D,00059B20,Typewriter,MISC,-26482.525391,-49466.328125,3849.564209,102.1651
SSTMinutemanWatchtowers_Patch.esp,FE01714C,0018E8FC,HamRadio,ACTI,-26463.683594,-49418.500000,3849.306152,74.4845
SSTMinutemanWatchtowers_Patch.esp,FE01714B,0001F88B,NpcChairFederalistOfficeSit01,FURN,-26549.000000,-49425.000000,3796.000000,142.2762
SSTMinutemanWatchtowers_Patch.esp,FE017149,000BD531,OfficeFileCabinet03,CONT,-26452.000000,-49375.000000,3792.000000,99.1692
SSTMinutemanWatchtowers_Patch.esp,FE017148,000BD529,OfficeFileCabinet02_Beige_Vault,CONT,-26497.009766,-49557.617188,3791.667725,99.1691
SSTMinutemanWatchtowers_Patch.esp,FE017147,0011EB5C,Prewar_Locker_Wall01,CONT,-26647.000000,-49535.000000,3792.000000,190.1129
SSTMinutemanWatchtowers_Patch.esp,FE017146,0001F453,FederalistDesk01_Prewar,CONT,-26487.000000,-49464.000000,3793.000000,8.7296
SSTMinutemanWatchtowers_Patch.esp,0015EE72,0005325E,BranchPile01,STAT,-26908.126953,-49839.589844,-30000.000000,272.5676
SSTMinutemanWatchtowers_Patch.esp,0015EE70,0005325E,BranchPile01,STAT,-26077.148437,-49687.417969,-30000.000000,68.8153
SSTMinutemanWatchtowers_Patch.esp,0015ED4F,00032464,TreeStump01,STAT,-26203.509766,-49184.281250,-30000.000000,328.0964
